Title,Cost
"History of Rock, Part One",Paid Certificate Available
3D Printing Software,Paid Certificate Available
Introduction to Classical Music,Paid Certificate Available
Songwriting: Writing the Lyrics,Paid Certificate Available
The 3D Printing Revolution,Paid Certificate Available
The Music of the Beatles,Paid Certificate Available
Gamification,Paid Certificate Available
"History of Rock, Part Two",Paid Certificate Available
Jazz Improvisation,Paid Certificate Available
Modern Art & Ideas,Paid Certificate Available
Guitar for Beginners,Paid Certificate Available
Music's Big Bang: The Genesis of Rock 'n' Roll,Paid Certificate Available
Introduction to Art: Concepts & Techniques,Certificate Available
Survey of Music Technology,Paid Certificate Available
Developing Your Musicianship,Paid Certificate Available
Introduction to UI Design,Paid Certificate Available
Management of Fashion and Luxury Companies,Paid Certificate Available
Exploring Beethoven’s Piano Sonatas,"12 weeks long, 18 hours worth of material"
Introduction to Digital Sound Design,Certificate Available
"The Music of the Rolling Stones, 1962-1974",Paid Certificate Available
Making Architecture,Paid Certificate Available
Introduction to Game Design,Paid Certificate Available
Sexing the Canvas: Art and Gender,Paid Certificate Available
Introduction to Music Production,Paid Certificate Available
Introduction to Typography,Paid Certificate Available
How to Make a Comic Book (Project-Centered Course),Paid Certificate Available
Fundamentals of Digital Image and Video Processing,Paid Certificate Available
Design: Creation of Artifacts in Society,Paid Certificate Available
In the Studio: Postwar Abstract Painting,Paid Certificate Available
Introduction to Ableton Live,Paid Certificate Available
The Blues: Understanding and Performing an American Art Form,Paid Certificate Available
The Language of Design: Form and Meaning,Paid Certificate Available
User Research and Design,Paid Certificate Available
Основы фотографии,Paid Certificate Available
Roman Architecture,Paid Certificate Available
Serious Gaming,Paid Certificate Available
Graphic Design,Paid Certificate Available
Fashion as Design,Paid Certificate Available
Superhero Entertainments,Paid Certificate Available
3D Printing Applications,Paid Certificate Available
Write Like Mozart: An Introduction to Classical Music Composition,Paid Certificate Available
"Cameras, Exposure, and Photography",Paid Certificate Available
Ignite Your Everyday Creativity,Paid Certificate Available
Marriage and the Movies: A History,Certificate Available
Ideas from the History of Graphic Design,Paid Certificate Available
So You Think You Know Tango?,Paid Certificate Available
Responsive Web Design in Adobe XD,Paid Certificate Available
Exploring Beethoven’s Piano Sonatas Part 2,"7 weeks long, 8-9 hours worth of material"
Arranging for Songwriters,Paid Certificate Available
Getting Started in GIMP,Paid Certificate Available
The Art of Vocal Production,Paid Certificate Available
3D Printing Hardware,Paid Certificate Available
How Music Can Change Your Life,Paid Certificate Available
Pro Tools Basics,Paid Certificate Available
Introducción a la producción audiovisual,Paid Certificate Available
What Is Contemporary Art?,Paid Certificate Available
Autodesk Certified Professional: Civil 3D for Infrastructure Design Exam Prep,Paid Certificate Available
How to Create a Seamless Pattern Using Adobe Illustrator,Paid Certificate Available
Audio Signal Processing for Music Applications,"10 weeks long, 49 hours worth of material"
UI / UX Design,"
          Paid Course
        "
Photography Basics and Beyond: From Smartphone to DSLR,"
          Paid Course
        "
"Songwriting: Writing, Arranging, and Producing Music","
          Paid Course
        "
Information Design,Paid Certificate Available
Visual Elements of User Interface Design,Paid Certificate Available
"Innovation Through Design: Think, Make, Break, Repeat",Paid Certificate Available
Print and Digital Elements of Design: Branding and User Experience,Paid Certificate Available
Graphic Elements of Design: Color Theory and Image Formats,Paid Certificate Available
"Textual Elements of Design: Fonts, Typography, and Spacing",Paid Certificate Available
Basic Elements of Design: Design Principles and Software Overview,Paid Certificate Available
20世纪西方音乐 Western Music in the 20th Century,Paid Certificate Available
Create High-Fidelity Designs and Prototypes in Figma,Paid Certificate Available
Introduction to Computational Arts: Visual Arts,Certificate Available
Introduction to Computational Arts,Certificate Available
Music & Society,Paid Certificate Available
Fashion-иллюстрация: технический рисунок,Paid Certificate Available
The Beauty of Kunqu Opera,Paid Certificate Available
Camera Control,Paid Certificate Available
崑曲之美,Paid Certificate Available
From the Repertoire: Western Music History through Performance,Certificate Available
The World of the String Quartet,"7 weeks long, 2-3 hours a week"
Fundamentals of Music Theory,Paid Certificate Available
Photography: A Victorian Sensation,Certificate Available
Art & Activity: Interactive Strategies for Engaging with Art,Paid Certificate Available
Healing with the Arts,Paid Certificate Available
Human-Centered Design: an Introduction,Paid Certificate Available
Scandinavian Film and Television,Paid Certificate Available
Principles of Photo Composition and Digital Image Post-Production,Paid Certificate Available
Age of Cathedrals,Paid Certificate Available
Ser más creativos,Paid Certificate Available
Music and Social Action,Paid Certificate Available
Pixel Art for Video Games,Paid Certificate Available
The Art of Music Production,Paid Certificate Available
The Technology of Music Production,Paid Certificate Available
"Musicianship: Chord Charts, Diatonic Chords, and Minor Keys",Paid Certificate Available
Music Business Foundations,Paid Certificate Available
UX Design Fundamentals,Paid Certificate Available
Design Principles: an Introduction,Paid Certificate Available
Principles of Game Design,Paid Certificate Available
Разработка инновационного продукта,Paid Certificate Available
Understanding Video Games,Certificate Available
Seeing Through Photographs,Paid Certificate Available
Warhol,Certificate Available
Getting Started With Music Theory,Paid Certificate Available
Design and Make Infographics (Project-Centered Course),Paid Certificate Available
Cracking the Creativity Code: Discovering Ideas,Paid Certificate Available
Listening to World Music,Certificate Available
Mobile Interaction Design: How to Design Usable Mobile Products and Services,Paid Certificate Available
Fundamentals of Graphic Design,Paid Certificate Available
Early Renaissance Architecture in Italy: from Alberti to Bramante,Certificate Available
Building Your Career in Music: Developing A Brand and Funding Your Music,Paid Certificate Available
Fundamentals of Rehearsing Music Ensembles,Paid Certificate Available
Fundamentals of Audio and Music Engineering: Part 1 Musical Sound & Electronics,Paid Certificate Available
Introduction to Computational Arts: Audio,Certificate Available
Create Training Videos with Powtoon,Paid Certificate Available
The Olympic Games and the Media,Paid Certificate Available
Introduction to Imagemaking,Paid Certificate Available
Introduction to User Experience Design ,Paid Certificate Available
Google UX Design (PT),"
          Paid Course
        "
How to create and join teams in Canva,Paid Certificate Available
"Creative Design, Prototyping, and Testing",Paid Certificate Available
Script Writing: Write a Pilot Episode for a TV or Web Series (Project-Centered Course),Paid Certificate Available
History of Graphic Design,Paid Certificate Available
"Film, Images & Historical Interpretation in the 20th Century: The Camera Never Lies",Paid Certificate Available
Exploring Beethoven's Piano Sonatas Part 4,Paid Certificate Available
Draw and Style Custom Letters with Inkscape,Paid Certificate Available
Create an Infographic in Canva,Paid Certificate Available
Digital Fashion Industry,Paid Certificate Available
Digital Fashion Mindset,Paid Certificate Available
Digital Fashion Reality,Paid Certificate Available
Aspectos básicos del diseño de la experiencia del usuario,Paid Certificate Available
Llevar a cabo investigaciones en UX,Paid Certificate Available
"Primeros pasos en el proceso de diseño de UX: Empatizar, definir e idear",Paid Certificate Available
Crear esquemas de página y prototipos de baja fidelidad,Paid Certificate Available
Diseños web adaptables en Adobe XD,Paid Certificate Available
Create a Marketing Moodboard for your brand on Canva,Paid Certificate Available
إضافة الصور والصور المتحركة  في تطبيق فيغما,Paid Certificate Available
Innovation Career Lessons from a Master,Paid Certificate Available
3D Printing Capstone,Paid Certificate Available
创新思维,Paid Certificate Available
拍摄：像剪辑师一样拍摄,Paid Certificate Available
创作吧！微影人！,Paid Certificate Available
Creating Sounds for Electronic Music,Paid Certificate Available
导演思维：微影人的自我修养,Paid Certificate Available
"Musicianship: Tensions, Harmonic Function, and Modal Interchange",Paid Certificate Available
Evaluating User Interfaces,Paid Certificate Available
Desarrollando tu musicalidad,Paid Certificate Available
Teaching the Violin and Viola: Creating a Healthy Foundation,Paid Certificate Available
Avatar Psychology for Designers,Paid Certificate Available
Introduzione alla Storia dell'Architettura Contemporanea,Paid Certificate Available
Exploring Beethoven's Piano Sonatas Part 3,"7 weeks long, 7-8 hours worth of material"
UX Design: From Concept to Prototype,Paid Certificate Available
"UX Research at Scale: Surveys, Analytics, Online Testing",Paid Certificate Available
UX (User Experience) Capstone,Paid Certificate Available
Introducción a la producción musical ,Paid Certificate Available
Composición algorítmica en Supercollider,Paid Certificate Available
Perspectivas de música colaborativa,Paid Certificate Available
Easing the Transition to GIMP for Photoshop Users,Paid Certificate Available
Guitar Performance Techniques,Paid Certificate Available
Electronic Music Performance Techniques,Paid Certificate Available
Singing Popular Music,Paid Certificate Available
Be Your Best Creative Self,Paid Certificate Available
Marketing Design with Easil,Paid Certificate Available
User Experience & Interaction Design for AR/VR/MR/XR,Paid Certificate Available
Richard Schechner's Introduction to Performance Studies ,Paid Certificate Available
Historia del Arte: Del Arte Prehistórico al Renacimiento,Paid Certificate Available
Create Geometric Vector Patterns with Inkscape,Paid Certificate Available
Graphic Design: Make Interior's Project Mood Boards in Gimp,Paid Certificate Available
Using Video in Social Media Posts with Canva,Paid Certificate Available
Cree Increíbles Diseños de Mercadeo usando Canva,Paid Certificate Available
 Use Canva to Create Desktop and Mobile-friendly Web Pages.,Paid Certificate Available
Build a Custom Profile Avatar with Inkscape,Paid Certificate Available
Diseña imprimibles para cursos en línea usando Canva,Paid Certificate Available
Crea logos para comercializar tu negocio con Canva ,Paid Certificate Available
