Link,Title,Platform,Duration
/course/exploratory-data-analysis-1715,Exploratory Data Analysis,coursera,1-5
/course/measuring-and-maximizing-impact-of-covid-19-conta-20985,Measuring and Maximizing Impact of COVID-19 Contact Tracing,coursera,1-5
/course/covid-19-what-you-need-to-know-19270,COVID-19: What You Need to Know,coursera,1-5
/course/breastfeeding-10633,Stanford's Short Course on Breastfeeding,coursera,1-5
/course/a-public-health-approach-to-hearing-loss-and-agin-74666,A Public Health Approach to Hearing Loss and Aging,coursera,1-5
/course/technology-shaping-democracy-2020-election-22196,How Technology is Shaping Democracy and the 2020 Election,coursera,1-5
/course/health-after-cancer-cancer-survivorship-for-prima-48384,Health After Cancer: Cancer Survivorship for Primary Care,coursera,1-5
/course/oncofertility-overview-94368,"The Emergence of Oncofertility (Past, Present & Future)",coursera,1-5
/course/scale-up-specialization-capstone-53644,Scale Up Specialization Capstone ,coursera,1-5
/course/artificial-intelligence-microsoft-azure-43806,Artificial Intelligence on Microsoft Azure,coursera,1-5
/course/google-docs-35781,Google Docs,coursera,1-5
/course/people-soft-skills-assessment-94666,People and Soft Skills Assessment ,coursera,1-5
/course/preparing-cloud-professional-cloud-archi-12827,Preparing for your Professional Cloud Architect Journey,coursera,1-5
/course/introduction-google-workspace-37088,Introduction to Google Workspace Administration,coursera,1-5
/course/google-cloud-product-fundamentals-19087,Infrastructure and Application Modernization with Google Cloud,coursera,1-5
/course/gmail-35778,Gmail,coursera,1-5
/course/google-sheets-35782,Google Sheets,coursera,1-5
/course/network-path-text-analyses-sas-va-17974,"Performing Network, Path, and Text Analyses in SAS Visual Analytics",coursera,1-5
/course/google-calendar-35779,Google Calendar,coursera,1-5
/course/valuecreation-19335,Innovation for Impact (i4i) The Carlson-Polizzotto Method of Value Creation,coursera,1-5
/course/google-cbrs-cpi-training-13598,Become a CBRS Certified Professional Installer by Google,coursera,1-5
/course/onprem-mgmt-security-apigee-gcp-10747,"On Premises Management, Security, and Upgrade with Google Cloud's Apigee API Platform",coursera,1-5
/course/google-drive-35780,Google Drive,coursera,1-5
/course/google-slides-35783,Google Slides,coursera,1-5
/course/google-meet-and-google-chat-35784,Google Meet and Google Chat,coursera,1-5
/course/incident-response-25336,Cyber Incident Response,coursera,1-5
/course/10kw-digital-marketing-60057,"Digital Marketing Strategy with Goldman Sachs 10,000 Women",coursera,1-5
/course/defensive-python-58196,Defensive Python,coursera,1-5
/course/collaborate-effectively-94663,Collaborate Effectively for Professional Success,coursera,1-5
/course/juniper-openstack-and-kubernetes-89842,Introduction to OpenStack and Kubernetes Orchestrators,coursera,1-5
/course/solving-problems-with-creative-and-critical-think-94665,Solving Problems with Creative and Critical Thinking,coursera,1-5
/course/full-stack-software-developer-assessment-86346,Full Stack Software Developer Assessment,coursera,1-5
/course/juniper-cloud-and-open-source-89838,Juniper Cloud Concepts and Open Source Technologies,coursera,1-5
/course/interpersonal-skills-94664,Developing Interpersonal Skills ,coursera,1-5
/course/present-with-purpose-94661,Present with Purpose: Create/Deliver Effective Presentations,coursera,1-5
/course/10kw-social-impact-60040,"Social Impact Strategy with Goldman Sachs 10,000 Women",coursera,1-5
/course/10kw-innovation-strategy-60062,"Innovation Strategy with Goldman Sachs 10,000 Women ",coursera,1-5
/course/juniper-contrail-networking-89843,Introduction to the Juniper Contrail Networking Solution,coursera,1-5
/course/delivering-quality-work-with-agility-94662,Delivering Quality Work with Agility,coursera,1-5
