Link,Title,Platform,Duration
/course/medical-research-19515,Understanding Medical Research: Your Facebook Friend is Wrong,coursera,10%2B
/course/dmdigitalworld-2750,Marketing in a Digital World,coursera,10%2B
/course/interactivepython1-408,An Introduction to Interactive Programming in Python (Part 1),coursera,10%2B
/course/protect-business-innovations-patent-10382,Protecting Business Innovations via Patent,coursera,10%2B
/course/vector-calculus-engineers-17387,Vector Calculus for Engineers,coursera,10%2B
/course/information-systems-audit-17979,"Information Systems Auditing, Controls and Assurance",coursera,10%2B
/course/fintech-11193,FinTech Foundations and Overview,coursera,10%2B
/course/python-statistics-financial-analysis-12648,Python and Statistics for Financial Analysis,coursera,10%2B
/course/mountains-101-7455,Mountains 101,coursera,10%2B
/course/happiness-2860,A Life of Happiness and Fulfillment,coursera,10%2B
/course/mindshift-8289,Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,coursera,10%2B
/course/uncommon-sense-teaching-46410,Uncommon Sense Teaching,coursera,10%2B
/course/managing-human-resources-5462,Preparing to Manage Human Resources,coursera,10%2B
/course/modpo-356,Modern & Contemporary American Poetry (“ModPo”),coursera,10%2B
/course/python-data-4174,Python Data Structures,coursera,10%2B
/course/python-4319,Programming for Everybody (Getting Started with Python),coursera,10%2B
/course/successfulnegotiation-2460,Successful Negotiation: Essential Strategies and Skills,coursera,10%2B
/course/python-databases-4272,Using Databases with Python,coursera,10%2B
/course/python-network-data-4343,Using Python to Access Web Data,coursera,10%2B
/course/datascitoolbox-1712,The Data Scientist’s Toolbox,coursera,10%2B
/course/rprog-1713,R Programming,coursera,10%2B
/course/statics1-564,Introduction to Engineering Mechanics,coursera,10%2B
/course/digital-marketing-revolution-54370,The Digital Marketing Revolution,coursera,10%2B
/course/python-18625,Python for Everybody,coursera,10%2B
/course/learning-how-to-learn-youth-12569,Learning How To Learn for Youth,coursera,10%2B
/course/differential-equations-engineers-13258,Differential Equations for Engineers,coursera,10%2B
/course/matrix-algebra-engineers-11986,Matrix Algebra for Engineers,coursera,10%2B
/course/fibonacci-6684,Fibonacci Numbers and the Golden Ratio,coursera,10%2B
/course/matlab-3396,Introduction to Programming with MATLAB,coursera,10%2B
/course/clinical-research-5037,Understanding Clinical Research: Behind the Statistics,coursera,10%2B
/course/learning-how-to-learn-2161,Learning How to Learn: Powerful mental tools to help you master tough subjects,coursera,10%2B
/course/learn-korean-5730,First Step Korean,coursera,10%2B
/course/dino101-1057,Dino 101: Dinosaur Paleobiology,coursera,10%2B
/course/machine-learning-835,Machine Learning,coursera,10%2B
/course/scigast-519,The Science of Gastronomy,coursera,10%2B
/course/mechanics-1-5031,Mechanics of Materials I: Fundamentals of Stress & Strain and Axial Loading,coursera,10%2B
/course/programming1-385,Learn to Program: The Fundamentals,coursera,10%2B
/course/apprendre-comment-apprendre-18067,Apprendre comment apprendre (ACA) : Des outils mentaux puissants qui vous aideront à maîtriser des sujets difficiles,coursera,10%2B
/course/computational-social-science-methods-17299,Computational Social Science Methods,coursera,10%2B
/course/slides-9643,Presentation skills: Designing Presentation Slides,coursera,10%2B
/course/speechwriting-9646,Presentation skills: Speechwriting and Storytelling,coursera,10%2B
/course/computational-social-science-ucdavis-18710,Computational Social Science,coursera,10%2B
/course/delivery-9645,Presentation skills:  Effective Presentation Delivery,coursera,10%2B
/course/humanlanguage-2940,Miracles of Human Language: An Introduction to Linguistics,coursera,10%2B
/course/regtech-11726,FinTech Security and Regulation (RegTech),coursera,10%2B
/course/mindfulness-6951,De-Mystifying Mindfulness,coursera,10%2B
/course/fintech-risk-management-12007,FinTech Risk Management,coursera,10%2B
/course/introphil-418,Introduction to Philosophy,coursera,10%2B
