Link,Title,Platform,Duration
/course/edx-cs50-s-introduction-to-computer-science-442,CS50's Introduction to Computer Science,edx,10%2B
/course/edx-hope-human-odyssey-to-political-existentialism-11584,HOPE: Human Odyssey to Political Existentialism,edx,10%2B
/course/edx-computing-in-python-i-fundamentals-and-procedural-programming-11469,Computing in Python I: Fundamentals and Procedural Programming,edx,10%2B
/course/edx-product-management-fundamentals-19098,Product Management Fundamentals,edx,10%2B
/course/edx-managing-conflicts-on-projects-with-cultural-and-emotional-intelligence-19747,Managing Conflicts on Projects with Cultural and Emotional Intelligence,edx,10%2B
/course/edx-agile-leadership-principles-and-practices-11920,Agile Leadership Principles and Practices,edx,10%2B
/course/edx-agile-innovation-and-problem-solving-skills-11919,Agile Innovation and Problem Solving Skills,edx,10%2B
/course/edx-applied-scrum-for-agile-project-management-11917,Applied Scrum for Agile Project Management,edx,10%2B
/course/edx-agile-process-project-and-program-controls-11921,"Agile Process, Project, and Program Controls",edx,10%2B
/course/edx-sprint-planning-for-faster-agile-team-delivery-11918,Sprint Planning for Faster Agile Team Delivery,edx,10%2B
/course/edx-marketing-digital-content-community-manager-10386,Marketing Digital: Content & Community Manager,edx,10%2B
/course/edx-basic-spanish-1-getting-started-3698,Basic Spanish 1: Getting Started,edx,10%2B
/course/edx-nutrition-exercise-and-sports-14381,"Nutrition, Exercise and Sports",edx,10%2B
/course/edx-nutrition-heart-disease-and-diabetes-11592,"Nutrition, Heart Disease and Diabetes",edx,10%2B
/course/edx-nutrition-and-health-micronutrients-and-malnutrition-3643,Nutrition and Health: Micronutrients and Malnutrition,edx,10%2B
/course/edx-nutrition-and-health-macronutrients-and-overnutrition-2154,Nutrition and Health: Macronutrients and Overnutrition,edx,10%2B
/course/edx-sustainable-tourism-society-environmental-aspects-10356,Sustainable Tourism: Society & Environmental Aspects,edx,10%2B
/course/edx-nutrition-and-health-food-safety-5157,Nutrition and Health: Food Safety,edx,10%2B
/course/edx-nutrition-and-health-human-microbiome-9565,Nutrition and Health: Human Microbiome,edx,10%2B
/course/edx-nutrition-and-cancer-11591,Nutrition and Cancer,edx,10%2B
/course/edx-unlocking-information-security-part-i-16964,Unlocking Information Security I: From Cryptography to Buffer Overflows,edx,10%2B
/course/edx-lean-production-8447,Lean Production,edx,10%2B
/course/edx-six-sigma-define-and-measure-8450,Six Sigma: Define and Measure,edx,10%2B
