Link,Title,Platform,Duration
/course/forensic-facial-reconstruction-7641,Forensic Facial Reconstruction: Finding Mr. X,futurelearn,1-5
/course/ecology-and-wildlife-conservation-13667,Ecology and Wildlife Conservation,futurelearn,1-5
/course/anatomy-know-your-abdomen-5008,Anatomy: Know Your Abdomen,futurelearn,1-5
/course/starting-a-business-1-5007,Starting a Business 1: Vision and Opportunity,futurelearn,1-5
/course/ww1-heroism-art-film-5014,WW1 Heroism: Through Art and Film,futurelearn,1-5
/course/searching-and-researching-5019,Learning Online: Researching Your Project,futurelearn,1-5
/course/fashion-innovation-5004,Innovation: the Fashion Industry,futurelearn,1-5
/course/ai-and-big-data-global-health-improvement-17981,AI and Big Data in Global Health Improvement,futurelearn,1-5
/course/learning-and-collaborating-5015,Learning Online: Communicating and Collaborating,futurelearn,1-5
/course/food-science-and-nutrition-18182,Food Science and Nutrition: From the Farm to You,futurelearn,1-5
/course/online-identity-5018,Learning Online: Managing Your Online Identity,futurelearn,1-5
/course/physical-theatre-exploring-the-slap-6096,Physical Theatre: Exploring the Slap,futurelearn,1-5
/course/ib-extended-essay-12702,The IB Extended Essay: Managing your Research Project,futurelearn,1-5
/course/atmospheric-chemistry-planets-and-life-beyond-ear-12703,Atmospheric Chemistry: Planets and Life Beyond Earth,futurelearn,1-5
/course/starting-a-business-2-5009,Starting a Business 2: People and Networks,futurelearn,1-5
/course/exploring-cancer-medicines-6790,Exploring Cancer Medicines,futurelearn,1-5
/course/starting-a-business-5-5012,Starting a Business 5: Managing Finances,futurelearn,1-5
/course/reflecting-and-sharing-5017,Learning Online: Studying and Reflecting,futurelearn,1-5
/course/starting-a-business-6-5013,Starting a Business 6: Funding Your Business,futurelearn,1-5
/course/level-3-safeguarding-adults-17225,Safeguarding Adults: Level 3 Training,futurelearn,1-5
/course/preparing-your-child-for-the-future-of-work-105251,Preparing your Child for the Future of Work,futurelearn,1-5
/course/communication-and-interpersonal-skills-at-work-17495,Communication and Interpersonal Skills at Work,futurelearn,1-5
/course/starting-a-business-3-5010,Starting a Business 3: Customers and Competitors,futurelearn,1-5
/course/starting-a-business-4-5011,Starting a Business 4: Business Processes,futurelearn,1-5
/course/effective-nursing-in-times-of-crisis-19511,COVID-19: Effective Nursing in Times of Crisis,futurelearn,1-5
/course/ecg-assessment-3945,ECG Assessment: an Introduction for Healthcare Providers,futurelearn,1-5
/course/computer-programming-for-everyone-17488,Computer Programming for Everyone,futurelearn,1-5
/course/how-to-create-video-for-online-courses-92972,How to Create Video for Online Courses,futurelearn,1-5
/course/teaching-phonics-11770,Teaching Phonics in Early Childhood,futurelearn,1-5
/course/skills-to-succeed-at-university-56145,Skills to Succeed at University,futurelearn,1-5
/course/psychological-first-aid-covid-19-20212,COVID-19: Psychological First Aid,futurelearn,1-5
/course/leading-people-and-teams-capstone-34192,Leading People and Teams Capstone,futurelearn,1-5
/course/creating-apps-classroom-11541,Creating Apps in the Classroom,futurelearn,1-5
/course/taking-control-hip-and-knee-osteoarthritis-98558,Taking Control of Your Hip and Knee Osteoarthritis,futurelearn,1-5
/course/circular-regions-116608,Spatial Circularity Strategies: Introduction,futurelearn,1-5
/course/inclusive-education-16951,Inclusive Education: Essential Knowledge for Success,futurelearn,1-5
/course/teaching-entrepreneurial-thinking-10582,Teaching Entrepreneurial Thinking,futurelearn,1-5
/course/tackling-climate-crisis-54133,Planet Partners: Tackling the Climate Crisis Together,futurelearn,1-5
/course/managing-covid-19-in-primary-care-19189,Managing COVID-19 in Primary Care,futurelearn,1-5
/course/speak-like-thai-people-24322,Let's Learn Thai Language,futurelearn,1-5
