Link,Title,Platform,Duration
/course/end-of-life-care-16932,End of Life Care: Challenges and Innovation,futurelearn,10%2B
/course/discover-dentistry-1249,Discover Dentistry,futurelearn,10%2B
/course/technical-report-writing-for-engineers-9087,Technical Report Writing for Engineers,futurelearn,10%2B
/course/songwriting-3369,How to Write Your First Song,futurelearn,10%2B
/course/mindfulness-life-9078,Maintaining a Mindful Life,futurelearn,10%2B
/course/mindfulness-wellbeing-performance-3714,Mindfulness for Wellbeing and Peak Performance,futurelearn,10%2B
/course/what-is-a-mind-3314,What is a Mind?,futurelearn,10%2B
/course/english-in-early-childhood-6910,English in Early Childhood: Language Learning and Development,futurelearn,10%2B
/course/explore-english-shakespeare-4847,Exploring English: Shakespeare,futurelearn,10%2B
/course/explore-english-language-culture-2135,Exploring English: Language and Culture,futurelearn,10%2B
/course/english-language-teaching-3659,Lessons and Teaching,futurelearn,10%2B
/course/working-with-translation-6981,Working with Translation: Theory and Practice,futurelearn,10%2B
/course/food-as-medicine-5742,Food as Medicine,futurelearn,10%2B
/course/extinctions-past-present-8004,Extinctions: Past and Present,futurelearn,10%2B
/course/migrants-and-refugees-in-education-11825,Migrants and Refugees in Education: A toolkit for teachers,futurelearn,10%2B
/course/becoming-a-better-teacher-8267,Becoming a Better Teacher: Exploring Professional Development,futurelearn,10%2B
/course/psychology-of-learning-11039,Introduction to Psychology: The Psychology of Learning,futurelearn,10%2B
/course/education-for-all-5664,"Education for All: Disability, Diversity and Inclusion ",futurelearn,10%2B
/course/young-people-mental-health-9491,Young People and Mental Health,futurelearn,10%2B
/course/supporting-learning-primary-13229,Supporting Successful Learning in Primary School,futurelearn,10%2B
/course/medicine-and-the-arts-3015,Medicine and the Arts: Humanising Healthcare,futurelearn,10%2B
/course/clinical-research-4046,Improving Healthcare Through Clinical Research,futurelearn,10%2B
/course/exploring-english-food-and-culture-46007,Exploring English: Food and Culture,futurelearn,10%2B
/course/developmental-psychology-11040,Introduction to Psychology: Developmental Psychology,futurelearn,10%2B
/course/intercultural-studies-language-culture-10562,Introduction to Intercultural Studies: Language and Culture,futurelearn,10%2B
/course/extreme-geological-events-13558,Extreme Geological Events,futurelearn,10%2B
/course/precalculus-8988,"Precalculus: the Mathematics of Numbers, Functions and Equations",futurelearn,10%2B
/course/advanced-precalculus-9602,"Advanced Precalculus: Geometry, Trigonometry and Exponentials",futurelearn,10%2B
/course/general-data-protection-regulation-9403,Understanding the GDPR,futurelearn,10%2B
/course/rome-7801,Rome: A Virtual Tour of the Ancient City,futurelearn,10%2B
/course/hta-4966,Health Technology Assessment: Choosing Which Treatments Get Funded,futurelearn,10%2B
/course/covid19-novel-coronavirus-18996,COVID-19: Tackling the Novel Coronavirus,futurelearn,10%2B
/course/discovering-science-science-writing-7743,Discovering Science: Science Writing,futurelearn,10%2B
/course/intercultural-studies-crossing-borders-10563,Introduction to Intercultural Studies: Crossing Borders,futurelearn,10%2B
/course/introduction-to-cyber-security-2448,Introduction to Cyber Security,futurelearn,10%2B
/course/start-writing-fiction-1759,Start Writing Fiction,futurelearn,10%2B
/course/multilingual-practices-8096,Multilingual Practices: Tackling Challenges and Creating Opportunities,futurelearn,10%2B
/course/bacterial-genomes-access-and-analysis-11907,Bacterial Genomes II: Accessing and Analysing Microbial Genome Data Using Artemis,futurelearn,10%2B
/course/programming-for-everybody-python-16934,Programming for Everybody (Getting Started with Python),futurelearn,10%2B
/course/intercultural-studies-branding-culture-12716,Introduction to Intercultural Studies: The Branding of Culture,futurelearn,10%2B
/course/intercultural-studies-concept-culture-10560,Introduction to Intercultural Studies: Defining the Concept of Culture,futurelearn,10%2B
/course/discovering-science-medicinal-chemistry-7739,Discovering Science: Medicinal Chemistry,futurelearn,10%2B
/course/intercultural-studies-contact-10561,Introduction to Intercultural Studies: Intercultural Contact,futurelearn,10%2B
/course/global-water-security-12542,The Challenge of Global Water Security,futurelearn,10%2B
/course/data-science-artificial-intelligence-21121,Get ready for a Masters in Data Science and AI,futurelearn,10%2B
/course/programming-for-everybody-python-data-structures-20092,Programming for Everybody: Python Data Structures,futurelearn,10%2B
/course/change-of-era-the-origins-of-christian-culture-th-117528,Change of Era: The Origins of Christian Culture through the Lens of Archaeology,futurelearn,10%2B
/course/fashion-values-cultures-116857,Fashion Values: Cultures,futurelearn,10%2B
/course/complexity-and-uncertainty-2218,Decision Making in a Complex and Uncertain World,futurelearn,10%2B
/course/medtech-ai-and-medical-robots-14408,MedTech: AI and Medical Robots,futurelearn,10%2B
/course/circular-business-models-for-sustainable-urban-fo-21293,Circular Business Models for Sustainable Urban Food Systems,futurelearn,10%2B
/course/ageing-3416,Why Do We Age? The Molecular Mechanisms of Ageing,futurelearn,10%2B
/course/empire-2868,Empire: the Controversies of British Imperialism,futurelearn,10%2B
/course/moons-1754,Moons,futurelearn,10%2B
/course/finance-for-everyone-smart-tools-for-decision-mak-43830,Finance for Everyone: Smart Tools for Decision-Making,futurelearn,10%2B
/course/everyday-chemistry-7435,Exploring Everyday Chemistry,futurelearn,10%2B
/course/begin-robotics-3410,Begin Robotics,futurelearn,10%2B
/course/history-science-psychology-11037,Introduction to Psychology: The History and Science of Psychology,futurelearn,10%2B
