Link,Title,Platform,Level
/course/probabilistic-graphical-models-18689,Probabilistic Graphical Models ,coursera,advanced
/course/advanced-grammar-punctuation-18772,Learn English: Advanced Grammar and Punctuation,coursera,advanced
/course/advanced-statistics-data-science-21688,Advanced Statistics for Data Science,coursera,advanced
/course/deep-learning-healthcare-89612,Deep Learning for Healthcare,coursera,advanced
/course/self-driving-cars-18875,Self-Driving Cars,coursera,advanced
/course/strategic-analytics-18835,Strategic Business Analytics,coursera,advanced
/course/semiconductor-devices-18615,Semiconductor Devices,coursera,advanced
/course/boulder-data-structures-algorithms-41062,Data Science Foundations: Data Structures and Algorithms,coursera,advanced
/course/statistical-thermodynamics-engineering-18813,Statistical Thermodynamics,coursera,advanced
/course/spacecraft-dynamics-control-18713,Spacecraft Dynamics and Control,coursera,advanced
/course/optical-engineering-18649,Optical Engineering,coursera,advanced
/course/active-optical-devices-18681,Active Optical Devices,coursera,advanced
/course/software-architecture-big-data-110663,Software Architecture for Big Data,coursera,advanced
/course/advanced-spacecraft-dynamics-control-89545,Advanced Spacecraft Dynamics and Control,coursera,advanced
/course/data-warehousing-18912,Data Warehousing for Business Intelligence,coursera,advanced
/course/practical-data-science-45933,Practical Data Science on the AWS Cloud,coursera,advanced
/course/leadership-critical-thinking-39376,Leadership and Critical Thinking,coursera,advanced
/course/leadership-negotiation-skills-40722,Leadership and Negotiation Skills,coursera,advanced
/course/innovation-entrepreneurship-39374,Innovation and entrepreneurship,coursera,advanced
/course/leading-family-business-39372,Leading a Family Business,coursera,advanced
/course/advanced-machine-learning-tensorflow-gcp-18636,Advanced Machine Learning on Google Cloud,coursera,advanced
/course/machine-learning-engineering-for-production-mlops-43683,Machine Learning Engineering for Production (MLOps),coursera,advanced
/course/advanced-data-science-ibm-18680,Advanced Data Science with IBM,coursera,advanced
/course/autodesk-generative-design-manufacturing-18748,Autodesk Generative Design for Manufacturing,coursera,advanced
/course/ibm-ai-workflow-18845,IBM AI Enterprise Workflow,coursera,advanced
/course/codio-advanced-django-and-django-rest-framework-89621,Advanced Django: Mastering Django and Django Rest Framework,coursera,advanced
/course/leadership-out-of-the-box-89479,Leadership Out of the Box,coursera,advanced
/course/advanced-machine-learning-tensorflow-gcp-119232,Advanced Machine Learning on Google Cloud,coursera,advanced
/course/liderazgo-habilidades-negociacion-40716,Liderazgo y habilidades de negociación,coursera,advanced
/course/liderazgo-pensamiento-critico-40718,Liderazgo y Pensamiento Crítico,coursera,advanced
/course/innovacion-39373,Innovación y emprendimiento ,coursera,advanced
/course/empresas-familiares-39377,Empresas Familiares,coursera,advanced
