Link,Title,Platform,Level
/course/medical-research-19515,Understanding Medical Research: Your Facebook Friend is Wrong,coursera,beginner
/course/dmdigitalworld-2750,Marketing in a Digital World,coursera,beginner
/course/protect-business-innovations-patent-10382,Protecting Business Innovations via Patent,coursera,beginner
/course/vector-calculus-engineers-17387,Vector Calculus for Engineers,coursera,beginner
/course/information-systems-audit-17979,"Information Systems Auditing, Controls and Assurance",coursera,beginner
/course/fintech-11193,FinTech Foundations and Overview,coursera,beginner
/course/mindshift-8289,Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,coursera,beginner
/course/uncommon-sense-teaching-46410,Uncommon Sense Teaching,coursera,beginner
/course/modpo-356,Modern & Contemporary American Poetry (“ModPo”),coursera,beginner
/course/digital-marketing-revolution-54370,The Digital Marketing Revolution,coursera,beginner
/course/python-18625,Python for Everybody,coursera,beginner
/course/learning-how-to-learn-youth-12569,Learning How To Learn for Youth,coursera,beginner
/course/differential-equations-engineers-13258,Differential Equations for Engineers,coursera,beginner
/course/matrix-algebra-engineers-11986,Matrix Algebra for Engineers,coursera,beginner
/course/fibonacci-6684,Fibonacci Numbers and the Golden Ratio,coursera,beginner
/course/matlab-3396,Introduction to Programming with MATLAB,coursera,beginner
/course/learning-how-to-learn-2161,Learning How to Learn: Powerful mental tools to help you master tough subjects,coursera,beginner
/course/learn-korean-5730,First Step Korean,coursera,beginner
/course/dino101-1057,Dino 101: Dinosaur Paleobiology,coursera,beginner
/course/machine-learning-835,Machine Learning,coursera,beginner
/course/scigast-519,The Science of Gastronomy,coursera,beginner
/course/programming1-385,Learn to Program: The Fundamentals,coursera,beginner
/course/apprendre-comment-apprendre-18067,Apprendre comment apprendre (ACA) : Des outils mentaux puissants qui vous aideront à maîtriser des sujets difficiles,coursera,beginner
/course/computational-social-science-methods-17299,Computational Social Science Methods,coursera,beginner
/course/computational-social-science-ucdavis-18710,Computational Social Science,coursera,beginner
/course/humanlanguage-2940,Miracles of Human Language: An Introduction to Linguistics,coursera,beginner
/course/regtech-11726,FinTech Security and Regulation (RegTech),coursera,beginner
/course/mindfulness-6951,De-Mystifying Mindfulness,coursera,beginner
/course/fintech-risk-management-12007,FinTech Risk Management,coursera,beginner
/course/intro-indoor-air-quality-9706,Introduction to Indoor Air Quality,coursera,beginner
/course/socialpsychology-555,Social Psychology,coursera,beginner
/course/green-business-strategy-12644,Green Business Strategy,coursera,beginner
/course/health-concepts-chinese-medicine-9496,Health Concepts in Chinese Medicine,coursera,beginner
/course/protect-business-innovations-copyright-8733,Protecting Business Innovations via Copyright,coursera,beginner
/course/food-and-health-5057,Stanford Introduction to Food and Health,coursera,beginner
/course/interactivepython2-3196,An Introduction to Interactive Programming in Python (Part 2),coursera,beginner
/course/philosophy-science-religion-3-10623,"Philosophy, Science and Religion: Religion and Science",coursera,beginner
/course/strategy-law-ethics-6195,"Making Successful Decisions through the Strategy, Law & Ethics Model",coursera,beginner
/course/accounting-business-society-12434,"Accounting, Business and Society:  The Multi-faceted Role of Accounting",coursera,beginner
/course/protect-business-innovations-trademark-10038,Protecting Business Innovations via Trademark,coursera,beginner
/course/childnutrition-816,Child Nutrition and Cooking,coursera,beginner
/course/product-management-essentials-46400,Product Management Essentials,coursera,beginner
/course/financialmarkets-912,Financial Markets,coursera,beginner
/course/dmanalyticstheory-2753,Digital Marketing Analytics in Theory,coursera,beginner
/course/gte-sustainable-cities-4851,Greening the Economy: Sustainable Cities,coursera,beginner
/course/einstein-765,Understanding Einstein: The Special Theory of Relativity,coursera,beginner
/course/exploratory-data-analysis-matlab-17125,Exploratory Data Analysis with MATLAB,coursera,beginner
/course/social-innovation-6655,Becoming a changemaker: Introduction to Social Innovation,coursera,beginner
/course/db-303,Introduction to Databases,coursera,beginner
/course/criticalmanagement-714,Critical Perspectives on Management,coursera,beginner
/course/data-science-crash-course-4392,A Crash Course in Data Science,coursera,beginner
/course/sciwrite-464,Writing in the Sciences,coursera,beginner
/course/projects101-3292,Fundamentals of Project Planning and Management,coursera,beginner
/course/julia-programming-7092,Julia Scientific Programming,coursera,beginner
/course/dmanalyticspractice-2754,Digital Marketing Analytics in Practice,coursera,beginner
/course/design-371,Design: Creation of Artifacts in Society,coursera,beginner
/course/computer-simulations-17986,Computer Simulations,coursera,beginner
/course/songwriting-lyrics-523,Songwriting: Writing the Lyrics,coursera,beginner
/course/philosophy-science-religion-2-9085,"Philosophy, Science and Religion: Philosophy and Religion",coursera,beginner
/course/terrorism-701,Terrorism and Counterterrorism: Comparing Theory and Practice,coursera,beginner
/course/fundamentals-of-graphic-design-4792,Fundamentals of Graphic Design,coursera,beginner
/course/strategy101-546,Foundations of Business Strategy,coursera,beginner
/course/game-theory-1-308,Game Theory,coursera,beginner
/course/astro-3007,Astronomy: Exploring Time and Space,coursera,beginner
/course/tricky-american-english-pronunciation-8274,Tricky American English Pronunciation,coursera,beginner
/course/wgs-bacteria-8907,Whole genome sequencing of bacterial genomes - tools and applications,coursera,beginner
/course/protect-business-innovations-strategy-10496,Protecting Business Innovations via Strategy,coursera,beginner
/course/stem-6538,"English for Science, Technology, Engineering, and Mathematics",coursera,beginner
/course/wharton-communication-skills-8235,Improving Communication Skills,coursera,beginner
/course/brainspace-1362,The Brain and Space,coursera,beginner
/course/java-programming-4305,Java Programming: Solving Problems with Software,coursera,beginner
/course/know-thyself-the-examined-life-432, Know Thyself - The Value and Limits of Self-Knowledge: The Examined Life,coursera,beginner
