Link,Title,Platform,Level
/course/python-statistics-financial-analysis-12648,Python and Statistics for Financial Analysis,coursera,intermediate
/course/rprog-1713,R Programming,coursera,intermediate
/course/algorithms-divide-conquer-374,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",coursera,intermediate
/course/maththink-370,Introduction to Mathematical Thinking,coursera,intermediate
/course/building-community-habits-of-learning-84704,"Uncommon Sense Teaching: Part 2, Building Community and Habits of Learning",coursera,intermediate
/course/progfun-422,Functional Programming Principles in Scala,coursera,intermediate
/course/algs4partI-339,"Algorithms, Part I",coursera,intermediate
/course/python-data-analysis-6671,Introduction to Data Science in Python,coursera,intermediate
/course/sample-based-learning-methods-14496,Sample-based Learning Methods,coursera,intermediate
/course/object-oriented-design-9216,Object-Oriented Design,coursera,intermediate
/course/eu-making-europe-work-7408,EU policy and implementation: making Europe work! ,coursera,intermediate
/course/numerical-methods-engineers-32822,Numerical Methods for Engineers,coursera,intermediate
/course/mastering-statics-13737,Mastering Statics,coursera,intermediate
/course/principlescomputing1-1724,Principles of Computing (Part 1),coursera,intermediate
/course/predictive-modeling-machine-learning-17129,Predictive Modeling and Machine Learning with MATLAB,coursera,intermediate
/course/progfun2-1186,Functional Program Design in Scala,coursera,intermediate
/course/feature-engineering-matlab-17127,Data Processing and Feature Engineering with MATLAB,coursera,intermediate
/course/algs4partII-340,"Algorithms, Part II",coursera,intermediate
/course/materials-structures-6188,"Mechanics of Materials IV: Deflections, Buckling, Combined Loading & Failure Theories",coursera,intermediate
/course/design-patterns-9215,Design Patterns,coursera,intermediate
/course/intrologic-329,Introduction to Logic,coursera,intermediate
/course/stories-of-infection-8444,Stories of Infection,coursera,intermediate
/course/prediction-control-function-approximatio-14499,Prediction and Control with Function Approximation,coursera,intermediate
/course/exploratory-data-analysis-1715,Exploratory Data Analysis,coursera,intermediate
/course/algorithms-npcomplete-7351,"Shortest Paths Revisited, NP-Complete Problems and What To Do About Them",coursera,intermediate
/course/python-plotting-6670,"Applied Plotting, Charting & Data Representation in Python",coursera,intermediate
/course/algorithmicthink1-1725,Algorithmic Thinking (Part 1),coursera,intermediate
/course/bayesian-6097,Bayesian Statistics,coursera,intermediate
/course/programming-languages-452,"Programming Languages, Part A",coursera,intermediate
/course/how-things-work-431,How Things Work: An Introduction to Physics,coursera,intermediate
/course/css-capstone-17985,Computational Social Science Capstone Project,coursera,intermediate
/course/software-architecture-9217,Software Architecture,coursera,intermediate
/course/climate-change-mitigation-5054,Climate Change Mitigation in Developing Countries,coursera,intermediate
/course/python-machine-learning-6673,Applied Machine Learning in Python,coursera,intermediate
/course/optimization-487,Discrete Optimization,coursera,intermediate
/course/cloud-applications-part1-2738,"Cloud Computing Applications, Part 1: Cloud Systems and Infrastructure",coursera,intermediate
/course/herbalmedicine-12872,Herbal Medicine,coursera,intermediate
/course/finiteelementmethods-3537,The Finite Element Method for Problems in Physics,coursera,intermediate
/course/organ-donation-8708,Organ Donation: From Death to Life ,coursera,intermediate
/course/aws-machine-learning-16924,Getting Started with AWS Machine Learning,coursera,intermediate
/course/r-programming-environment-7170,The R Programming Environment,coursera,intermediate
/course/mswm-4080,Municipal Solid Waste Management in Developing Countries,coursera,intermediate
