Link,Title,Platform,Level
/course/edx-agile-leadership-principles-and-practices-11920,Agile Leadership Principles and Practices,edx,advanced
/course/edx-agile-innovation-and-problem-solving-skills-11919,Agile Innovation and Problem Solving Skills,edx,advanced
/course/edx-applied-scrum-for-agile-project-management-11917,Applied Scrum for Agile Project Management,edx,advanced
/course/edx-agile-process-project-and-program-controls-11921,"Agile Process, Project, and Program Controls",edx,advanced
/course/edx-sprint-planning-for-faster-agile-team-delivery-11918,Sprint Planning for Faster Agile Team Delivery,edx,advanced
/course/edx-molecular-biology-part-1-dna-replication-and-repair-2907,Molecular Biology - Part 1: DNA Replication and Repair,edx,advanced
/course/edx-excel-avanzado-importacion-y-analisis-de-datos-10329,Excel avanzado: importación y análisis de datos,edx,advanced
/course/edx-python-for-data-science-8209,Python for Data Science,edx,advanced
/course/edx-probability-the-science-of-uncertainty-and-data-1496,Probability - The Science of Uncertainty and Data,edx,advanced
/course/edx-molecular-biology-part-2-transcription-and-transposition-4072,Molecular Biology - Part 2: Transcription and Transposition,edx,advanced
/course/edx-mining-massive-datasets-2406,Mining Massive Datasets,edx,advanced
/course/edx-automata-theory-376,Automata Theory,edx,advanced
/course/edx-machine-learning-with-python-from-linear-models-to-deep-learning-11483,Machine Learning with Python: from Linear Models to Deep Learning,edx,advanced
/course/edx-probability-and-statistics-in-data-science-using-python-8213,Probability and Statistics in Data Science using Python,edx,advanced
/course/edx-convex-optimization-1577,Convex Optimization,edx,advanced
/course/edx-cybersecurity-fundamentals-7844,Cybersecurity Fundamentals,edx,advanced
/course/mathematical-and-computational-methods-27989,Mathematical and Computational Methods,edx,advanced
/course/edx-high-dimensional-data-analysis-2949,High-Dimensional Data Analysis,edx,advanced
/course/edx-thinking-critically-interpreting-randomized-clinical-trials-5703,Thinking Critically: Interpreting Randomized Clinical Trials,edx,advanced
/course/edx-advanced-bioconductor-2976,Advanced Bioconductor,edx,advanced
/course/edx-fundamentals-of-statistics-11482,Fundamentals of Statistics,edx,advanced
/course/edx-case-studies-in-functional-genomics-2973,Case Studies in Functional Genomics,edx,advanced
/course/mlops-for-scaling-tinyml-66338,MLOps for Scaling TinyML,edx,advanced
/course/edx-type-2-diabetes-management-19116,Type 2 Diabetes Management,edx,advanced
/course/edx-health-across-the-gender-spectrum-19163,Health Across the Gender Spectrum,edx,advanced
/course/edx-prescription-drug-misuse-and-addiction-compassionate-care-for-a-complex-problem-5144,Prescription Drug Misuse and Addiction: Compassionate Care for a Complex Problem,edx,advanced
/course/edx-molecular-biology-part-3-rna-processing-and-translation-7402,Molecular Biology – Part 3: RNA Processing and Translation,edx,advanced
