Link,Title,Platform,Level
/course/edx-cs50-s-introduction-to-computer-science-442,CS50's Introduction to Computer Science,edx,beginner
/course/edx-hope-human-odyssey-to-political-existentialism-11584,HOPE: Human Odyssey to Political Existentialism,edx,beginner
/course/edx-computing-in-python-i-fundamentals-and-procedural-programming-11469,Computing in Python I: Fundamentals and Procedural Programming,edx,beginner
/course/edx-product-management-fundamentals-19098,Product Management Fundamentals,edx,beginner
/course/edx-managing-conflicts-on-projects-with-cultural-and-emotional-intelligence-19747,Managing Conflicts on Projects with Cultural and Emotional Intelligence,edx,beginner
/course/edx-marketing-digital-content-community-manager-10386,Marketing Digital: Content & Community Manager,edx,beginner
/course/edx-basic-spanish-1-getting-started-3698,Basic Spanish 1: Getting Started,edx,beginner
/course/edx-nutrition-and-health-macronutrients-and-overnutrition-2154,Nutrition and Health: Macronutrients and Overnutrition,edx,beginner
/course/edx-sustainable-tourism-society-environmental-aspects-10356,Sustainable Tourism: Society & Environmental Aspects,edx,beginner
/course/edx-nutrition-and-health-food-safety-5157,Nutrition and Health: Food Safety,edx,beginner
/course/edx-nutrition-and-health-human-microbiome-9565,Nutrition and Health: Human Microbiome,edx,beginner
/course/edx-lean-production-8447,Lean Production,edx,beginner
/course/edx-six-sigma-define-and-measure-8450,Six Sigma: Define and Measure,edx,beginner
/course/learn-like-a-pro-science-based-tools-to-become-be-40292,Learn Like a Pro: Science-Based Tools to Become Better at Anything,edx,beginner
/course/edx-six-sigma-analyze-improve-control-8452,"Six Sigma: Analyze, Improve, Control",edx,beginner
/course/edx-the-future-of-work-preparing-for-disruption-13702,The Future of Work: Preparing for Disruption,edx,beginner
/course/edx-introduction-to-biology-the-secret-of-life-637,Introduction to Biology - The Secret of Life,edx,beginner
/course/edx-introduction-to-computer-science-and-programming-using-python-1341,Introduction to Computer Science and Programming Using Python,edx,beginner
/course/edx-herramientas-de-la-inteligencia-de-negocios-10281,Herramientas de la Inteligencia de Negocios,edx,beginner
/course/edx-medical-parasitology-19192,Medical Parasitology | 医学寄生虫学,edx,beginner
/course/edx-excel-fundamentos-y-herramientas-2962,Excel: Fundamentos y herramientas,edx,beginner
/course/edx-introduccion-a-la-inversion-bursatil-5316,Introducción a la inversión bursátil,edx,beginner
/course/edx-introduccion-a-la-gestion-de-proyectos-4870,Introducción a la gestión de proyectos,edx,beginner
/course/edx-estadistica-aplicada-a-los-negocios-10270,Estadística Aplicada a los Negocios,edx,beginner
/course/edx-python-aprender-a-programar-20077,Python: aprender a programar,edx,beginner
/course/edx-basic-spanish-3-getting-there-17850,Basic Spanish 3: Getting there,edx,beginner
/course/edx-quantum-mechanics-for-everyone-8284,Quantum Mechanics for Everyone,edx,beginner
/course/edx-analisis-estadistico-con-excel-13320,Análisis estadístico con Excel,edx,beginner
/course/edx-disena-presentaciones-eficaces-con-powerpoint-8673,Diseña presentaciones eficaces con Powerpoint,edx,beginner
/course/edx-computing-in-python-iv-objects-algorithms-11472,Computing in Python IV: Objects & Algorithms,edx,beginner
/course/edx-tsinghua-chinese-start-talking-with-1-3-billion-people-5426,Tsinghua Chinese: Start Talking with 1.3 Billion People,edx,beginner
/course/edx-gender-and-sexuality-applications-in-society-12333,Gender and Sexuality: Applications in Society,edx,beginner
/course/edx-introduction-to-animal-behaviour-6033,Introduction to Animal Behaviour,edx,beginner
/course/edx-ods-en-la-agenda-2030-de-las-naciones-unidas-retos-de-los-objetivos-de-desarrollo-sostenible-9740,ODS en la Agenda 2030 de las Naciones Unidas: Retos de los Objetivos de Desarrollo Sostenible,edx,beginner
/course/edx-bioseguridad-y-equipo-de-proteccion-para-la-prevencion-de-covid-19-20375,Bioseguridad y equipo de protección para la prevención de COVID-19,edx,beginner
/course/edx-ingles-empresarial-ventas-gestion-y-liderazgo-19171,"Inglés empresarial: ventas, gestión y liderazgo",edx,beginner
/course/edx-introduccion-a-la-regulacion-emocional-basada-en-mindfulness-13432,Introducción a la Regulación Emocional basada en Mindfulness,edx,beginner
/course/edx-justice-610,Justice,edx,beginner
/course/edx-flashdiet-aprende-a-comer-sano-8631,FlashDiet: Aprende a comer sano,edx,beginner
/course/edx-circuits-and-electronics-1-basic-circuit-analysis-444,Circuits and Electronics 1: Basic Circuit Analysis,edx,beginner
/course/edx-psychology-of-personal-growth-8857,Psychology of Personal Growth,edx,beginner
/course/edx-educacion-de-calidad-para-todos-equidad-inclusion-y-atencion-a-la-diversidad-3920,"Educación de calidad para todos: equidad, inclusión y atención a la diversidad",edx,beginner
/course/edx-introduccion-a-la-estructura-de-la-materia-3066,Introducción a la Estructura de la Materia,edx,beginner
/course/edx-modern-product-leadership-19102,Modern Product Leadership,edx,beginner
/course/edx-basic-spanish-2-one-step-further-8672,Basic Spanish 2: One Step Further,edx,beginner
/course/edx-success-practical-thinking-skills-8617,Success: Practical Thinking Skills,edx,beginner
/course/edx-marketing-innovative-products-and-services-19176,Marketing Innovative Products and Services,edx,beginner
/course/edx-let-s-get-started-building-self-awareness-19743,Let's Get Started: Building Self-Awareness,edx,beginner
/course/edx-computing-in-python-ii-control-structures-11470,Computing in Python II: Control Structures,edx,beginner
/course/edx-sheep-in-the-land-of-fire-and-ice-13245,Sheep in the Land of Fire and Ice,edx,beginner
/course/edx-persuasion-and-presence-for-program-and-project-managers-19744,Persuasion and Presence for Program and Project Managers,edx,beginner
/course/edx-introduccion-a-la-ciencia-de-datos-con-python-21169,Introducción a la Ciencia de Datos con Python,edx,beginner
/course/edx-effective-communication-for-program-and-project-stakeholders-and-teams-19740,Effective Communication for Program and Project Stakeholders and Teams,edx,beginner
/course/edx-riesgo-biologico-y-bioseguridad-en-el-entorno-laboral-20325,Riesgo biológico y bioseguridad en el entorno laboral,edx,beginner
/course/edx-facebook-ads-como-utilizar-el-poder-de-la-publicidad-en-facebook-10387,Facebook Ads: Cómo utilizar el poder de la publicidad en Facebook,edx,beginner
/course/edx-the-science-of-everyday-thinking-1332,The Science of Everyday Thinking,edx,beginner
/course/edx-computing-in-python-iii-data-structures-11471,Computing in Python III: Data Structures,edx,beginner
/course/edx-shakespeare-matters-8731,Shakespeare Matters,edx,beginner
/course/edx-ap-microeconomics-8630,AP® Microeconomics,edx,beginner
/course/communicating-science-a-springboard-for-action-22650,Strategic Communication for Sustainability Leaders,edx,beginner
