Link,Title,Platform,Level
/course/edx-nutrition-exercise-and-sports-14381,"Nutrition, Exercise and Sports",edx,intermediate
/course/edx-nutrition-heart-disease-and-diabetes-11592,"Nutrition, Heart Disease and Diabetes",edx,intermediate
/course/edx-nutrition-and-health-micronutrients-and-malnutrition-3643,Nutrition and Health: Micronutrients and Malnutrition,edx,intermediate
/course/edx-nutrition-and-cancer-11591,Nutrition and Cancer,edx,intermediate
/course/edx-unlocking-information-security-part-i-16964,Unlocking Information Security I: From Cryptography to Buffer Overflows,edx,intermediate
/course/edx-almacenamiento-de-energia-19277,Almacenamiento de energía,edx,intermediate
/course/edx-pronostico-de-la-generacion-de-energia-eolica-y-solar-fotovoltaica-19544,Pronóstico de la generación de energía eólica y solar fotovoltaica,edx,intermediate
/course/edx-sustainability-in-architecture-an-interdisciplinary-introduction-11438,Sustainability in Architecture: An Interdisciplinary Introduction,edx,intermediate
/course/edx-the-analytics-edge-1623,The Analytics Edge,edx,intermediate
/course/edx-aprendizaje-y-ensenanza-en-la-era-digital-7266,Aprendizaje y Enseñanza en la Era Digital,edx,intermediate
/course/edx-bases-matematicas-numeros-y-terminologia-2955,Bases Matemáticas: Números y terminología,edx,intermediate
/course/el-rol-de-la-digitalizacion-en-la-transicion-ener-48104,El rol de la digitalización en la transición energética,edx,intermediate
/course/edx-upper-intermediate-english-business-and-industry-11800,Upper-Intermediate English: Business and Industry,edx,intermediate
/course/edx-data-science-and-agile-systems-for-product-management-19101,Data Science and Agile Systems for Product Management,edx,intermediate
/course/edx-introduccion-a-la-energia-solar-fotovoltaica-el-modulo-fotovoltaico-11841,Introducción a la energía solar fotovoltaica: El módulo fotovoltaico,edx,intermediate
/course/edx-sustainable-tourism-rethinking-the-future-10357,Sustainable Tourism: Rethinking the future,edx,intermediate
/course/edx-results-based-project-management-monitoring-and-evaluation-6480,Results-Based Project Management: Monitoring and Evaluation,edx,intermediate
/course/edx-liderazgo-para-mandos-intermedios-7232,Liderazgo para mandos intermedios,edx,intermediate
/course/edx-unlocking-information-security-part-ii-16965,Unlocking Information Security II: An Internet Perspective,edx,intermediate
/course/edx-biochemistry-biomolecules-methods-and-mechanisms-12585,"Biochemistry: Biomolecules, Methods, and Mechanisms",edx,intermediate
/course/edx-introduction-to-video-game-development-with-unity-18138,Introduction to video game development with Unity,edx,intermediate
/course/edx-calidad-en-el-servicio-y-lealtad-del-cliente-20989,Calidad en el servicio y lealtad del cliente,edx,intermediate
/course/edx-introduction-to-computational-thinking-and-data-science-1779,Introduction to Computational Thinking and Data Science,edx,intermediate
/course/edx-cs50-s-web-programming-with-python-and-javascript-11506,CS50's Web Programming with Python and JavaScript,edx,intermediate
/course/edx-academic-writing-made-easy-13157,Academic Writing Made Easy,edx,intermediate
/course/edx-statistics-and-r-2960,Statistics and R,edx,intermediate
/course/edx-gestion-participativa-motivacion-y-liderazgo-organizacional-3606,Gestión participativa: motivación y liderazgo organizacional,edx,intermediate
/course/edx-upper-intermediate-english-business-and-technology-11803,Upper-Intermediate English: Business and Technology,edx,intermediate
/course/edx-tecnicas-cuantitativas-y-cualitativas-para-la-investigacion-6601,Técnicas Cuantitativas y Cualitativas para la Investigación,edx,intermediate
/course/edx-diseno-y-desarrollo-de-recursos-multimedia-para-la-ensenanza-virtual-7227,Diseño y Desarrollo de Recursos Multimedia para la Enseñanza Virtual,edx,intermediate
/course/edx-contract-law-from-trust-to-promise-to-contract-2633,Contract Law: From Trust to Promise to Contract,edx,intermediate
/course/edx-principles-of-biochemistry-3462,Principles of Biochemistry,edx,intermediate
/course/edx-introduction-to-linear-models-and-matrix-algebra-2963,Introduction to Linear Models and Matrix Algebra,edx,intermediate
/course/edx-using-python-for-research-7204,Using Python for Research,edx,intermediate
/course/edx-excel-gestion-de-datos-7462,Excel: gestión de datos,edx,intermediate
/course/edx-improving-global-health-focusing-on-quality-and-safety-1950,Improving Global Health: Focusing on Quality and Safety,edx,intermediate
/course/edx-upper-intermediate-english-business-and-globalization-11802,Upper-Intermediate English: Business and Globalization,edx,intermediate
/course/edx-constitutional-interpretation-13427,Constitutional Interpretation,edx,intermediate
/course/edx-human-anatomy-musculoskeletal-cases-2024,Human Anatomy: Musculoskeletal Cases,edx,intermediate
/course/edx-upper-intermediate-english-business-and-modern-life-11801,Upper-Intermediate English: Business and Modern Life,edx,intermediate
/course/edx-tecnologias-web-emergentes-para-la-ensenanza-virtual-7267,Tecnologías Web Emergentes para la Enseñanza Virtual,edx,intermediate
/course/the-industry-and-profession-in-construction-manag-46426,The Industry and Profession in Construction Management,edx,intermediate
/course/edx-introduction-to-agile-software-development-tools-techniques-443,Introduction to Agile Software Development: Tools & Techniques,edx,intermediate
/course/edx-supply-chain-fundamentals-2140,Supply Chain Fundamentals,edx,intermediate
/course/edx-statistical-inference-and-modeling-for-high-throughput-experiments-2967,Statistical Inference and Modeling for High-throughput Experiments,edx,intermediate
/course/edx-cs50-s-introduction-to-game-development-11504,CS50's Introduction to Game Development,edx,intermediate
/course/edx-introduction-to-semiconductors-pn-junctions-and-bipolar-junction-transistors-11365,"Introduction to Semiconductors, PN Junctions and Bipolar Junction Transistors",edx,intermediate
/course/edx-calculus-applied-8778,Calculus Applied!,edx,intermediate
/course/edx-introduction-to-bioconductor-2970,Introduction to Bioconductor,edx,intermediate
/course/edx-ingenieria-de-aeropuertos-diseno-del-lado-aire-segun-oaci-icao-17181,Ingeniería de aeropuertos: diseño del lado aire según OACI (ICAO),edx,intermediate
/course/edx-introduccion-al-desarrollo-de-videojuegos-con-unity-5345,Introducción al desarrollo de videojuegos con Unity,edx,intermediate
/course/edx-introduction-to-data-wise-a-collaborative-process-to-improve-learning-teaching-3395,Introduction to Data Wise: A Collaborative Process to Improve Learning & Teaching,edx,intermediate
/course/edx-introduction-to-probability-11423,Introduction to Probability,edx,intermediate
/course/edx-malariax-defeating-malaria-from-the-genes-to-the-globe-8413,MalariaX: Defeating Malaria from the Genes to the Globe,edx,intermediate
/course/edx-cs50-s-mobile-app-development-with-react-native-11505,CS50's Mobile App Development with React Native,edx,intermediate
/course/edx-introduccion-al-diseno-de-hardware-con-verilog-11782,Introducción al diseño de hardware con Verilog,edx,intermediate
/course/edx-big-data-analysis-with-apache-spark-3026,Big Data Analysis with Apache Spark,edx,intermediate
/course/edx-principles-statistical-and-computational-tools-for-reproducible-data-science-9489,"Principles, Statistical and Computational Tools for Reproducible Data Science",edx,intermediate
/course/edx-innovating-in-health-care-1614,Innovating in Health Care,edx,intermediate
/course/edx-applications-of-tinyml-21642,Applications of TinyML,edx,intermediate
/course/edx-deploying-tinyml-21643,Deploying TinyML,edx,intermediate
/course/introduction-to-data-science-with-python-110417,Introduction to Data Science with Python,edx,intermediate
/course/digital-humanities-in-practice-from-research-ques-108432,Digital Humanities in Practice: From Research Questions to Results,edx,intermediate
/course/edx-monitoring-volcanoes-and-magma-movements-13227,Monitoring Volcanoes and Magma Movements,edx,intermediate
