Link,Title,Platform,Level
/course/advanced-precalculus-9602,"Advanced Precalculus: Geometry, Trigonometry and Exponentials",futurelearn,advanced
/course/advanced-agile-with-scrum-and-kanban-sc-102599,Advanced Agile with Scrum and Kanban,futurelearn,advanced
/course/peak-45939,Physiotherapy Exercise and Physical Activity for Knee Osteoarthritis (PEAK),futurelearn,advanced
/course/mini-medical-school-hot-topics-in-medicine-58929,Mini Medical School: Hot Topics in Medical Science,futurelearn,advanced
/course/advanced-agile-with-scrum-and-kanban-66343,Advanced Agile with Scrum and Kanban,futurelearn,advanced
/course/value-of-syndromic-testing-and-its-role-in-ams-24323,Syndromic Testing and Antimicrobial Stewardship,futurelearn,advanced
/course/public-health-incidents-involving-lead-47976,Public Health Incidents Involving Lead,futurelearn,advanced
/course/components-of-sustainable-urban-mobility-22591,Transforming Urban Mobility: Components of Transport Planning for Sustainable Cities,futurelearn,advanced
/course/digital-clinical-trials-56558,Digital Tools for Efficient Clinical Trials,futurelearn,advanced
/course/research-methods-a-practical-guide-to-peer-and-co-47975,Research Methods: A Practical Guide to Peer and Community Research,futurelearn,advanced
/course/paediatric-dentistry-41017,Paediatric Dentistry for Non-Specialists,futurelearn,advanced
/course/children-with-developmental-disabilities-13757,Integrated Healthcare for Children with Developmental Disabilities,futurelearn,advanced
/course/role-of-diagnostics-in-the-amr-response-17010,The Role of Diagnostics in the Antimicrobial Resistance Response,futurelearn,advanced
/course/investing-in-diagnostics-for-the-silent-amr-pande-58903,Diagnostics for AMR: Building Back Better from the COVID-19 Pandemic,futurelearn,advanced
/course/nursing-the-application-of-bioscience-psychology--14893,"Introduction to Nursing: Bioscience, Psychology, and Sociology",futurelearn,advanced
/course/migration-mobilities-bristol-online-short-course--22546,"Migration, Mobilities and Citizenship",futurelearn,advanced
/course/pupillometry-course-117534,Pupillometry: The Eye as a Window Into the Mind,futurelearn,advanced
/course/genetic-inheritance-a-practical-guide-for-clinici-40647,Genetic Inheritance for the Pregnancy Pathway: A Practical Guide for Clinicians,futurelearn,advanced
/course/pharmacokinetics-and-dosing-regimen-in-renal-dise-14409,Pharmacokinetics: Drug Dosing in Renal Disease,futurelearn,advanced
/course/advanced-good-pharmacy-practice-part2-56936,Good Pharmacy Practice: Pharmaceutical Services,futurelearn,advanced
/course/advanced-good-pharmacy-practice-part1-56002,Good Pharmacy Practice: Medication Management,futurelearn,advanced
/course/lyme-disease-management-and-prevention-97398,Lyme Disease: Prevention and Management,futurelearn,advanced
/course/more-data-mining-with-weka-8389,More Data Mining with Weka,futurelearn,advanced
/course/advanced-data-mining-with-weka-9226,Advanced Data Mining with Weka,futurelearn,advanced
/course/smart-screening-for-prostate-cancer-99651,Smart Screening for Prostate Cancer,futurelearn,advanced
/course/introducing-sustainable-urban-mobility-21751,Transforming Urban Mobility: Introduction to Transport Planning for Sustainable Cities,futurelearn,advanced
/course/espghan-recommendation-for-enteral-nutrition-in-p-116610,Enteral Nutrition in Preterm Infants: ESPGHAN Recommendations,futurelearn,advanced
/course/exploring-gender-equality-education-94507,Exploring Gender Equality in Education,futurelearn,advanced
/course/transitioning-towards-sustainable-management-of-m-110567,Sustainable Management in the Extractive Industry,futurelearn,advanced
/course/making-sense-of-genomic-data-covid-19-web-based-b-94508,Making sense of genomic data: COVID-19 web-based bioinformatics,futurelearn,advanced
/course/procalcitonin-pct-as-a-biomarker-for-antimicrobia-22529,Procalcitonin: PCT as a Biomarker for Antimicrobial Stewardship,futurelearn,advanced
/course/digital-storytelling-the-blup-way-22074,Digital Marketing: Storytelling in the New Communication Landscape,futurelearn,advanced
/course/data-visualisation-with-python-bokeh-and-advanced-92001,Data Visualisation with Python: Bokeh and Advanced Layouts,futurelearn,advanced
/course/genomics-in-the-nhs-a-clinicians-guide-to-genomic-119176,Genomics in the NHS: A Clinician's Guide to Genomic Testing for Rare Disease,futurelearn,advanced
/course/tb-in-a-prison-setting-19221,Prison Health: Managing Outbreaks of Tuberculosis in Prisons,futurelearn,advanced
/course/social-science-for-tackling-antimicrobial-resista-16861,Tackling Antimicrobial Resistance: A Social Science Approach,futurelearn,advanced
/course/business-opportunities-in-additive-manufacturing-22049,Additive Manufacturing for Business: Practices and Ecosystem,futurelearn,advanced
/course/phd-preparation-for-fine-art-design-and-film-86173,"Preparing for a Practice-based PhD in Fine Art, Design, and Film",futurelearn,advanced
/course/chinese-medicine-treatise-on-febrile-diseases-cau-46395,Chinese Medicine: Treatise on Febrile Diseases Caused by Cold (Shang Han Lun),futurelearn,advanced
/course/ethical-cities-and-localisation-of-the-sustainabl-59412,Creating Ethical and Sustainable Cities at the Local Level,futurelearn,advanced
/course/jazz-piano-8923,Learn Jazz Piano: Begin with the Blues,futurelearn,advanced
/course/occupational-health-hazards-risk-assessment-and-c-94541,Risk Assessment and Management,futurelearn,advanced
/course/health-technology-assessment-in-practice-71211,Health Technology Assessment in Practice,futurelearn,advanced
/course/jazz-piano-advanced-topics-11727,Learn Jazz Piano: Advanced and Solo Playing,futurelearn,advanced
/course/jazz-piano-4-12312,Learn Jazz Piano: Final Topics and Two Concerts,futurelearn,advanced
/course/occupational-safety-and-health-hazards-94542,Occupational Safety and Health Hazards,futurelearn,advanced
/course/mergers-acquisitions-advanced-theory-9397,Mergers and Acquisitions: Advanced Theory,futurelearn,advanced
/course/advanced-data-analysis-and-visualization-using-mi-80439,Microsoft Power BI: Advanced Data Analysis and Visualisation,futurelearn,advanced
/course/hands-on-password-attacks-and-security-32653,Advanced Cyber Security Training: Hands-On Password Attacks,futurelearn,advanced
/course/securing-your-network-from-attacks-32652,Advanced Cyber Security Training: Network Security,futurelearn,advanced
/course/owasp-top-10-security-fundamentals-32651,Advanced Cyber Security Training: OWASP Top 10 and Web Application Fundamentals,futurelearn,advanced
/course/excel-advanced-data-visualization-and-dashboard-c-53155,Design and Create Custom Dashboards in Excel,futurelearn,advanced
/course/laser-powder-bed-fusion-process-parameters-and-pa-61353,Laser Powder Bed Fusion: Optimising LPBF Parameters,futurelearn,advanced
/course/contemporary-chinese-iv-92069,Contemporary Chinese IV,futurelearn,advanced
/course/peak-portuguese-94503,Physiotherapy Exercise and Physical Activity for Knee Osteoarthritis (PEAK - PORTUGUESE),futurelearn,advanced
/course/peak-spanish-66060,Physiotherapy Exercise and Physical Activity for Knee Osteoarthritis (PEAK - ESPAÑOL),futurelearn,advanced
/course/targeted-cancer-treatments-7469,Demystifying Targeted Cancer Treatments,futurelearn,advanced
/course/advanced-data-analysis-and-visualization-using-mi-80437,Advanced Data Analysis and Visualization Using Microsoft Excel,futurelearn,advanced
