Link,Title,Platform,Level
/course/critical-thinking-at-university-12273,Critical Thinking at University: An Introduction,futurelearn,beginner
/course/technical-report-writing-for-engineers-9087,Technical Report Writing for Engineers,futurelearn,beginner
/course/forensic-facial-reconstruction-7641,Forensic Facial Reconstruction: Finding Mr. X,futurelearn,beginner
/course/country-house-literature-2028,Literature of the English Country House,futurelearn,beginner
/course/improving-study-techniques-13420,Improving Your Study Techniques,futurelearn,beginner
/course/explore-english-shakespeare-4847,Exploring English: Shakespeare,futurelearn,beginner
/course/musculoskeletal-6738,The Musculoskeletal System: The Science of Staying Active into Old Age,futurelearn,beginner
/course/teaching-young-learners-online-20139,Teaching Young Learners Online,futurelearn,beginner
/course/understanding-ielts-reading-17038,Understanding IELTS: Reading,futurelearn,beginner
/course/understanding-ielts-listening-17168,Understanding IELTS: Listening,futurelearn,beginner
/course/understanding-ielts-speaking-17037,Understanding IELTS: Speaking,futurelearn,beginner
/course/understanding-ielts-writing-17169,Understanding IELTS: Writing,futurelearn,beginner
/course/working-with-translation-6981,Working with Translation: Theory and Practice,futurelearn,beginner
/course/ecology-and-wildlife-conservation-13667,Ecology and Wildlife Conservation,futurelearn,beginner
/course/dutch-3014,Introduction to Dutch,futurelearn,beginner
/course/anatomy-know-your-abdomen-5008,Anatomy: Know Your Abdomen,futurelearn,beginner
/course/extinctions-past-present-8004,Extinctions: Past and Present,futurelearn,beginner
/course/psychology-of-learning-11039,Introduction to Psychology: The Psychology of Learning,futurelearn,beginner
/course/education-for-all-5664,"Education for All: Disability, Diversity and Inclusion ",futurelearn,beginner
/course/starting-a-business-1-5007,Starting a Business 1: Vision and Opportunity,futurelearn,beginner
/course/young-people-mental-health-9491,Young People and Mental Health,futurelearn,beginner
/course/transport-systems-global-issues-and-future-innova-12705,Transport Systems: Global Issues and Future Innovations,futurelearn,beginner
/course/supporting-learning-primary-13229,Supporting Successful Learning in Primary School,futurelearn,beginner
/course/clinical-research-4046,Improving Healthcare Through Clinical Research,futurelearn,beginner
/course/developmental-psychology-11040,Introduction to Psychology: Developmental Psychology,futurelearn,beginner
/course/ww1-heroism-art-film-5014,WW1 Heroism: Through Art and Film,futurelearn,beginner
/course/searching-and-researching-5019,Learning Online: Researching Your Project,futurelearn,beginner
/course/intercultural-studies-language-culture-10562,Introduction to Intercultural Studies: Language and Culture,futurelearn,beginner
/course/research-ethics-an-introduction-12091,Introduction to Research Ethics: Working with People,futurelearn,beginner
/course/fashion-innovation-5004,Innovation: the Fashion Industry,futurelearn,beginner
/course/ai-and-big-data-global-health-improvement-17981,AI and Big Data in Global Health Improvement,futurelearn,beginner
/course/general-data-protection-regulation-9403,Understanding the GDPR,futurelearn,beginner
/course/learning-and-collaborating-5015,Learning Online: Communicating and Collaborating,futurelearn,beginner
/course/human-disease-lifestyle-environment-9026,Causes of Human Disease: Nutrition and Environment,futurelearn,beginner
