Link,Title,Platform,Level
/course/end-of-life-care-16932,End of Life Care: Challenges and Innovation,futurelearn,intermediate
/course/domestic-violence-15221,Supporting Victims of Domestic Violence,futurelearn,intermediate
/course/english-in-early-childhood-6910,English in Early Childhood: Language Learning and Development,futurelearn,intermediate
/course/teaching-english-great-lesson-13115,Teaching English: How to Plan a Great Lesson,futurelearn,intermediate
/course/workplace-english-6911,English for the Workplace,futurelearn,intermediate
/course/explore-english-language-culture-2135,Exploring English: Language and Culture,futurelearn,intermediate
/course/precalculus-8988,"Precalculus: the Mathematics of Numbers, Functions and Equations",futurelearn,intermediate
/course/digital-learning-12213,Transforming Digital Learning: Learning Design Meets Service Design,futurelearn,intermediate
/course/media-data-4925,Making Sense of Data in the Media,futurelearn,intermediate
/course/hta-4966,Health Technology Assessment: Choosing Which Treatments Get Funded,futurelearn,intermediate
/course/english-for-study-1449,A Beginner's Guide to Writing in English for University Study,futurelearn,intermediate
/course/data-science-artificial-intelligence-21121,Get ready for a Masters in Data Science and AI,futurelearn,intermediate
/course/level-3-safeguarding-adults-17225,Safeguarding Adults: Level 3 Training,futurelearn,intermediate
/course/covid-19-critical-care-education-resource-19340,COVID-19 Critical Care: Understanding and Application,futurelearn,intermediate
/course/planning-and-managing-global-health-21609,"Planning and Managing Global Health Programmes: Promoting Quality, Accountability, and Equity",futurelearn,intermediate
/course/building-alliances-in-global-health-22109,Building Alliances in Global Health: From Global Institutions to Local Communities,futurelearn,intermediate
/course/blended-learning-embedding-practice-4886,Blended Learning Essentials: Embedding Your Practice,futurelearn,intermediate
/course/renewable-energy-achieving-sustainability-through-56938,Renewable Energy: Achieving Sustainability through Bioenergy,futurelearn,intermediate
/course/irvine-intermediate-python-58668,Intermediate Python,futurelearn,intermediate
/course/basic-english-pre-intermediate-11196,Basic English 2: Pre-Intermediate,futurelearn,intermediate
/course/interdisciplinary-learning-working-across-discipl-17248,Interdisciplinary Learning: Working Across Disciplines,futurelearn,intermediate
/course/leadership-in-arts-fundraising-66341,Leadership in Arts Fundraising,futurelearn,intermediate
/course/ultrasound-imaging-3892,Ultrasound Imaging: What Is Inside?,futurelearn,intermediate
/course/uva-darden-marketing-analytics-9660,Marketing Analytics,futurelearn,intermediate
/course/project-management-beyond-the-basics-17226,Project Management: Beyond the Basics,futurelearn,intermediate
/course/low-budget-video-production-for-small-charities-33568,Low-Budget Video Production: Visual Communication for Small Charities,futurelearn,intermediate
/course/understanding-dementia-prevention-34102,Understanding Brain Health: Preventing Dementia,futurelearn,intermediate
/course/making-blended-education-work-19378,Making Blended Education Work,futurelearn,intermediate
/course/clinical-supervision-with-confidence-3161,Clinical Supervision with Confidence,futurelearn,intermediate
/course/antimicrobial-stewardship-3006,Antimicrobial Stewardship: Managing Antibiotic Resistance,futurelearn,intermediate
/course/data-mining-with-weka-7805,Data Mining with Weka,futurelearn,intermediate
/course/english-for-study-intermediate-8529,An Intermediate Guide to Writing in English for University Study,futurelearn,intermediate
/course/taking-control-hip-and-knee-osteoarthritis-98558,Taking Control of Your Hip and Knee Osteoarthritis,futurelearn,intermediate
/course/eduweight-58177,EduWeight:  Weight Management for Adult Patients with Chronic Disease,futurelearn,intermediate
/course/measuring-what-matters-98981,Measuring What Matters: Transforming Assessment and Recognition of Complex Learning Competencies,futurelearn,intermediate
/course/early-career-teachers-9975,Professional Development for Early Career Teachers,futurelearn,intermediate
/course/understanding-systems-thinking-in-healthcare-20378,Understanding Systems Thinking in Healthcare,futurelearn,intermediate
/course/airway-matters-17092,Airway Matters,futurelearn,intermediate
/course/tipping-points-climate-change-and-society-10580,Tipping Points: Climate Change and Society,futurelearn,intermediate
/course/autism-education-11585,Good Practice in Autism Education,futurelearn,intermediate
/course/fashion-and-sustainability-10598,Fashion and Sustainability: Understanding Luxury Fashion in a Changing World,futurelearn,intermediate
/course/online-tutoring-11510,Teaching English Online,futurelearn,intermediate
/course/people-management-skills-10584,People Management Skills,futurelearn,intermediate
/course/diabetic-eye-disease-11874,Diabetic Eye Disease: Building Capacity To Prevent Blindness,futurelearn,intermediate
/course/teach-like-an-entrepreneur-bringing-entrepreneurs-23291,Teach like an Entrepreneur: Bringing Entrepreneurship into the Classroom,futurelearn,intermediate
/course/climate-adaptation-governance-22695,Making Climate Adaptation Happen: Governing Transformation Strategies for Climate Change,futurelearn,intermediate
/course/what-is-leadership-8587,What is Leadership?,futurelearn,intermediate
/course/competitive-advantage-8031,Competitive Advantage: Using Information to Build Business Success,futurelearn,intermediate
/course/functional-programming-haskell-6636,Functional Programming in Haskell: Supercharge Your Coding,futurelearn,intermediate
/course/instructional-design-irvine-58785,Instructional Design for Higher Education,futurelearn,intermediate
/course/teaching-entrepreneurial-thinking-10582,Teaching Entrepreneurial Thinking,futurelearn,intermediate
/course/attention-and-autism-97280,Attention and Autism,futurelearn,intermediate
/course/climate-intelligence-using-climate-data-to-improv-94504,Climate Intelligence: Using Climate Data to Improve Business Decision-Making,futurelearn,intermediate
/course/cbt-for-back-pain-12867,Cognitive Behavioural Skills to Treat Back Pain: The Back Skills Training (BeST) Programme,futurelearn,intermediate
/course/global-blindness-3299,Global Blindness: Planning and Managing Eye Care Services,futurelearn,intermediate
/course/drug-use-and-harm-reduction-60096,Drug Use and Harm Reduction,futurelearn,intermediate
/course/prevention-of-shoulder-problems-prosper-programme-58227,Helping patients recover from breast cancer treatment: a programme to prevent shoulder problems,futurelearn,intermediate
/course/quality-improvement-6643,Quality Improvement in Healthcare: the Case for Change,futurelearn,intermediate
/course/new-energy-technologies-8227,New Energy Technologies: Energy Transition and Sustainable Development,futurelearn,intermediate
/course/clinical-pharmacokinetic-13301,Clinical Pharmacokinetics: Dosing and Monitoring,futurelearn,intermediate
/course/health-research-ethics-56146,Introduction to Health Research Ethics,futurelearn,intermediate
/course/transformation-creates-contemporary-leaders-20128,Coaching in Education: Addressing the Need for Deep Communication,futurelearn,intermediate
/course/education-technology-leadership-in-schools-13758,Leadership of Education Technology in Schools,futurelearn,intermediate
/course/target-antibiotics-12437,TARGET Antibiotics – Prescribing in Primary Care,futurelearn,intermediate
/course/stylistics-using-linguistics-explore-texts-meanin-56228,Stylistics: Using Linguistics to Explore Texts and Meaning,futurelearn,intermediate
/course/how-artificial-intelligence-can-support-healthcar-58173,How Artificial Intelligence Can Support Healthcare,futurelearn,intermediate
/course/understanding-the-impact-of-stigma-sc-94911,Understanding the Impact of Stigma on Addiction Treatment,futurelearn,intermediate
/course/good-pharmacy-practice-the-moderate-52910,Good Pharmacy Practice: Introduction to Medication Delivery Systems,futurelearn,intermediate
/course/understanding-modern-business-and-organisations-1572,Understanding Modern Business and Organisations,futurelearn,intermediate
/course/point-prevalence-surveys-8264,Challenges in Antibiotic Resistance: Point Prevalence Surveys,futurelearn,intermediate
/course/pharmacy-preceptor-7993,Become a Pharmacy Preceptor,futurelearn,intermediate
/course/how-computers-work-12030,How Computers Work: Demystifying Computation,futurelearn,intermediate
/course/terrorism-and-counterterrorism-comparing-theory-p-80715,Terrorism and Counterterrorism: Comparing Theory and Practice,futurelearn,intermediate
/course/medicine-administration-for-carers-13232,Medicine Administration for Carers,futurelearn,intermediate
/course/educational-leadership-improving-schools-effectiv-41040,Educational Leadership: Improving Schools through Effective Leadership,futurelearn,intermediate
/course/academic-research-methodology-22834,Academic Research Methodology for Master’s Students,futurelearn,intermediate
/course/introduction-to-financial-management-in-construct-11658,An Introduction to Financial Management in Construction,futurelearn,intermediate
/course/break-even-analysis-sc-96563,Break-Even Analysis Unlocked: How to Understand the Profit and Loss Statement,futurelearn,intermediate
/course/capital-investment-appraisal-sc-96564,How to Make Better Capital Investment Decisions and Recognise Investment Opportunities,futurelearn,intermediate
/course/uncovering-your-entrepreneurial-potential-sc-12372,Uncovering Your Entrepreneurial Potential,futurelearn,intermediate
/course/ratio-analysis-sc-96562,How to Master Financial Statements: Financial Ratio Analysis and Interpretation,futurelearn,intermediate
/course/creativity-and-innovation-sc-96567,Creativity and Innovation: Their Role in Becoming an Entrepreneur,futurelearn,intermediate
/course/exploring-teaching-assessments-higher-education-54349,Exploring Teaching and Assessment for Higher Education,futurelearn,intermediate
/course/digital-transformation-e-commerce-22159,Introduction to Digital Transformation and E-Commerce,futurelearn,intermediate
/course/implementing-your-business-opportunity-sc-96568,Implementing Your Business Ideas: From Risk Identification to SWOT Analysis,futurelearn,intermediate
/course/divisional-performance-sc-96565,Divisional Performance Measurement: How to Achieve Operational Excellence,futurelearn,intermediate
/course/success-and-failure-in-entrepreneurship-sc-96569,Success and Failure in Entrepreneurship: Discover the Key to Business Success,futurelearn,intermediate
/course/the-future-of-innovation-and-entrepreneurship-sc-96570,Green Innovation and Business Ethics: The Future of Entrepreneurship,futurelearn,intermediate
/course/understanding-financial-statements-sc-96561,Financial Statements Unlocked: How to Understand Corporate Finance and Financial Management,futurelearn,intermediate
/course/interpreting-for-refugees-19059,"Interpreting for Refugees: Contexts, Practices and Ethics",futurelearn,intermediate
/course/tesol-strategies-10601,TESOL Strategies: Supporting ESL Students in Mainstream Classrooms,futurelearn,intermediate
/course/critical-care-11058,Introduction to Critical Care Medicine,futurelearn,intermediate
/course/post-traumatic-stress-disorder-ptsd-in-the-global-22219,Post-Traumatic Stress Disorder (PTSD) in the Global Context,futurelearn,intermediate
/course/plurilingual-classrooms-in-action-86171,Plurilingual Classrooms in Action,futurelearn,intermediate
/course/english-pronunciation-12603,English Pronunciation in a Global World,futurelearn,intermediate
/course/data-literacy-for-journalists-91572,Data Literacy for Journalists,futurelearn,intermediate
/course/understanding-insulin-8460,Understanding Insulin,futurelearn,intermediate
/course/nutrition-in-the-health-sector-117532,Nutrition in the Health Sector,futurelearn,intermediate
/course/artificial-intelligence-in-healthcare-17142,AI for Healthcare: Equipping the Workforce for Digital Transformation,futurelearn,intermediate
/course/collaborative-coding-with-git-39252,Collaborative Coding with Git,futurelearn,intermediate
/course/english-for-healthcare-16854,English for Healthcare,futurelearn,intermediate
/course/health-electives-6134,"Preparing for an International Health Elective: Exploring Global Health, Ethics and Safety",futurelearn,intermediate
/course/the-science-behind-anti-doping-116856,The Science Behind Anti-Doping,futurelearn,intermediate
/course/blended-and-online-learning-design-26559,Blended and Online Learning Design,futurelearn,intermediate
/course/perioperative-medicine-8491,Perioperative Medicine in Action,futurelearn,intermediate
/course/remote-and-triage-consultations-20991,Conducting Remote Consultations and Triage,futurelearn,intermediate
/course/equity-informal-stem-learning-using-the-equity-co-90241,Equity in Informal STEM Learning: Using the Equity Compass,futurelearn,intermediate
/course/key-ideas-in-mentoring-mathematics-teachers-17082,Key Ideas in Mentoring Mathematics Teachers,futurelearn,intermediate
/course/cybercrime-prevention-and-protection-110429,Cybercrime Prevention and Protection,futurelearn,intermediate
