Link,Title,Provider,Rating,Num_Reviewer,Workload,platform,subject
/course/historyofrock1-690,"History of Rock, Part One",/university/rochester,Five out of five stars,18 reviews,"
            13 hours worth of material, 8 weeks long
          ",coursera,art-and-design
/course/3d-printing-software-5993,3D Printing Software,/university/illinois,Five out of five stars,13 reviews,"
            15 hours worth of material, 6 weeks long
          ",coursera,art-and-design
/course/introclassicalmusic-2987,Introduction to Classical Music,/university/yale,Four and a half out of five stars,25 reviews,"
            66 hours worth of material, 9 weeks long
          ",coursera,art-and-design
/course/songwriting-lyrics-523,Songwriting: Writing the Lyrics,/university/berklee,Four and a half out of five stars,25 reviews,"
            17 hours worth of material, 5 weeks long
          ",coursera,art-and-design
/course/3d-printing-revolution-5991,The 3D Printing Revolution,/university/illinois,Four and a half out of five stars,18 reviews,"
            9-10 hours worth of material, 2 weeks long
          ",coursera,art-and-design
/course/beatles-1135,The Music of the Beatles,/university/rochester,Four and a half out of five stars,18 reviews,"
            14 hours worth of material, 7 weeks long
          ",coursera,art-and-design
/course/gamification-343,Gamification,/university/penn,Four and a half out of five stars,58 reviews,"
            17 hours worth of material, 6 weeks long
          ",coursera,art-and-design
/course/historyofrock2-692,"History of Rock, Part Two",/university/rochester,Five out of five stars,7 reviews,"
            13 hours worth of material, 7 weeks long
          ",coursera,art-and-design
/course/improvisation-521,Jazz Improvisation,/university/berklee,Five out of five stars,5 reviews,"
            15 hours worth of material, 5 weeks long
          ",coursera,art-and-design
/course/modern-art-ideas-4163,Modern Art & Ideas,/institution/moma,Five out of five stars,5 reviews,"
            14 hours worth of material, 5 weeks long
          ",coursera,art-and-design
/course/guitar-522,Guitar for Beginners,/university/berklee,Four and a half out of five stars,21 reviews,"
            24 hours worth of material, 6 weeks long
          ",coursera,art-and-design
/course/musicsbigbang-538,Music's Big Bang: The Genesis of Rock 'n' Roll,/university/ufl,Five out of five stars,6 reviews,"
            9-10 hours worth of material, 7 weeks long
          ",coursera,art-and-design
/course/art-675,Introduction to Art: Concepts & Techniques,/university/psu,Five out of five stars,6 reviews,"
            5-7 hours a week
          ",coursera,art-and-design
/course/musictech-605,Survey of Music Technology,/university/gatech,Five out of five stars,4 reviews,"
            5-7 hours a week, 6 weeks long
          ",coursera,art-and-design
/course/musicianship-1726,Developing Your Musicianship,/university/berklee,Four and a half out of five stars,16 reviews,"
            17 hours worth of material, 6 weeks long
          ",coursera,art-and-design
/course/ui-design-6890,Introduction to UI Design,/university/minnesota,Five out of five stars,5 reviews,"
            14 hours worth of material, 4 weeks long
          ",coursera,art-and-design
/course/mafash-1374,Management of Fashion and Luxury Companies,/university/bocconi,Five out of five stars,5 reviews,"
            12 hours worth of material, 6 weeks long
          ",coursera,art-and-design
/course/beethovensonatas-730,Exploring Beethoven’s Piano Sonatas,/university/curtis,Four and a half out of five stars,15 reviews,"
            18 hours worth of material, 12 weeks long
          ",coursera,art-and-design
/course/digitalsounddesign-506,Introduction to Digital Sound Design,/university/emory,Four and a half out of five stars,6 reviews,"
            3-4 hours a week
          ",coursera,art-and-design
/course/rollingstones-2352,"The Music of the Rolling Stones, 1962-1974",/university/rochester,Five out of five stars,160 ratings at Coursera,"
            14 hours worth of material, 7 weeks long
          ",coursera,art-and-design
/course/making-architecture-7153,Making Architecture,/university/ie,Five out of five stars,1216 ratings at Coursera,"
            14 hours worth of material, 4 weeks long
          ",coursera,art-and-design
/course/intro-game-design-4220,Introduction to Game Design,/university/calarts,Four and a half out of five stars,13 reviews,"
            6-7 hours worth of material, 4 weeks long
          ",coursera,art-and-design
