Link,Title,Provider,Rating,Num_Reviewer,Workload,platform,subject
/course/protect-business-innovations-trademark-10038,Protecting Business Innovations via Trademark,/university/hkust,Five out of five stars,50 reviews,"
            9-10 hours worth of material, 4 weeks long
          ",coursera,business
/course/managing-human-resources-5462,Preparing to Manage Human Resources,/university/minnesota,Five out of five stars,139 reviews,"
            18 hours worth of material, 4 weeks long
          ",coursera,business
/course/slides-9643,Presentation skills: Designing Presentation Slides,/university/tomsk-state,Five out of five stars,852 reviews,"
            24 hours worth of material, 4 weeks long
          ",coursera,business
/course/digital-marketing-revolution-54370,The Digital Marketing Revolution,/university/illinois,Five out of five stars,237 reviews,"
            27 hours worth of material, 4 weeks long
          ",coursera,business
/course/protect-business-innovations-patent-10382,Protecting Business Innovations via Patent,/university/hkust,Five out of five stars,157 reviews,"
            10 hours worth of material, 5 weeks long
          ",coursera,business
/course/social-innovation-6655,Becoming a changemaker: Introduction to Social Innovation,/university/uct,Five out of five stars,36 reviews,"
            20 hours worth of material, 6 weeks long
          ",coursera,business
/course/dmdigitalworld-2750,Marketing in a Digital World,/university/illinois,Four and a half out of five stars,421 reviews,"
            29 hours worth of material, 4 weeks long
          ",coursera,business
/course/fintech-11193,FinTech Foundations and Overview,/university/hkust,Four and a half out of five stars,161 reviews,"
            15 hours worth of material, 4 weeks long
          ",coursera,business
/course/developing-innovative-ideas-for-product-leaders-46401,Developing Innovative Ideas for Product Leaders,/university/umd,Five out of five stars,13 reviews,"
            13 hours worth of material, 4 weeks long
          ",coursera,business
/course/strategy-law-ethics-6195,"Making Successful Decisions through the Strategy, Law & Ethics Model",/university/umich,Four and a half out of five stars,44 reviews,"
            22 hours worth of material, 10 weeks long
          ",coursera,business
/course/product-management-essentials-46400,Product Management Essentials,/university/umd,Four and a half out of five stars,42 reviews,"
            6-7 hours worth of material, 4 weeks long
          ",coursera,business
/course/fintech-risk-management-12007,FinTech Risk Management,/university/hkust,Four and a half out of five stars,78 reviews,"
            15 hours worth of material, 5 weeks long
          ",coursera,business
/course/regtech-11726,FinTech Security and Regulation (RegTech),/university/hkust,Four and a half out of five stars,82 reviews,"
            15 hours worth of material, 5 weeks long
          ",coursera,business
/course/10k-women-2-19373,"Fundamentals of Business Finance, with Goldman Sachs 10,000 Women",/institution/goldmansachs,Five out of five stars,9 reviews,"
            3-4 hours worth of material, 1 week long
          ",coursera,business
/course/financial-management-for-product-leaders-46405,Financial Management for Product Leaders,/university/umd,Five out of five stars,11 reviews,"
            9-10 hours worth of material, 4 weeks long
          ",coursera,business
/course/protect-business-innovations-strategy-10496,Protecting Business Innovations via Strategy,/university/hkust,Four and a half out of five stars,19 reviews,"
            11 hours worth of material, 4 weeks long
          ",coursera,business
/course/strategy-business-5242,Business Strategy,/university/illinois,Four and a half out of five stars,19 reviews,"
            18 hours worth of material, 4 weeks long
          ",coursera,business
/course/compstrategy-706,Competitive Strategy,/university/lmu,Four and a half out of five stars,22 reviews,"
            19 hours worth of material, 6 weeks long
          ",coursera,business
/course/gs10kw-11222,"Grow Your Business with Goldman Sachs 10,000 Women",/institution/goldmansachs,Five out of five stars,11 reviews,"
            3-4 hours worth of material, 1 week long
          ",coursera,business
/course/success-8087,The Science of Success: What Researchers Know that You Should Know,/university/umich,Four and a half out of five stars,21 reviews,"
            11 hours worth of material, 7 weeks long
          ",coursera,business
/course/accounting-business-society-12434,"Accounting, Business and Society:  The Multi-faceted Role of Accounting",/university/hkust,Four and a half out of five stars,93 reviews,"
            7-8 hours worth of material, 5 weeks long
          ",coursera,business
/course/operationsmanagement-2741,Operations Management,/university/illinois,Five out of five stars,8 reviews,"
            6-8 hours a week, 4 weeks long
          ",coursera,business
/course/criticalmanagement-714,Critical Perspectives on Management,/university/ie,Four and a half out of five stars,32 reviews,"
            17 hours worth of material, 6 weeks long
          ",coursera,business
/course/importance-of-listening-4213,The Importance of Listening,/university/northwestern,Five out of five stars,6 reviews,"
            8-9 hours worth of material, 4 weeks long
          ",coursera,business
/course/10k-women-3-19369,"Fundamentals of Leadership, with Goldman Sachs 10,000 Women",/institution/goldmansachs,Five out of five stars,6 reviews,"
            3-4 hours worth of material, 1 week long
          ",coursera,business
/course/whartonaccounting-769,Introduction to Financial Accounting,/university/penn,Four and a half out of five stars,65 reviews,"
            13 hours worth of material, 4 weeks long
          ",coursera,business
/course/acctcostanalysis-2751,"Managerial Accounting: Cost Behaviors, Systems, and Analysis",/university/illinois,Four and a half out of five stars,14 reviews,"
            20 hours worth of material, 4 weeks long
          ",coursera,business
