Link,Title,Provider,Rating,Num_Reviewer,Workload,platform,subject
/course/build-a-computer-3234,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),/university/huji,Five out of five stars,28 reviews,"
            44 hours worth of material, 6 weeks long
          ",coursera,cs
/course/machine-learning-835,Machine Learning,/university/stanford,Four and a half out of five stars,380 reviews,"
            61 hours a week, 11 weeks long
          ",coursera,cs
/course/computational-social-science-methods-17299,Computational Social Science Methods,/university/ucdavis,Five out of five stars,106 reviews,"
            11 hours worth of material, 4 weeks long
          ",coursera,cs
/course/information-systems-audit-17979,"Information Systems Auditing, Controls and Assurance",/university/hkust,Four and a half out of five stars,447 reviews,"
            8-9 hours worth of material, 4 weeks long
          ",coursera,cs
/course/fundamentals-of-reinforcement-learning-14497,Fundamentals of Reinforcement Learning,/university/ualberta,Five out of five stars,24 reviews,"
            15 hours worth of material, 4 weeks long
          ",coursera,cs
/course/computer-simulations-17986,Computer Simulations,/university/ucdavis,Five out of five stars,38 reviews,"
            13 hours worth of material, 4 weeks long
          ",coursera,cs
/course/css-capstone-17985,Computational Social Science Capstone Project,/university/ucdavis,Five out of five stars,28 reviews,"
            14 hours worth of material, 4 weeks long
          ",coursera,cs
/course/algorithms-divide-conquer-374,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",/university/stanford,Four and a half out of five stars,68 reviews,"
            17 hours worth of material, 4 weeks long
          ",coursera,cs
/course/prediction-control-function-approximatio-14499,Prediction and Control with Function Approximation,/university/ualberta,Five out of five stars,19 reviews,"
            22 hours worth of material, 4 weeks long
          ",coursera,cs
/course/comnetworks-824,Computer Networks,/university/uw,Five out of five stars,15 reviews,"
            23 hours worth of material, 7 weeks long
          ",coursera,cs
/course/crypto-616,Cryptography I,/university/stanford,Four and a half out of five stars,53 reviews,"
            63 hours worth of material, 6 weeks long
          ",coursera,cs
/course/algs4partII-340,"Algorithms, Part II",/university/princeton,Five out of five stars,21 reviews,"
            15 hours worth of material, 10 weeks long
          ",coursera,cs
/course/insidetheinternet-335,"Internet History, Technology, and Security",/university/umich,Four and a half out of five stars,41 reviews,"
            56 hours worth of material, 6 weeks long
          ",coursera,cs
/course/progfun-422,Functional Programming Principles in Scala,/university/epfl,Four and a half out of five stars,66 reviews,"
            25 hours worth of material, 4 weeks long
          ",coursera,cs
/course/neural-networks-deep-learning-9058,Neural Networks and Deep Learning,/institution/deeplearning-ai,Five out of five stars,15 reviews,"
            6-10 hours a week, 7 weeks long
          ",coursera,cs
/course/algo2-426,"Algorithms: Design and Analysis, Part 2",/university/stanford,Four and a half out of five stars,19 reviews,"
            22 hours worth of material, 4 weeks long
          ",coursera,cs
