Link,Title,Provider,Rating,Num_Reviewer,Workload,platform,subject
/course/computational-social-science-ucdavis-18710,Computational Social Science,/university/ucdavis,Five out of five stars,111 reviews,"
            3 hours a week, 26 weeks long
          ",coursera,data-science
/course/practical-data-science-matlab-18864,Practical Data Science with MATLAB,/institution/mathworks,Five out of five stars,31 reviews,"
            4 hours a week, 22 weeks long
          ",coursera,data-science
/course/wgs-bacteria-8907,Whole genome sequencing of bacterial genomes - tools and applications,/university/dtu,Five out of five stars,22 reviews,"
            6-7 hours worth of material, 5 weeks long
          ",coursera,data-science
/course/statistics-1349,Data Analysis and Statistical Inference ,/university/duke,Four and a half out of five stars,41 reviews,"
            8-10 hours a week
          ",coursera,data-science
/course/systematicreview-3480,Introduction to Systematic Review and Meta-Analysis,/university/jhu,Five out of five stars,6 reviews,"
            14 hours worth of material, 6 weeks long
          ",coursera,data-science
/course/sna-19180,Social Network Analysis,/university/ucdavis,Five out of five stars,5 reviews,"
            10 hours worth of material, 5 weeks long
          ",coursera,data-science
/course/hiddenmessages-3289,Finding Hidden Messages in DNA (Bioinformatics I),/university/ucsd,Four and a half out of five stars,17 reviews,"
            16 hours worth of material, 5 weeks long
          ",coursera,data-science
/course/assembly-3290,Genome Sequencing (Bioinformatics II),/university/ucsd,Four and a half out of five stars,298 ratings at Coursera,"
            17 hours worth of material, 5 weeks long
          ",coursera,data-science
/course/compmethods-595,Computational Methods for Data Analysis,/university/uw,Five out of five stars,4 reviews,"
            10-12 hours a week, 10 weeks long
          ",coursera,data-science
/course/bioinfo-1390,Введение в биоинформатику (Introduction to Bioinformatics),/university/spbu,Five out of five stars,3 reviews,"
            11 hours worth of material, 7 weeks long
          ",coursera,data-science
/course/executive-data-science-18529,Executive Data Science,/university/jhu,Five out of five stars,4 reviews,"
            6 hours a week, 9 weeks long
          ",coursera,data-science
/course/bioinform-2012,Bioinformatics: Life Sciences on Your Computer,/university/jhu,Five out of five stars,4 reviews,"
            4-8 hours a week, 5 weeks long
          ",coursera,data-science
/course/procmin-2445,Process Mining: Data science in Action,/university/tue,Four and a half out of five stars,17 reviews,"
            22 hours worth of material, 6 weeks long
          ",coursera,data-science
/course/jhu-data-science-18692,Data Science,/university/jhu,Four and a half out of five stars,10 reviews,"
            7 hours a week, 48 weeks long
          ",coursera,data-science
/course/intro-accounting-data-analytics-visual-14477,Introduction to Accounting Data Analytics and Visualization,/university/illinois,Five out of five stars,397 ratings at Coursera,"
            19 hours worth of material, 8 weeks long
          ",coursera,data-science
/course/comparinggenomes-3291,"Comparing Genes, Proteins, and Genomes (Bioinformatics III)",/university/ucsd,Four and a half out of five stars,126 ratings at Coursera,"
            22 hours worth of material, 6 weeks long
          ",coursera,data-science
/course/bigdataschool-2482,The Caltech-JPL Summer School on Big Data Analytics,/university/caltech,Five out of five stars,2 reviews,"
            20-25 hours a week, 2 weeks long
          ",coursera,data-science
/course/competitive-data-science-9605,How to Win a Data Science Competition: Learn from Top Kagglers,/university/hse,Five out of five stars,2 reviews,"
            54 hours worth of material, 5 weeks long
          ",coursera,data-science
/course/big-data-language-2-19190,Big data and Language 2,/university/kaist,Four and a half out of five stars,3 reviews,"
            5-6 hours worth of material, 5 weeks long
          ",coursera,data-science
/course/introduction-to-data-analytics-21539,Introduction to Data Analytics,/institution/ibm,Three and a half out of five stars,154 ratings at Coursera,"
            36 hours worth of material, 5 weeks long
          ",coursera,data-science
/course/dmanalyticspractice-2754,Digital Marketing Analytics in Practice,/university/illinois,Four out of five stars,24 reviews,"
            20 hours worth of material, 4 weeks long
          ",coursera,data-science
/course/dataanalysis-386,Data Analysis,/university/jhu,Four out of five stars,20 reviews,"
            3-5 hours a week, 8 weeks long
          ",coursera,data-science
/course/linear-models-2-7476,Advanced Linear Models for Data Science 2: Statistical Linear Models,/university/jhu,Four and a half out of five stars,83 ratings at Coursera,"
            5-6 hours worth of material, 4 weeks long
          ",coursera,data-science
/course/information-visualization-fundamentals-11819,Information Visualization: Foundations,/university/nyu,Four and a half out of five stars,197 ratings at Coursera,"
            12 hours worth of material, 4 weeks long
          ",coursera,data-science
/course/information-visualization-applied-percep-11820,Information Visualization: Applied Perception,/university/nyu,Four and a half out of five stars,138 ratings at Coursera,"
            12 hours worth of material, 4 weeks long
          ",coursera,data-science
/course/ethical-communication-data-driven-technologies-21258,Communicate Effectively about Ethical Challenges in Data-Driven Technologies,/institution/certnexus,Four and a half out of five stars,60 ratings at Coursera,"
            14 hours worth of material, 5 weeks long
          ",coursera,data-science
/course/data-visualization-science-communication-14502,3D Data Visualization for Science Communication,/university/illinois,Five out of five stars,1 review,"
            32 hours worth of material, 4 weeks long
          ",coursera,data-science
/course/python-for-applied-data-science-ai-ar-34092,بايثون لعلوم البيانات والذكاء الصناعي,/institution/ibm,Five out of five stars,1 review,"
            29 hours worth of material, 5 weeks long
          ",coursera,data-science
/course/marco-environmental-factors-creately-20749,Analyzing Macro-Environmental Factors Using Creately,/institution/project-network,Five out of five stars,1 review,"
            1 hour of material
          ",coursera,data-science
/course/bioinformatics-18829,Bioinformatics,/university/ucsd,Five out of five stars,1 review,"
            4 hours a week, 39 weeks long
          ",coursera,data-science
/course/data-analysis-18648,Data Analysis and Interpretation,/university/wesleyan,Five out of five stars,1 review,"
            3 hours a week, 22 weeks long
          ",coursera,data-science
/course/data-mining-18617,Data Mining ,/university/illinois,Five out of five stars,1 review,"
            4 hours a week, 35 weeks long
          ",coursera,data-science
/course/practical-data-science-45933,Practical Data Science on the AWS Cloud,/institution/deeplearning-ai,Five out of five stars,1 review,"
            4 hours a week, 13 weeks long
          ",coursera,data-science
/course/linear-models-6180,Advanced Linear Models for Data Science 1: Least Squares,/university/jhu,Four and a half out of five stars,171 ratings at Coursera,"
            8-9 hours worth of material, 6 weeks long
          ",coursera,data-science
/course/text-mining-analytics-7338,Hands-on Text Mining and Analytics,/university/yonsei,Four out of five stars,40 ratings at Coursera,"
            13 hours worth of material, 6 weeks long
          ",coursera,data-science
/course/python-visualization-9552,Python Data Visualization,/university/rice,Four and a half out of five stars,528 ratings at Coursera,"
            8-9 hours worth of material, 4 weeks long
          ",coursera,data-science
/course/information-visualization-advanced-techn-11818,Information Visualization: Advanced Techniques,/university/nyu,Five out of five stars,32 ratings at Coursera,"
            16 hours worth of material, 4 weeks long
          ",coursera,data-science
/course/tensorflow-sequences-time-series-and-pre-13802,"Sequences, Time Series and Prediction",/institution/deeplearning-ai,Four and a half out of five stars,4662 ratings at Coursera,"
            23 hours worth of material, 4 weeks long
          ",coursera,data-science
/course/intro-analyticthinking-datascience-datamining-22604,"Intro to Analytic Thinking, Data Science, and Data Mining",/university/uci,Four out of five stars,93 ratings at Coursera,"
            7-8 hours worth of material, 4 weeks long
          ",coursera,data-science
/course/analyzing-market-attractiveness-creately-20366,Analyzing Market Attractiveness Using Creately,/institution/project-network,Five out of five stars,1 review,"
            1-2 hours worth of material
          ",coursera,data-science
/course/scicomp-764,High Performance Scientific Computing,/university/uw,Five out of five stars,1 review,"
            5-10 hours a week, 10 weeks long
          ",coursera,data-science
/course/qualitativemethods-2739,Qualitative Research Methods ,/university/amsterdam,Five out of five stars,1 review,"
            4-8 hours a week, 6 weeks long
          ",coursera,data-science
/course/datos-tecnicas-4654,Uso de técnicas estadísticas para el análisis de datos,/university/tecdemonterrey,Five out of five stars,1 review,"
            12 hours worth of material, 4 weeks long
          ",coursera,data-science
/course/analisis-de-datos-4603,Fundamentos del análisis de datos para la toma de decisiones,/university/tecdemonterrey,Five out of five stars,1 review,"
            17 hours worth of material, 4 weeks long
          ",coursera,data-science
/course/practical-time-series-analysis-10151,Practical Time Series Analysis,/university/suny,Four and a half out of five stars,1555 ratings at Coursera,"
            26 hours worth of material, 6 weeks long
          ",coursera,data-science
/course/executive-data-science-capstone-5088,Executive Data Science Capstone,/university/jhu,Four and a half out of five stars,1531 ratings at Coursera,"
            2-3 hours worth of material, 1 week long
          ",coursera,data-science
/course/julia-programming-7092,Julia Scientific Programming,/university/uct,Four out of five stars,30 reviews,"
            18 hours worth of material, 4 weeks long
          ",coursera,data-science
/course/coursera-social-network-analysis-338,Social Network Analysis,/university/umich,Four out of five stars,12 reviews,"
            5-7 hours a week, 5 weeks long
          ",coursera,data-science
/course/python-social-network-analysis-6674,Applied Social Network Analysis in Python,/university/umich,Four and a half out of five stars,2629 ratings at Coursera,"
            29 hours worth of material, 4 weeks long
          ",coursera,data-science
/course/foundations-data-35107,"Foundations: Data, Data, Everywhere",/institution/google,Five out of five stars,68074 ratings at Coursera,"
            22 hours worth of material, 5 weeks long
          ",coursera,data-science
/course/wharton-people-analytics-4264,People Analytics,/university/penn,Four out of five stars,5 reviews,"
            8-9 hours worth of material, 4 weeks long
          ",coursera,data-science
/course/datasciencemathskills-7745,Data Science Math Skills,/university/duke,Four out of five stars,12 reviews,"
            13 hours worth of material, 4 weeks long
          ",coursera,data-science
/course/advanced-excel-6855,Data Visualization with Advanced Excel,/institution/pwc,Five out of five stars,2829 ratings at Coursera,"
            15 hours worth of material, 4 weeks long
          ",coursera,data-science
/course/data-genes-medicine-7193,"Big Data, Genes, and Medicine",/university/suny,Four out of five stars,253 ratings at Coursera,"
            40 hours worth of material, 6 weeks long
          ",coursera,data-science
/course/data-collection-framework-6085,Framework for Data Collection and Analysis,/university/umd,Four out of five stars,686 ratings at Coursera,"
            9-10 hours worth of material, 4 weeks long
          ",coursera,data-science
/course/research-data-management-and-sharing-5758,Research Data Management and Sharing,/university/unc,Four and a half out of five stars,635 ratings at Coursera,"
            14 hours worth of material, 5 weeks long
          ",coursera,data-science
/course/analytics-mysql-4181,Managing Big Data with MySQL,/university/duke,Four out of five stars,6 reviews,"
            32 hours worth of material, 5 weeks long
          ",coursera,data-science
/course/programacion-estadistica-r-4657,Introducción a Data Science: Programación Estadística con R,/university/unam,Four and a half out of five stars,7753 ratings at Coursera,"
            47 hours worth of material, 4 weeks long
          ",coursera,data-science
/course/dataanalysiswithpython-11177,Data Analysis with Python,/institution/ibm,Four and a half out of five stars,15953 ratings at Coursera,"
            14 hours worth of material, 6 weeks long
          ",coursera,data-science
/course/python-for-data-visualization-11199,Data Visualization with Python,/institution/ibm,Four out of five stars,1 review,"
            Less than 1 hour of material
          ",coursera,data-science
/course/essential-linear-algebra-for-data-science-66491,Essential Linear Algebra for Data Science,/university/boulder,Four and a half out of five stars,64 ratings at Coursera,"
            7-8 hours worth of material, 5 weeks long
          ",coursera,data-science
/course/sql-for-data-science-9725,SQL for Data Science,/university/ucdavis,Four out of five stars,5 reviews,"
            14 hours worth of material, 4 weeks long
          ",coursera,data-science
/course/biostats2-1033,Mathematical Biostatistics Boot Camp 2,/university/jhu,Four and a half out of five stars,117 ratings at Coursera,"
            12 hours worth of material, 4 weeks long
          ",coursera,data-science
/course/ibm-data-science-18796,IBM Data Science,/institution/ibm,Four out of five stars,1 review,"
            4 hours a week, 48 weeks long
          ",coursera,data-science
/course/dataviz-6808,Fundamentals of Visualization with Tableau,/university/ucdavis,Four and a half out of five stars,5876 ratings at Coursera,"
            11 hours worth of material, 4 weeks long
          ",coursera,data-science
/course/advanced-r-7174,Advanced R Programming,/university/jhu,Four and a half out of five stars,559 ratings at Coursera,"
            18 hours worth of material, 4 weeks long
          ",coursera,data-science
/course/big-data-integration-processing-6467,Big Data Integration and Processing,/university/ucsd,Four and a half out of five stars,2366 ratings at Coursera,"
            18 hours worth of material, 6 weeks long
          ",coursera,data-science
/course/bd2klincs-3024,Big Data Science with the BD2K-LINCS Data Coordination and Integration Center,/university/mssm,Five out of five stars,23 ratings at Coursera,"
            9-10 hours worth of material, 7 weeks long
          ",coursera,data-science
/course/data-engineering-and-machine-learning-using-spark-47969,Data Engineering and Machine Learning using Spark,/institution/ibm,Three and a half out of five stars,60 ratings at Coursera,"
            7-8 hours worth of material, 3 weeks long
          ",coursera,data-science
/course/fmri-1035,Statistical Analysis of fMRI Data,/university/jhu,Four out of five stars,1 review,"
            3-4 hours a week, 6 weeks long
          ",coursera,data-science
/course/leveraging-unstructured-data-dataproc-gc-8757,Leveraging Unstructured Data with Cloud Dataproc on Google Cloud Platform auf Deutsch,/institution/googlecloud,Four out of five stars,2 reviews,"
            5-7 hours a week, 1 week long
          ",coursera,data-science
/course/mathematics-and-python-5525,Математика и Python для анализа данных,/university/mipt,Four out of five stars,4 reviews,"
            28 hours worth of material, 4 weeks long
          ",coursera,data-science
/course/devdataprod-1720,Developing Data Products,/university/jhu,Four out of five stars,18 reviews,"
            10 hours worth of material, 4 weeks long
          ",coursera,data-science
/course/exploratory-data-analysis-1715,Exploratory Data Analysis,/university/jhu,Four out of five stars,39 reviews,"
            2 hours worth of material
          ",coursera,data-science
/course/erasmus-econometrics-4723,Econometrics: Methods and Applications,/university/erasmus,Four out of five stars,7 reviews,"
            66 hours worth of material, 8 weeks long
          ",coursera,data-science
/course/repdata-1716,Reproducible Research,/university/jhu,Four out of five stars,27 reviews,"
            7-8 hours worth of material, 4 weeks long
          ",coursera,data-science
/course/what-is-datascience-10616,What is Data Science? ,/institution/ibm,Four and a half out of five stars,59827 ratings at Coursera,"
            7-8 hours worth of material, 3 weeks long
          ",coursera,data-science
/course/bioinformatics2-2290,Bioinformatics Algorithms (Part 2) ,/university/ucsd,Four out of five stars,4 reviews,"
            8-12 hours a week, 10 weeks long
          ",coursera,data-science
/course/scientificcomp-416,Scientific Computing,/university/uw,Three and a half out of five stars,3 reviews,"
            10-15 hours a week, 10 weeks long
          ",coursera,data-science
/course/social-media-data-analytics-7019,Social Media Data Analytics,/university/rutgers,Four out of five stars,280 ratings at Coursera,"
            13 hours worth of material, 4 weeks long
          ",coursera,data-science
/course/clustering-3556,Genomic Data Science and Clustering (Bioinformatics V),/university/ucsd,Four out of five stars,87 ratings at Coursera,"
            9-10 hours worth of material, 3 weeks long
          ",coursera,data-science
/course/basic-data-processing-visualization-pyth-13494,Basic Data Processing and Visualization,/university/ucsd,Four and a half out of five stars,180 ratings at Coursera,"
            11 hours worth of material, 5 weeks long
          ",coursera,data-science
/course/big-data-analysys-6288,Big Data Analysis with Scala and Spark,/university/epfl,Four and a half out of five stars,2564 ratings at Coursera,"
            28 hours worth of material, 4 weeks long
          ",coursera,data-science
/course/python-data-processing-7751,Data Processing Using Python,/university/nanjing,Four out of five stars,300 ratings at Coursera,"
            29 hours worth of material, 5 weeks long
          ",coursera,data-science
/course/analytics-tableau-4297,Data Visualization and Communication with Tableau,/university/duke,Four out of five stars,9 reviews,"
            25 hours worth of material, 5 weeks long
          ",coursera,data-science
/course/excel-basics-data-analysis-ibm-21538,Excel Basics for Data Analysis,/institution/ibm,Four and a half out of five stars,4590 ratings at Coursera,"
            12 hours worth of material, 5 weeks long
          ",coursera,data-science
/course/dataminingcapstone-4154,Data Mining Capstone,/university/illinois,Three out of five stars,1 review,"
            4-6 hours a week, 6 weeks long
          ",coursera,data-science
/course/python-for-applied-data-science-11194,Python for Data Science,/institution/ibm,Three out of five stars,1 review,"
            5 weeks long
          ",coursera,data-science
/course/big-data-language-1-19191,Big data and Language 1,/university/kaist,Three and a half out of five stars,5 reviews,"
            4-5 hours worth of material, 4 weeks long
          ",coursera,data-science
/course/qualitative-methods-4176,Qualitative Research Methods,/university/amsterdam,Three and a half out of five stars,5 reviews,"
            24 hours worth of material, 8 weeks long
          ",coursera,data-science
/course/textanalytics-2736,Text Mining and Analytics,/university/illinois,Three and a half out of five stars,10 reviews,"
            33 hours worth of material, 6 weeks long
          ",coursera,data-science
/course/machine-learning-data-analysis-4354,Machine Learning for Data Analysis,/university/wesleyan,Four out of five stars,314 ratings at Coursera,"
            10 hours worth of material, 4 weeks long
          ",coursera,data-science
/course/algobioprogramming-2291,Biology Meets Programming: Bioinformatics for Beginners,/university/ucsd,Three and a half out of five stars,3 reviews,"
            6-10 hours a week, 8 weeks long
          ",coursera,data-science
/course/datan-1386,Core Concepts in Data Analysis,/university/hse,Three and a half out of five stars,7 reviews,"
            6-8 hours a week
          ",coursera,data-science
/course/cloud-applications-2-6309,"Cloud Computing Applications, Part 2: Big Data and Applications in the Cloud",/university/illinois,Four and a half out of five stars,322 ratings at Coursera,"
            20 hours worth of material, 4 weeks long
          ",coursera,data-science
/course/r-packages-7175,Building R Packages,/university/jhu,Four out of five stars,219 ratings at Coursera,"
            21 hours worth of material, 4 weeks long
          ",coursera,data-science
/course/build-data-science-team-4391,Building a Data Science Team,/university/jhu,Three and a half out of five stars,14 reviews,"
            5-6 hours worth of material, 1 week long
          ",coursera,data-science
/course/applied-data-science-capstone-11207,Applied Data Science Capstone,/institution/ibm,Four and a half out of five stars,6341 ratings at Coursera,"
            17 hours worth of material, 5 weeks long
          ",coursera,data-science
