Link,Title,Provider,Rating,Num_Reviewer,Workload,platform,subject
/course/differential-equations-engineers-13258,Differential Equations for Engineers,/university/hkust,Five out of five stars,277 reviews,"
            27 hours worth of material, 6 weeks long
          ",coursera,engineering
/course/matrix-algebra-engineers-11986,Matrix Algebra for Engineers,/university/hkust,Five out of five stars,592 reviews,"
            20 hours worth of material, 4 weeks long
          ",coursera,engineering
/course/numerical-methods-engineers-32822,Numerical Methods for Engineers,/university/hkust,Five out of five stars,33 reviews,"
            42 hours worth of material, 6 weeks long
          ",coursera,engineering
/course/statics2-1148,Applications in Engineering Mechanics,/university/gatech,Five out of five stars,63 reviews,"
            16 hours worth of material, 5 weeks long
          ",coursera,engineering
/course/vector-calculus-engineers-17387,Vector Calculus for Engineers,/university/hkust,Five out of five stars,227 reviews,"
            29 hours worth of material, 5 weeks long
          ",coursera,engineering
/course/intro-indoor-air-quality-9706,Introduction to Indoor Air Quality,/university/hkust,Five out of five stars,89 reviews,"
            12 hours worth of material, 4 weeks long
          ",coursera,engineering
/course/3dmotion-2064,Advanced Engineering Systems in Motion: Dynamics of Three Dimensional (3D) Motion,/university/gatech,Five out of five stars,32 reviews,"
            18 hours worth of material, 6 weeks long
          ",coursera,engineering
/course/materials-structures-6188,"Mechanics of Materials IV: Deflections, Buckling, Combined Loading & Failure Theories",/university/gatech,Five out of five stars,21 reviews,"
            8-9 hours worth of material, 2 weeks long
          ",coursera,engineering
/course/statics1-564,Introduction to Engineering Mechanics,/university/gatech,Four and a half out of five stars,170 reviews,"
            15 hours worth of material, 5 weeks long
          ",coursera,engineering
/course/dynamics-7788,Engineering Systems in Motion: Dynamics of Particles and Bodies in 2D Motion,/university/gatech,Five out of five stars,34 reviews,"
            23 hours worth of material, 7 weeks long
          ",coursera,engineering
/course/mechanics-1-5031,Mechanics of Materials I: Fundamentals of Stress & Strain and Axial Loading,/university/gatech,Four and a half out of five stars,110 reviews,"
            18 hours worth of material, 5 weeks long
          ",coursera,engineering
/course/mastering-statics-13737,Mastering Statics,/university/hkust,Five out of five stars,32 reviews,"
            21 hours worth of material, 7 weeks long
          ",coursera,engineering
/course/mechanics2-5385,Mechanics of Materials II: Thin-Walled Pressure Vessels and Torsion,/university/gatech,Five out of five stars,27 reviews,"
            9-10 hours worth of material, 3 weeks long
          ",coursera,engineering
/course/solar-cells-9050,Introduction to solar cells,/university/dtu,Five out of five stars,10 reviews,"
            23 hours worth of material, 5 weeks long
          ",coursera,engineering
/course/beam-bending-6184,Mechanics of Materials III: Beam Bending,/university/gatech,Four and a half out of five stars,20 reviews,"
            13 hours worth of material, 5 weeks long
          ",coursera,engineering
/course/maps-676,Maps and the Geospatial Revolution,/university/psu,Four and a half out of five stars,11 reviews,"
            20 hours worth of material, 5 weeks long
          ",coursera,engineering
/course/ourenergyfuture-2055,Our Energy Future,/university/ucsd,Five out of five stars,7 reviews,"
            37 hours worth of material, 9 weeks long
          ",coursera,engineering
/course/autodesk-autocad-design-drafting-17339,Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,/institution/autodesk,Four and a half out of five stars,2333 ratings at Coursera,"
            18 hours worth of material, 2 weeks long
          ",coursera,engineering
/course/vlsi-cad-logic-428,VLSI CAD Part I: Logic,/university/illinois,Four and a half out of five stars,507 ratings at Coursera,"
            23 hours worth of material, 5 weeks long
          ",coursera,engineering
/course/mswm-4080,Municipal Solid Waste Management in Developing Countries,/university/epfl,Four and a half out of five stars,10 reviews,"
            22 hours worth of material, 5 weeks long
          ",coursera,engineering
/course/conrob-404,Control of Mobile Robots,/university/gatech,Four and a half out of five stars,13 reviews,"
            5-7 hours a week, 7 weeks long
          ",coursera,engineering
/course/gpslab-2216,"GPS: An Introduction to Satellite Navigation, with an interactive Worldwide Laboratory using Smartphones",/university/stanford,Five out of five stars,5 reviews,"
            4-6 hours a week, 6 weeks long
          ",coursera,engineering
/course/machine-design1-7404,Machine Design Part I,/university/gatech,Four and a half out of five stars,6 reviews,"
            31 hours worth of material, 5 weeks long
          ",coursera,engineering
/course/photovoltaic-solar-energy-10176,Photovoltaic solar energy,/university/ep,Four out of five stars,439 ratings at Coursera,"
            6-7 hours worth of material, 3 weeks long
          ",coursera,engineering
/course/introse-1381,Introduction to Systems Engineering,/university/unsw,Four and a half out of five stars,5 reviews,"
            22 hours worth of material, 9 weeks long
          ",coursera,engineering
/course/geoint-2164,Geospatial Intelligence & the Geospatial Revolution,/university/psu,Four and a half out of five stars,5 reviews,"
            6-9 hours a week, 5 weeks long
          ",coursera,engineering
/course/gis-applications-5586,"Imagery, Automation, and Applications",/university/ucdavis,Five out of five stars,652 ratings at Coursera,"
            28 hours worth of material, 4 weeks long
          ",coursera,engineering
/course/analisis-sistemas-de-transporte-4728,Análisis de Sistemas de Transporte,/university/ucchile,Four and a half out of five stars,724 ratings at Coursera,"
            11 hours worth of material, 6 weeks long
          ",coursera,engineering
/course/onl-2232,Optique non-linéaire,/university/ep,Four and a half out of five stars,52 ratings at Coursera,"
            25 hours worth of material, 11 weeks long
          ",coursera,engineering
/course/electric-power-systems-12053,Electric Power Systems,/university/ubuffalo,Four and a half out of five stars,7023 ratings at Coursera,"
            12 hours worth of material, 4 weeks long
          ",coursera,engineering
/course/mathematics-engineers-capstone-66368,Mathematics for Engineers: The Capstone Course,/university/hkust,Five out of five stars,2 reviews,"
            9-10 hours worth of material, 3 weeks long
          ",coursera,engineering
/course/opv-1822,Organic Solar Cells - Theory and Practice,/university/dtu,Four and a half out of five stars,1182 ratings at Coursera,"
            23 hours worth of material, 6 weeks long
          ",coursera,engineering
/course/introtoelectronics-2466,Introduction to Electronics,/university/gatech,Four and a half out of five stars,6 reviews,"
            46 hours worth of material, 7 weeks long
          ",coursera,engineering
/course/nanotech-413,Nanotechnology: The Basics,/university/rice,Four and a half out of five stars,6 reviews,"
            4-8 hours a week, 9 weeks long
          ",coursera,engineering
/course/geo-enviro-analysis-5584,Geospatial and Environmental Analysis,/university/ucdavis,Five out of five stars,1137 ratings at Coursera,"
            14 hours worth of material, 4 weeks long
          ",coursera,engineering
/course/digital-manufacturing-design-8051,Digital Manufacturing & Design,/university/suny,Four and a half out of five stars,3379 ratings at Coursera,"
            9-10 hours worth of material, 2 weeks long
          ",coursera,engineering
/course/digital-thread-implementation-8322,Digital Thread: Implementation,/university/ubuffalo,Four and a half out of five stars,444 ratings at Coursera,"
            20 hours worth of material, 5 weeks long
          ",coursera,engineering
/course/digital-thread-components-8138,Digital Thread: Components,/university/ubuffalo,Four and a half out of five stars,775 ratings at Coursera,"
            14 hours worth of material, 3 weeks long
          ",coursera,engineering
/course/introduction-cad-cam-practical-cnc-machi-15215,"Introduction to CAD, CAM, and Practical CNC Machining",/institution/autodesk,Five out of five stars,774 ratings at Coursera,"
            20 hours worth of material, 4 weeks long
          ",coursera,engineering
/course/solar-energy-basics-13794,Solar Energy Basics,/university/suny,Five out of five stars,2141 ratings at Coursera,"
            15 hours worth of material, 5 weeks long
          ",coursera,engineering
/course/mechanical-engineering-design-manufacturing-18130,Introduction to Mechanical Engineering Design and Manufacturing with Fusion 360,/institution/autodesk,Five out of five stars,3487 ratings at Coursera,"
            6-7 hours worth of material, 4 weeks long
          ",coursera,engineering
/course/solar-energy-system-design-20865,Solar Energy System Design,/university/suny,Four and a half out of five stars,281 ratings at Coursera,"
            17 hours worth of material, 5 weeks long
          ",coursera,engineering
/course/lean-manufacturing-services-8365,The hidden value – Lean in manufacturing and services,/university/enpc,Five out of five stars,747 ratings at Coursera,"
            15 hours worth of material, 4 weeks long
          ",coursera,engineering
/course/nanosar1-1012,التقانة والمستشعرات النانوية - الجزء الاول,/university/technion,Four out of five stars,23 ratings at Coursera,"
            12 hours worth of material, 5 weeks long
          ",coursera,engineering
/course/ingenieria-trafico-11950,Ingeniería de Tráfico,/university/ucchile,Five out of five stars,340 ratings at Coursera,"
            5-6 hours worth of material, 4 weeks long
          ",coursera,engineering
/course/introduction-embedded-systems-8458,Introduction to Embedded Systems Software and Development Environments,/university/boulder,Four and a half out of five stars,558 ratings at Coursera,"
            9-10 hours worth of material, 4 weeks long
          ",coursera,engineering
/course/dsp1-19592,Digital Signal Processing 1: Basic Concepts and Algorithms,/university/epfl,Four and a half out of five stars,490 ratings at Coursera,"
            29 hours worth of material, 4 weeks long
          ",coursera,engineering
/course/engineering-project-management-18543,Engineering Project Management,/university/rice,Five out of five stars,1 review,"
            4 hours a week, 17 weeks long
          ",coursera,engineering
/course/structures-1187,L'art des structures 1 : Câbles et arcs,/university/epfl,Five out of five stars,43 ratings at Coursera,"
            27 hours worth of material, 10 weeks long
          ",coursera,engineering
/course/semiconductor-physics-12118,Semiconductor Physics,/university/boulder,Four and a half out of five stars,234 ratings at Coursera,"
            15 hours worth of material, 4 weeks long
          ",coursera,engineering
/course/vlsi-cad-layout-6751,VLSI CAD Part II: Layout,/university/illinois,Five out of five stars,267 ratings at Coursera,"
            24 hours worth of material, 5 weeks long
          ",coursera,engineering
/course/bim-application-12117,BIM Application for Engineers,/university/taiwan,Four and a half out of five stars,396 ratings at Coursera,"
            19 hours worth of material, 6 weeks long
          ",coursera,engineering
/course/financing-major-engineering-projects-11050,Financing and Initiating Major Engineering Projects,/university/leeds,Five out of five stars,204 ratings at Coursera,"
            21 hours worth of material, 5 weeks long
          ",coursera,engineering
/course/aeronautics-21525,Digitalisation in Aeronautics,/university/tum,Four and a half out of five stars,128 ratings at Coursera,"
            9-10 hours worth of material, 4 weeks long
          ",coursera,engineering
/course/mosfet-547,MOS Transistors,/university/columbia,Four and a half out of five stars,141 ratings at Coursera,"
            18 hours worth of material, 11 weeks long
          ",coursera,engineering
/course/advanced-manufacturing-process-analysis-8154,Advanced Manufacturing Process Analysis,/university/ubuffalo,Four and a half out of five stars,1138 ratings at Coursera,"
            13 hours worth of material, 3 weeks long
          ",coursera,engineering
/course/modelsystems-729,Everything is the Same: Modeling Engineered Systems,/university/northwestern,Five out of five stars,1 review,"
            5-7 hours a week
          ",coursera,engineering
/course/staticsofobjects-969,Structure Standing Still: The Statics of Everyday Objects,/university/ufl,Five out of five stars,1 review,"
            3-8 hours a week
          ",coursera,engineering
/course/intro-sig-1-6205,Introduction aux Systèmes d’Information Géographique - Partie 1,/university/epfl,Five out of five stars,1 review,"
            6 weeks long
          ",coursera,engineering
/course/gis-data-design-5612,"GIS Data Formats, Design and Quality",/university/ucdavis,Five out of five stars,1944 ratings at Coursera,"
            28 hours worth of material, 4 weeks long
          ",coursera,engineering
/course/globalenergyandclimatepolicy-8604,Global Energy and Climate Policy,/university/soasuol,Four and a half out of five stars,566 ratings at Coursera,"
            13 hours worth of material, 6 weeks long
          ",coursera,engineering
/course/introduction-gis-mapping-13457,Introduction to GIS Mapping,/university/utoronto,Five out of five stars,1878 ratings at Coursera,"
            14 hours worth of material, 6 weeks long
          ",coursera,engineering
/course/spatialcomputing-1766,From GPS and Google Maps to Spatial Computing,/university/minnesota,Four and a half out of five stars,2 reviews,"
            4-10 hours a week
          ",coursera,engineering
/course/global-energy-6189,Politics and Economics of International Energy,/university/sciencespo,Four and a half out of five stars,1632 ratings at Coursera,"
            30 hours worth of material, 8 weeks long
          ",coursera,engineering
/course/sanitation-2230,Planning & Design of Sanitation Systems and Technologies,/university/epfl,Five out of five stars,1050 ratings at Coursera,"
            17 hours worth of material, 5 weeks long
          ",coursera,engineering
/course/analysenumerique-846,Analyse numérique pour ingénieurs,/university/epfl,Four and a half out of five stars,104 ratings at Coursera,"
            37 hours worth of material, 8 weeks long
          ",coursera,engineering
/course/wind-energy-5552,Wind Energy,/university/dtu,Four and a half out of five stars,6836 ratings at Coursera,"
            36 hours worth of material, 5 weeks long
          ",coursera,engineering
/course/robotics-computation-5029,Robotics: Computational Motion Planning,/university/penn,Four and a half out of five stars,1004 ratings at Coursera,"
            11 hours worth of material, 4 weeks long
          ",coursera,engineering
/course/powerelectronics-716,Introduction to Power Electronics,/university/boulder,Four and a half out of five stars,3172 ratings at Coursera,"
            12 hours worth of material, 3 weeks long
          ",coursera,engineering
/course/dsp-423,Digital Signal Processing,/university/epfl,Four out of five stars,5 reviews,"
            8-10 hours a week, 8 weeks long
          ",coursera,engineering
/course/microcontroleurs-1238,Comprendre les Microcontroleurs,/university/epfl,Four and a half out of five stars,96 ratings at Coursera,"
            35 hours worth of material, 7 weeks long
          ",coursera,engineering
/course/sistemas-digitales-1457,Sistemas Digitales: De las puertas lógicas al procesador,/university/uab,Five out of five stars,237 ratings at Coursera,"
            43 hours worth of material, 8 weeks long
          ",coursera,engineering
/course/motors-circuits-design-12098,Motors and Motor Control Circuits,/university/boulder,Four and a half out of five stars,1220 ratings at Coursera,"
            36 hours worth of material, 5 weeks long
          ",coursera,engineering
/course/renewable-energy-futures-46035,Renewable Energy Futures,/university/boulder,Five out of five stars,96 ratings at Coursera,"
            16 hours worth of material, 5 weeks long
          ",coursera,engineering
/course/gis-1-13293,Geographical Information Systems - Part 1,/university/epfl,Three and a half out of five stars,60 ratings at Coursera,"
            20 hours worth of material, 6 weeks long
          ",coursera,engineering
/course/geospatial-data-visualization-using-python-and-fo-58957,Geospatial Data Visualization using Python and Folium,/institution/project-network,Four out of five stars,1 review,"
            2 hours worth of material
          ",coursera,engineering
/course/geomatique-1605,Éléments de Géomatique,/university/epfl,Four and a half out of five stars,127 ratings at Coursera,"
            23 hours worth of material, 11 weeks long
          ",coursera,engineering
/course/bim-fundamentals-12179,BIM Fundamentals for Engineers,/university/taiwan,Four and a half out of five stars,1371 ratings at Coursera,"
            13 hours worth of material, 5 weeks long
          ",coursera,engineering
/course/eefun-410,Fundamentals of Electrical Engineering,/university/rice,Four out of five stars,1 review,"
            8-10 hours a week, 12 weeks long
          ",coursera,engineering
/course/eefunlab-1189,Fundamentals of Electrical Engineering Laboratory,/university/rice,Four out of five stars,2 reviews,"
            4-6 hours a week
          ",coursera,engineering
/course/bimfundamentals-2746,工程資訊管理 BIM 基礎,/university/taiwan,Four out of five stars,1 review,"
            4-6 hours a week, 7 weeks long
          ",coursera,engineering
/course/graphene-3647,Graphene and 2-dimensional Materials,/university/manchester,Four out of five stars,2 reviews,"
            1-3 hours a week
          ",coursera,engineering
/course/robotics-flight-5025,Robotics: Aerial Robotics,/university/penn,Four out of five stars,10 reviews,"
            18 hours worth of material, 4 weeks long
          ",coursera,engineering
/course/linear-circuits-dcanalysis-8233,Linear Circuits 1: DC Analysis,/university/gatech,Four and a half out of five stars,1407 ratings at Coursera,"
            85 hours worth of material, 7 weeks long
          ",coursera,engineering
/course/dynamics1-1703,Динамика,/university/mipt,Three and a half out of five stars,3 reviews,"
            21 hours worth of material, 7 weeks long
          ",coursera,engineering
/course/scope-time-management-cost-8328,"Engineering Project Management: Scope, Time and Cost Management",/university/rice,Five out of five stars,1218 ratings at Coursera,"
            23 hours worth of material, 6 weeks long
          ",coursera,engineering
/course/fluidpower-1770,Fundamentals of Fluid Power,/university/minnesota,Five out of five stars,1171 ratings at Coursera,"
            19 hours worth of material, 6 weeks long
          ",coursera,engineering
/course/geodesign-2016,Geodesign: Change Your World,/university/psu,Four and a half out of five stars,57 ratings at Coursera,"
            11 hours worth of material, 5 weeks long
          ",coursera,engineering
/course/spobuildaerodynamics-1392,Sports and Building Aerodynamics,/university/tue,Five out of five stars,254 ratings at Coursera,"
            24 hours worth of material, 8 weeks long
          ",coursera,engineering
/course/spacecraft-dynamics-kinematics-8549,Kinematics: Describing the Motions of Spacecraft,/university/boulder,Five out of five stars,294 ratings at Coursera,"
            28 hours worth of material, 4 weeks long
          ",coursera,engineering
/course/converter-control-5415,Converter Control,/university/boulder,Five out of five stars,596 ratings at Coursera,"
            19 hours worth of material, 4 weeks long
          ",coursera,engineering
/course/advanced-manufacturing-enterprise-8310,Advanced Manufacturing Enterprise,/university/ubuffalo,Four and a half out of five stars,610 ratings at Coursera,"
            18 hours worth of material, 4 weeks long
          ",coursera,engineering
/course/nanosensors-977,Nanotechnology and Nanosensors,/university/technion,Three out of five stars,1 review,"
            6-10 hours a week, 10 weeks long
          ",coursera,engineering
/course/circuits-1041,Linear Circuits,/university/gatech,Three and a half out of five stars,4 reviews,"
            5-7 hours a week
          ",coursera,engineering
/course/robotics-mobility-5032,Robotics: Mobility,/university/penn,Four out of five stars,583 ratings at Coursera,"
            19 hours worth of material, 4 weeks long
          ",coursera,engineering
/course/satellitecommunications-6313,Introduction to Satellite Communications,/university/fr-mines-telecom,Four and a half out of five stars,771 ratings at Coursera,"
            33 hours worth of material, 6 weeks long
          ",coursera,engineering
/course/nanotechnology-9262,Nanotechnology: A Maker’s Course,/university/duke,Five out of five stars,2652 ratings at Coursera,"
            26 hours worth of material, 8 weeks long
          ",coursera,engineering
/course/robotics-estimation-and-learning-5030,Robotics: Estimation and Learning,/university/penn,Four and a half out of five stars,492 ratings at Coursera,"
            15 hours worth of material, 4 weeks long
          ",coursera,engineering
/course/optical-efficiency-and-resolution-11815,Optical Efficiency and Resolution,/university/boulder,Four out of five stars,53 ratings at Coursera,"
            21 hours worth of material, 5 weeks long
          ",coursera,engineering
/course/optobotics-4320,Introduction to OptoBotics℠,/university/uci,Two out of five stars,1 review,"
            4 weeks long
          ",coursera,engineering
/course/robotics-perception-5033,Robotics: Perception,/university/penn,Four and a half out of five stars,635 ratings at Coursera,"
            33 hours worth of material, 4 weeks long
          ",coursera,engineering
/course/intro-gis-5489,Fundamentals of GIS,/university/ucdavis,Three and a half out of five stars,10 reviews,"
            31 hours worth of material, 4 weeks long
          ",coursera,engineering
/course/digital-systems-7359,Digital Systems: From Logic Gates to Processors,/university/uab,Four and a half out of five stars,695 ratings at Coursera,"
            28 hours worth of material, 8 weeks long
          ",coursera,engineering
/course/nanosensors1-5200,"Nanotechnology and Nanosensors, Part1",/university/technion,Four and a half out of five stars,1081 ratings at Coursera,"
            12 hours worth of material, 5 weeks long
          ",coursera,engineering
/course/wind-for-renewable-energies-8431,Wind resources for renewable energies,/university/ep,Three and a half out of five stars,115 ratings at Coursera,"
            17 hours worth of material, 4 weeks long
          ",coursera,engineering
/course/modeling-simulation-natural-processes-8554,Simulation and modeling of natural processes,/university/unige,Four out of five stars,325 ratings at Coursera,"
            23 hours worth of material, 8 weeks long
          ",coursera,engineering
/course/robotics-18626,Robotics,/university/penn,One out of five stars,1 review,"
            5 hours a week, 30 weeks long
          ",coursera,engineering
/course/pumps-for-nuclear-power-plants-22488,Construction and operation of pumps for nuclear power plants,/university/mephi,One out of five stars,1 review,"
            24 hours worth of material, 6 weeks long
          ",coursera,engineering
/course/energy101-405,Energy 101: The Big Picture,/university/gatech,Three and a half out of five stars,11 reviews,"
            5-7 hours a week, 6 weeks long
          ",coursera,engineering
/course/windwavetide-2477,"Wind, Waves and Tides: Alternative Energy Systems",/university/utoronto,Two and a half out of five stars,3 reviews,"
            5-7 hours a week, 7 weeks long
          ",coursera,engineering
/course/robotica-inicial-4659,Robótica,/university/unam,Four and a half out of five stars,1430 ratings at Coursera,"
            11 hours worth of material, 5 weeks long
          ",coursera,engineering
/course/embedded-operating-system-6826,Embedded Hardware and Operating Systems,/institution/eitdigital,Four out of five stars,598 ratings at Coursera,"
            17 hours worth of material, 4 weeks long
          ",coursera,engineering
/course/3d-model-creation-fusion-360-10167,3D Model Creation with Autodesk Fusion 360,/institution/autodesk,Five out of five stars,742 ratings at Coursera,"
            15 hours worth of material, 4 weeks long
          ",coursera,engineering
/course/controle-s-6242,Controle de Sistemas no Plano-s,/university/ita,Five out of five stars,86 ratings at Coursera,"
            9-10 hours worth of material, 5 weeks long
          ",coursera,engineering
/course/controle-5870,Introdução ao Controle de Sistemas,/university/ita,Five out of five stars,1094 ratings at Coursera,"
            19 hours worth of material, 4 weeks long
          ",coursera,engineering
/course/project-risk-quality-management-8329,"Engineering Project Management: Risk, Quality, Teams, and Procurement",/university/rice,Five out of five stars,1029 ratings at Coursera,"
            16 hours worth of material, 5 weeks long
          ",coursera,engineering
/course/mbse-8312,MBSE: Model-Based Systems Engineering ,/university/ubuffalo,Four and a half out of five stars,693 ratings at Coursera,"
            21 hours worth of material, 4 weeks long
          ",coursera,engineering
/course/magnetics-power-electronic-converters-5414,Magnetics for Power Electronic Converters,/university/boulder,Five out of five stars,92 ratings at Coursera,"
            17 hours worth of material, 4 weeks long
          ",coursera,engineering
/course/high-throughput-6537,Introduction to High-Throughput Materials Development,/university/gatech,Four and a half out of five stars,165 ratings at Coursera,"
            16 hours worth of material, 5 weeks long
          ",coursera,engineering
/course/robotics-capstone-5129,Robotics: Capstone,/university/penn,Four and a half out of five stars,106 ratings at Coursera,"
            26 hours worth of material, 6 weeks long
          ",coursera,engineering
/course/cad2dpractice-3449,工程圖學 2D CAD 專題,/university/taiwan,Five out of five stars,76 ratings at Coursera,"
            8-9 hours worth of material, 13 weeks long
          ",coursera,engineering
/course/bim-sumo-3452,工程資訊管理 BIM 塑模,/university/taiwan,Four and a half out of five stars,43 ratings at Coursera,"
            28 hours worth of material, 6 weeks long
          ",coursera,engineering
/course/cad2d-2744,工程圖學 2D CAD,/university/taiwan,Five out of five stars,219 ratings at Coursera,"
            26 hours worth of material, 8 weeks long
          ",coursera,engineering
/course/cad3d-2745,工程圖學 3D CAD 專題,/university/taiwan,Five out of five stars,54 ratings at Coursera,"
            8-9 hours worth of material, 10 weeks long
          ",coursera,engineering
/course/3d-cad-4546,工程圖學 3D CAD,/university/taiwan,Five out of five stars,94 ratings at Coursera,"
            7-8 hours worth of material, 7 weeks long
          ",coursera,engineering
/course/bim-yingyong-4517,工程資訊管理 BIM 應用,/university/taiwan,Five out of five stars,29 ratings at Coursera,"
            19 hours worth of material, 5 weeks long
          ",coursera,engineering
/course/control-automatico-9258,Control automático: La tecnología invisible ,/university/unam,Four and a half out of five stars,341 ratings at Coursera,"
            9-10 hours worth of material, 3 weeks long
          ",coursera,engineering
/course/linear-circuits-ac-analysis-9474,Linear Circuits 2: AC Analysis ,/university/gatech,Four and a half out of five stars,713 ratings at Coursera,"
            28 hours worth of material, 5 weeks long
          ",coursera,engineering
/course/design-high-performance-optical-systems-12052,Design of High-Performance Optical Systems,/university/boulder,Four and a half out of five stars,43 ratings at Coursera,"
            23 hours worth of material, 5 weeks long
          ",coursera,engineering
/course/collaborative-robot-safety-12018,Collaborative Robot Safety: Design & Deployment,/university/ubuffalo,Four and a half out of five stars,239 ratings at Coursera,"
            16 hours worth of material, 4 weeks long
          ",coursera,engineering
/course/modernrobotics-course4-11213,"Modern Robotics, Course 4:  Robot Motion Planning and Control",/university/northwestern,Five out of five stars,100 ratings at Coursera,"
            32 hours worth of material, 4 weeks long
          ",coursera,engineering
/course/spacecraft-dynamics-kinetics-8655,Kinetics: Studying Spacecraft Motion,/university/boulder,Five out of five stars,121 ratings at Coursera,"
            21 hours worth of material, 4 weeks long
          ",coursera,engineering
/course/nonlinear-spacecraft-attitude-control-8656,Control of Nonlinear Spacecraft Attitude Motion,/university/boulder,Four and a half out of five stars,61 ratings at Coursera,"
            31 hours worth of material, 4 weeks long
          ",coursera,engineering
/course/ethics-technology-engineering-10485,"Ethics, Technology and Engineering ",/university/tue,Four and a half out of five stars,660 ratings at Coursera,"
            19 hours worth of material, 9 weeks long
          ",coursera,engineering
/course/ferrous-technology-1-10362,Ferrous Technology I,/university/postech,Four and a half out of five stars,618 ratings at Coursera,"
            4-5 hours worth of material, 6 weeks long
          ",coursera,engineering
/course/ferrous-technology-2-10363,Ferrous Technology II,/university/postech,Five out of five stars,294 ratings at Coursera,"
            7-8 hours worth of material, 7 weeks long
          ",coursera,engineering
/course/environmental-management-ethics-8803,Environmental Management & Ethics,/university/dtu,Four and a half out of five stars,314 ratings at Coursera,"
            13 hours worth of material, 6 weeks long
          ",coursera,engineering
/course/modernrobotics-course6-11321,"Modern Robotics, Course 6:  Capstone Project, Mobile Manipulation",/university/northwestern,Five out of five stars,47 ratings at Coursera,"
            21 hours worth of material, 4 weeks long
          ",coursera,engineering
/course/modernrobotics-course5-11324,"Modern Robotics, Course 5:  Robot Manipulation and Wheeled Mobile Robots ",/university/northwestern,Four and a half out of five stars,72 ratings at Coursera,"
            35 hours worth of material, 4 weeks long
          ",coursera,engineering
/course/manufacturing-process-fusion-360-10169,Manufacturing Process with Autodesk Fusion 360,/institution/autodesk,Four and a half out of five stars,474 ratings at Coursera,"
            13 hours worth of material, 4 weeks long
          ",coursera,engineering
/course/plastic-electronics-10161,Plastic electronics,/university/ep,Four and a half out of five stars,201 ratings at Coursera,"
            6-7 hours worth of material, 5 weeks long
          ",coursera,engineering
/course/displays-12227,Displays,/university/boulder,Four and a half out of five stars,43 ratings at Coursera,"
            7-8 hours worth of material, 3 weeks long
          ",coursera,engineering
/course/leds-semiconductor-lasers-12228,Light Emitting Diodes and Semiconductor Lasers,/university/boulder,Four out of five stars,39 ratings at Coursera,"
            25 hours worth of material, 6 weeks long
          ",coursera,engineering
/course/nanophotonics-detectors-12231,Nanophotonics and Detectors,/university/boulder,Four out of five stars,18 ratings at Coursera,"
            15 hours worth of material, 6 weeks long
          ",coursera,engineering
/course/sensor-manufacturing-process-control-15157,Sensor Manufacturing and Process Control,/university/boulder,Four and a half out of five stars,246 ratings at Coursera,"
            55 hours worth of material, 5 weeks long
          ",coursera,engineering
/course/generative-design-industrial-application-15194,Generative Design for Industrial Applications,/institution/autodesk,Five out of five stars,82 ratings at Coursera,"
            28 hours worth of material, 4 weeks long
          ",coursera,engineering
/course/generative-design-additive-manufacturing-15209,Generative Design for Additive Manufacturing,/institution/autodesk,Five out of five stars,241 ratings at Coursera,"
            26 hours worth of material, 4 weeks long
          ",coursera,engineering
