Link,Title,Provider,Rating,Num_Reviewer,Workload,platform,subject
/course/medical-research-19515,Understanding Medical Research: Your Facebook Friend is Wrong,/university/yale,Five out of five stars,364 reviews,"
            17 hours worth of material, 7 weeks long
          ",coursera,health
/course/clinical-research-5037,Understanding Clinical Research: Behind the Statistics,/university/uct,Five out of five stars,726 reviews,"
            27 hours worth of material, 6 weeks long
          ",coursera,health
/course/mindfulness-6951,De-Mystifying Mindfulness,/university/leiden,Five out of five stars,95 reviews,"
            43 hours worth of material, 9 weeks long
          ",coursera,health
/course/organ-donation-8708,Organ Donation: From Death to Life ,/university/uct,Five out of five stars,13 reviews,"
            16 hours worth of material, 4 weeks long
          ",coursera,health
/course/health-concepts-chinese-medicine-9496,Health Concepts in Chinese Medicine,/university/hkust,Four and a half out of five stars,84 reviews,"
            11 hours worth of material, 6 weeks long
          ",coursera,health
/course/science-of-meditation-1355,Buddhism and Modern Psychology,/university/princeton,Four and a half out of five stars,29 reviews,"
            6 weeks long
          ",coursera,health
/course/covid-19-contact-tracing-19669,COVID-19 Contact Tracing,/university/jhu,Five out of five stars,15 reviews,"
            6-7 hours worth of material, 1 week long
          ",coursera,health
/course/positive-psychiatry-8783,Positive Psychiatry and Mental Health ,/university/sydney,Four and a half out of five stars,21 reviews,"
            20 hours worth of material, 5 weeks long
          ",coursera,health
/course/severe-to-profound-intellectual-disabili-15206,Severe to Profound Intellectual Disability: Circles of Care and Education,/university/uct,Four and a half out of five stars,24 reviews,"
            15 hours worth of material, 4 weeks long
          ",coursera,health
/course/covid-19-training-healthcare-20907,COVID-19 Training for Healthcare Workers,/university/stanford,Five out of five stars,9 reviews,"
            8-9 hours worth of material, 1 week long
          ",coursera,health
/course/covid-19-19029,Science Matters: Let's Talk About COVID-19,/university/imperial,Five out of five stars,6 reviews,"
            16 hours worth of material, 8 weeks long
          ",coursera,health
/course/cancer-metastasis-7624,Understanding Cancer Metastasis,/university/jhu,Five out of five stars,6 reviews,"
            5-6 hours worth of material, 3 weeks long
          ",coursera,health
/course/statreasoning-1036,"Statistical Reasoning for Public Health 1: Estimation, Inference, & Interpretation",/university/jhu,Five out of five stars,6 reviews,"
            7-9 hours a week, 8 weeks long
          ",coursera,health
