Link,Title,Provider,Rating,Num_Reviewer,Workload,platform,subject
/course/modpo-356,Modern & Contemporary American Poetry (“ModPo”),/university/penn,Five out of five stars,189 reviews,"
            93 hours worth of material, 10 weeks long
          ",coursera,humanities
/course/happiness-2860,A Life of Happiness and Fulfillment,/university/isb,Five out of five stars,508 reviews,"
            28 hours worth of material, 6 weeks long
          ",coursera,humanities
/course/biblefuture-1406,"The Bible's Prehistory, Purpose, and Political Future",/university/emory,Five out of five stars,36 reviews,"
            20 hours worth of material, 6 weeks long
          ",coursera,humanities
/course/learn-korean-5730,First Step Korean,/university/yonsei,Four and a half out of five stars,122 reviews,"
            18 hours worth of material, 5 weeks long
          ",coursera,humanities
/course/henry-8669,Patrick Henry: Forgotten Founder,/university/uva,Five out of five stars,16 reviews,"
            7-8 hours worth of material, 5 weeks long
          ",coursera,humanities
/course/modernmiddleeast1-976,The Emergence of the Modern Middle East - Part I,/university/telaviv,Five out of five stars,25 reviews,"
            7-8 hours worth of material, 4 weeks long
          ",coursera,humanities
/course/sciwrite-464,Writing in the Sciences,/university/stanford,Five out of five stars,14 reviews,"
            30 hours worth of material, 8 weeks long
          ",coursera,humanities
/course/modern-postmodern-1-598,The Modern and the Postmodern (Part 1),/university/wesleyan,Five out of five stars,21 reviews,"
            12 hours worth of material, 7 weeks long
          ",coursera,humanities
/course/know-thyself-the-examined-life-432, Know Thyself - The Value and Limits of Self-Knowledge: The Examined Life,/university/edinburgh,Four and a half out of five stars,30 reviews,"
            19 hours worth of material, 4 weeks long
          ",coursera,humanities
/course/modern-world-430,"The Modern World, Part One: Global History from 1760 to 1910",/university/uva,Five out of five stars,25 reviews,"
            15 hours worth of material, 7 weeks long
          ",coursera,humanities
/course/moralities-911,Moralities of Everyday Life,/university/yale,Four and a half out of five stars,42 reviews,"
            24 hours worth of material, 6 weeks long
          ",coursera,humanities
/course/humanlanguage-2940,Miracles of Human Language: An Introduction to Linguistics,/university/leiden,Four and a half out of five stars,88 reviews,"
            23 hours worth of material, 6 weeks long
          ",coursera,humanities
/course/intellectual-humility-science-7657,Intellectual Humility: Science,/university/edinburgh,Five out of five stars,9 reviews,"
            21 hours worth of material, 4 weeks long
          ",coursera,humanities
/course/muslimworld-663,Constitutional Struggles in the Muslim World,/university/ucph,Five out of five stars,11 reviews,"
            40 hours worth of material, 10 weeks long
          ",coursera,humanities
/course/stem-6538,"English for Science, Technology, Engineering, and Mathematics",/university/penn,Five out of five stars,11 reviews,"
            35 hours worth of material, 5 weeks long
          ",coursera,humanities
/course/newchinahistory1-520,"Understanding China, 1700-2000: A Data Analytic Approach, Part 1",/university/hkust,Five out of five stars,13 reviews,"
            7-8 hours worth of material, 5 weeks long
          ",coursera,humanities
/course/intellectual-humility-practice-7656,Intellectual Humility: Practice,/university/edinburgh,Five out of five stars,10 reviews,"
            19 hours worth of material, 4 weeks long
          ",coursera,humanities
/course/plato-5237,Ancient Philosophy: Plato & His Predecessors,/university/penn,Five out of five stars,12 reviews,"
            13 hours worth of material, 4 weeks long
          ",coursera,humanities
/course/philosophy-physical-sciences-1356,Philosophy and the Sciences: Introduction to the Philosophy of Physical Sciences,/university/edinburgh,Five out of five stars,9 reviews,"
            11 hours worth of material, 4 weeks long
          ",coursera,humanities
/course/frenchrev-1705,The French Revolution,/university/unimelb,Four and a half out of five stars,23 reviews,"
            24 hours worth of material, 6 weeks long
          ",coursera,humanities
/course/ancientgreeks-502,The Ancient Greeks,/university/wesleyan,Four and a half out of five stars,31 reviews,"
            20 hours worth of material, 7 weeks long
          ",coursera,humanities
/course/holocaust-680,The Holocaust,/university/ucsc,Five out of five stars,10 reviews,"
            3-6 hours a week
          ",coursera,humanities
/course/intellectual-humility-theory-7505,Intellectual Humility: Theory,/university/edinburgh,Five out of five stars,6 reviews,"
            18 hours worth of material, 3 weeks long
          ",coursera,humanities
/course/big-data-ai-ethics-17300,"Big Data, Artificial Intelligence, and Ethics",/university/ucdavis,Five out of five stars,6 reviews,"
            12 hours worth of material, 4 weeks long
          ",coursera,humanities
/course/careerdevelopment-6011,English for Career Development,/university/penn,Four and a half out of five stars,24 reviews,"
            40 hours worth of material, 5 weeks long
          ",coursera,humanities
/course/modernmiddleeast2-3204,The Emergence of the Modern Middle East - Part II,/university/telaviv,Four and a half out of five stars,11 reviews,"
            11 hours worth of material, 5 weeks long
          ",coursera,humanities
/course/holocaust-introduction-1-5280,"The Holocaust - An Introduction (I): Nazi Germany: Ideology, The Jews and the World",/institution/yadvashem,Five out of five stars,7 reviews,"
            7-8 hours worth of material, 3 weeks long
          ",coursera,humanities
/course/wh1300-351,A History of the World since 1300,/university/princeton,Five out of five stars,7 reviews,"
            4-7 hours a week
          ",coursera,humanities
/course/gabriel-garcia-marquez-poder-historia-am-8426,"Gabriel García Márquez entre el poder, la historia y el amor",/university/uniandes,Five out of five stars,5 reviews,"
            31 hours worth of material, 8 weeks long
          ",coursera,humanities
/course/english-principles-4658,Teach English Now! Foundational Principles,/university/asu,Five out of five stars,8 reviews,"
            21 hours worth of material, 6 weeks long
          ",coursera,humanities
/course/mythology-353,Greek and Roman Mythology,/university/penn,Four and a half out of five stars,21 reviews,"
            25 hours worth of material, 10 weeks long
          ",coursera,humanities
/course/philosophy-science-religion-3-10623,"Philosophy, Science and Religion: Religion and Science",/university/edinburgh,Four and a half out of five stars,57 reviews,"
            26 hours worth of material, 6 weeks long
          ",coursera,humanities
/course/relationship-510,The Fiction of Relationship,/university/brown,Four and a half out of five stars,9 reviews,"
            12-15 hours a week
          ",coursera,humanities
/course/learn-speak-korean1-6645,Learn to Speak Korean 1,/university/yonsei,Four and a half out of five stars,12 reviews,"
            32 hours worth of material, 6 weeks long
          ",coursera,humanities
/course/shiji-1652,史記 (Shi Ji),/university/taiwan,Five out of five stars,203 ratings at Coursera,"
            15 hours worth of material, 8 weeks long
          ",coursera,humanities
/course/language-theories-4617,Teach English Now! Theories of Second Language Acquisition,/university/asu,Four and a half out of five stars,7 reviews,"
            17 hours worth of material, 6 weeks long
          ",coursera,humanities
/course/business-6010,English for Business and Entrepreneurship,/university/penn,Four and a half out of five stars,7 reviews,"
            32 hours worth of material, 5 weeks long
          ",coursera,humanities
/course/writing-college-research-4201,Introduction to Research for Essay Writing,/university/uci,Four and a half out of five stars,7 reviews,"
            20 hours worth of material, 4 weeks long
          ",coursera,humanities
/course/jefferson-1343,Age of Jefferson,/university/uva,Four and a half out of five stars,10 reviews,"
            10 hours worth of material, 7 weeks long
          ",coursera,humanities
/course/hy-2353,Chinese for Beginners,/university/pku,Four and a half out of five stars,59 reviews,"
            21 hours worth of material, 7 weeks long
          ",coursera,humanities
/course/philosophy-science-religion-2-9085,"Philosophy, Science and Religion: Philosophy and Religion",/university/edinburgh,Four and a half out of five stars,23 reviews,"
            24 hours worth of material, 6 weeks long
          ",coursera,humanities
/course/sports-518,Sports and Society,/university/duke,Four and a half out of five stars,8 reviews,"
            12 hours worth of material, 7 weeks long
          ",coursera,humanities
/course/how-to-write-a-scientific-paper-5816,How to Write and Publish a Scientific Paper (Project-Centered Course),/university/ep,Five out of five stars,5 reviews,"
            13 hours worth of material, 4 weeks long
          ",coursera,humanities
/course/wondersancientegypt-9577,Wonders of Ancient Egypt,/university/penn,Five out of five stars,5 reviews,"
            9-10 hours worth of material, 6 weeks long
          ",coursera,humanities
/course/slavesouth-1268,History of the Slave South,/university/penn,Four and a half out of five stars,6 reviews,"
            5-8 hours a week
          ",coursera,humanities
/course/newchinahistory2-3792,"Understanding China, 1700-2000: A Data Analytic Approach, Part 2",/university/hkust,Four and a half out of five stars,54 ratings at Coursera,"
            5-6 hours worth of material, 4 weeks long
          ",coursera,humanities
/course/game-developers-esports-organizations-13112,Game Developers and Esports Organizations,/university/uci,Four and a half out of five stars,168 ratings at Coursera,"
            4-5 hours worth of material, 2 weeks long
          ",coursera,humanities
/course/practicalethics-1354,Practical Ethics,/university/princeton,Five out of five stars,3 reviews,"
            5-7 hours a week
          ",coursera,humanities
/course/introphil-418,Introduction to Philosophy,/university/edinburgh,Four and a half out of five stars,75 reviews,"
            19 hours worth of material, 5 weeks long
          ",coursera,humanities
/course/perfect-tenses-modals-6292,Perfect Tenses and Modals,/university/uci,Four and a half out of five stars,7 reviews,"
            29 hours worth of material, 4 weeks long
          ",coursera,humanities
