Link,Title,Provider,Rating,Num_Reviewer,Workload,platform,subject
/course/learning-how-to-learn-2161,Learning How to Learn: Powerful mental tools to help you master tough subjects,/institution/oakley,Five out of five stars,22523 reviews,"
            15 hours worth of material, 4 weeks long
          ",coursera,personal-development
/course/career-planning--19723,"Career planning: resume/CV, cover letter, interview",/university/tomsk-state,Five out of five stars,53 reviews,"
            10 hours worth of material, 5 weeks long
          ",coursera,personal-development
/course/apprendre-comment-apprendre-18067,Apprendre comment apprendre (ACA) : Des outils mentaux puissants qui vous aideront à maîtriser des sujets difficiles,/institution/oakley,Five out of five stars,354 reviews,"
            15 hours worth of material, 4 weeks long
          ",coursera,personal-development
/course/aprendo-4631,Aprender,/university/unam,Five out of five stars,106 reviews,"
            9-10 hours worth of material, 4 weeks long
          ",coursera,personal-development
/course/mindshift-8289,Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,/university/mcmaster,Five out of five stars,7278 reviews,"
            11 hours worth of material, 4 weeks long
          ",coursera,personal-development
/course/learning-how-to-learn-youth-12569,Learning How To Learn for Youth,/university/asu,Five out of five stars,910 reviews,"
            6-7 hours worth of material, 3 weeks long
          ",coursera,personal-development
/course/successfulnegotiation-2460,Successful Negotiation: Essential Strategies and Skills,/university/umich,Five out of five stars,216 reviews,"
            17 hours worth of material, 7 weeks long
          ",coursera,personal-development
/course/delivery-9645,Presentation skills:  Effective Presentation Delivery,/university/tomsk-state,Five out of five stars,136 reviews,"
            20 hours worth of material, 4 weeks long
          ",coursera,personal-development
/course/speechwriting-9646,Presentation skills: Speechwriting and Storytelling,/university/tomsk-state,Four and a half out of five stars,392 reviews,"
            35 hours worth of material, 6 weeks long
          ",coursera,personal-development
/course/know-thyself-the-examined-life-432, Know Thyself - The Value and Limits of Self-Knowledge: The Examined Life,/university/edinburgh,Four and a half out of five stars,30 reviews,"
            19 hours worth of material, 4 weeks long
          ",coursera,personal-development
