Link,Title,Provider,Rating,Num_Reviewer,Workload,platform,subject
/course/interactivepython1-408,An Introduction to Interactive Programming in Python (Part 1),/university/rice,Five out of five stars,3341 reviews,"
            19 hours worth of material, 5 weeks long
          ",coursera,programming-and-software-development
/course/python-data-4174,Python Data Structures,/university/umich,Five out of five stars,14461 reviews,"
            19 hours worth of material, 7 weeks long
          ",coursera,programming-and-software-development
/course/python-18625,Python for Everybody,/university/umich,Five out of five stars,406 reviews,"
            3 hours a week, 35 weeks long
          ",coursera,programming-and-software-development
/course/python-4319,Programming for Everybody (Getting Started with Python),/university/umich,Five out of five stars,38285 reviews,"
            19 hours worth of material, 7 weeks long
          ",coursera,programming-and-software-development
/course/exploratory-data-analysis-matlab-17125,Exploratory Data Analysis with MATLAB,/institution/mathworks,Five out of five stars,37 reviews,"
            19 hours worth of material, 5 weeks long
          ",coursera,programming-and-software-development
/course/matlab-3396,Introduction to Programming with MATLAB,/university/vanderbilt,Five out of five stars,207 reviews,"
            35 hours worth of material, 9 weeks long
          ",coursera,programming-and-software-development
/course/predictive-modeling-machine-learning-17129,Predictive Modeling and Machine Learning with MATLAB,/institution/mathworks,Five out of five stars,47 reviews,"
            22 hours worth of material, 4 weeks long
          ",coursera,programming-and-software-development
/course/interactivepython2-3196,An Introduction to Interactive Programming in Python (Part 2),/university/rice,Five out of five stars,58 reviews,"
            16 hours worth of material, 4 weeks long
          ",coursera,programming-and-software-development
/course/html-css-javascript-for-web-developers-4270,"HTML, CSS, and Javascript for Web Developers",/university/jhu,Five out of five stars,19 reviews,"
            40 hours worth of material, 5 weeks long
          ",coursera,programming-and-software-development
/course/programming1-385,Learn to Program: The Fundamentals,/university/utoronto,Four and a half out of five stars,109 reviews,"
            25 hours worth of material, 7 weeks long
          ",coursera,programming-and-software-development
/course/python-databases-4272,Using Databases with Python,/university/umich,Four and a half out of five stars,4027 reviews,"
            15 hours worth of material, 5 weeks long
          ",coursera,programming-and-software-development
