Link,Title,Provider,Rating,Num_Reviewer,Workload,platform,subject
/course/behavioralecon-424,A Beginner's Guide to Irrational Behavior,/university/duke,Five out of five stars,554 reviews,"
            7-11 hours a week
          ",coursera,social-sciences
/course/protect-business-innovations-trademark-10038,Protecting Business Innovations via Trademark,/university/hkust,Five out of five stars,50 reviews,"
            9-10 hours worth of material, 4 weeks long
          ",coursera,social-sciences
/course/protect-business-innovations-copyright-8733,Protecting Business Innovations via Copyright,/university/hkust,Five out of five stars,63 reviews,"
            13 hours worth of material, 5 weeks long
          ",coursera,social-sciences
/course/gte-sustainable-cities-4851,Greening the Economy: Sustainable Cities,/university/lunduniversity,Five out of five stars,53 reviews,"
            9-10 hours worth of material, 5 weeks long
          ",coursera,social-sciences
/course/protect-business-innovations-patent-10382,Protecting Business Innovations via Patent,/university/hkust,Five out of five stars,157 reviews,"
            10 hours worth of material, 5 weeks long
          ",coursera,social-sciences
/course/humankind-566,A Brief History of Humankind,/university/huji,Five out of five stars,40 reviews,"
            2-4 hours a week
          ",coursera,social-sciences
/course/computational-social-science-ucdavis-18710,Computational Social Science,/university/ucdavis,Five out of five stars,111 reviews,"
            3 hours a week, 26 weeks long
          ",coursera,social-sciences
/course/the-science-of-well-being-10346,The Science of Well-Being,/university/yale,Five out of five stars,28 reviews,"
            19 hours worth of material, 10 weeks long
          ",coursera,social-sciences
/course/eu-making-europe-work-7408,EU policy and implementation: making Europe work! ,/university/leiden,Five out of five stars,51 reviews,"
            55 hours worth of material, 6 weeks long
          ",coursera,social-sciences
/course/computational-social-science-methods-17299,Computational Social Science Methods,/university/ucdavis,Five out of five stars,106 reviews,"
            11 hours worth of material, 4 weeks long
          ",coursera,social-sciences
/course/computer-simulations-17986,Computer Simulations,/university/ucdavis,Five out of five stars,38 reviews,"
            13 hours worth of material, 4 weeks long
          ",coursera,social-sciences
/course/chinesepolitics1-3790,Chinese Politics Part 1 – China and Political Science,/university/hkust,Five out of five stars,31 reviews,"
            17 hours worth of material, 7 weeks long
          ",coursera,social-sciences
/course/css-capstone-17985,Computational Social Science Capstone Project,/university/ucdavis,Five out of five stars,28 reviews,"
            14 hours worth of material, 4 weeks long
          ",coursera,social-sciences
/course/modelthinking-317,Model Thinking,/university/umich,Four and a half out of five stars,66 reviews,"
            27 hours worth of material, 12 weeks long
          ",coursera,social-sciences
/course/international-taxation-3286,Rethinking International Tax Law,/university/leiden,Five out of five stars,30 reviews,"
            44 hours worth of material, 6 weeks long
          ",coursera,social-sciences
/course/security-safety-globalized-world-7770,Security & Safety Challenges in a Globalized World,/university/leiden,Five out of five stars,14 reviews,"
            11 hours worth of material, 6 weeks long
          ",coursera,social-sciences
/course/arbitration-10152,International Law in Action: the Arbitration of International Disputes,/university/leiden,Five out of five stars,14 reviews,"
            11 hours worth of material, 4 weeks long
          ",coursera,social-sciences
/course/introduction-psych-647,Introduction to Psychology,/university/utoronto,Five out of five stars,27 reviews,"
            23 hours worth of material, 12 weeks long
          ",coursera,social-sciences
/course/chinesepolitics2-3791,Chinese Politics Part 2 – China and the World,/university/hkust,Five out of five stars,13 reviews,"
            13 hours worth of material, 6 weeks long
          ",coursera,social-sciences
/course/terrorism-701,Terrorism and Counterterrorism: Comparing Theory and Practice,/university/leiden,Five out of five stars,25 reviews,"
            20 hours worth of material, 6 weeks long
          ",coursera,social-sciences
/course/socialpsychology-555,Social Psychology,/university/wesleyan,Four and a half out of five stars,86 reviews,"
            38 hours worth of material, 7 weeks long
          ",coursera,social-sciences
/course/susdev-1533,The Age of Sustainable Development,/university/columbia,Five out of five stars,14 reviews,"
            30 hours worth of material, 14 weeks long
          ",coursera,social-sciences
/course/introduction-psychology-12509,Introduction to Psychology ,/university/yale,Five out of five stars,16 reviews,"
            15 hours worth of material, 6 weeks long
          ",coursera,social-sciences
/course/econtransform1-8348,China’s Economic Transformation Part 1: Economic Reform and Growth in China,/university/hkust,Five out of five stars,16 reviews,"
            13 hours worth of material, 6 weeks long
          ",coursera,social-sciences
/course/money2-1196,"Economics of Money and Banking, Part Two",/university/columbia,Five out of five stars,9 reviews,"
            5-7 hours a week, 7 weeks long
          ",coursera,social-sciences
/course/americanlaw-2872,An Introduction to American Law,/university/penn,Four and a half out of five stars,19 reviews,"
            12 hours worth of material, 7 weeks long
          ",coursera,social-sciences
/course/monetary-policy-asia-pacific-11646,Monetary Policy in the Asia Pacific,/university/hkust,Four and a half out of five stars,23 reviews,"
            8-9 hours worth of material, 4 weeks long
          ",coursera,social-sciences
/course/positive-psychology-applications-8332,Positive Psychology: Applications and Interventions,/university/penn,Five out of five stars,7 reviews,"
            17 hours worth of material, 4 weeks long
          ",coursera,social-sciences
/course/classical-sociological-theory-4298,Classical Sociological Theory ,/university/amsterdam,Five out of five stars,13 reviews,"
            13 hours worth of material, 8 weeks long
          ",coursera,social-sciences
/course/money-1051,"Economics of Money and Banking, Part One",/university/columbia,Four and a half out of five stars,16 reviews,"
            5-7 hours a week, 7 weeks long
          ",coursera,social-sciences
/course/environlaw-725,Introduction to Environmental Law and Policy,/university/unc,Four and a half out of five stars,11 reviews,"
            15 hours worth of material, 6 weeks long
          ",coursera,social-sciences
/course/behavioralgenetics-1765,Introduction to Human Behavioral Genetics,/university/minnesota,Four and a half out of five stars,11 reviews,"
            27 hours worth of material, 8 weeks long
          ",coursera,social-sciences
/course/quantitative-methods-4340,Quantitative Methods,/university/amsterdam,Five out of five stars,7 reviews,"
            30 hours worth of material, 8 weeks long
          ",coursera,social-sciences
/course/auc-3008,America's Unwritten Constitution,/university/yale,Five out of five stars,5 reviews,"
            17 hours worth of material, 6 weeks long
          ",coursera,social-sciences
/course/understanding-financial-markets-5480,Understanding Financial Markets,/university/unige,Five out of five stars,5 reviews,"
            11 hours worth of material, 4 weeks long
          ",coursera,social-sciences
/course/international-law-in-action-4423,International Law in Action: A Guide to the International Courts and Tribunals in The Hague,/university/leiden,Four and a half out of five stars,10 reviews,"
            18 hours worth of material, 5 weeks long
          ",coursera,social-sciences
/course/risk-in-modern-society-10210,Risk in Modern Society ,/university/leiden,Five out of five stars,8 reviews,"
            11 hours worth of material, 5 weeks long
          ",coursera,social-sciences
/course/money-banking-6632,Economics of Money and Banking,/university/columbia,Five out of five stars,6 reviews,"
            33 hours worth of material, 13 weeks long
          ",coursera,social-sciences
/course/constitution-2082,Introduction to Key Constitutional Concepts and Supreme Court Cases,/university/penn,Five out of five stars,6 reviews,"
            6-7 hours worth of material, 4 weeks long
          ",coursera,social-sciences
/course/digitaldemocracy-337,Securing Digital Democracy,/university/umich,Five out of five stars,6 reviews,"
            14 hours worth of material, 5 weeks long
          ",coursera,social-sciences
/course/history-privacy-laws-14411,Privacy in the Western World,/institution/eitdigital,Four and a half out of five stars,188 ratings at Coursera,"
            7-8 hours worth of material, 8 weeks long
          ",coursera,social-sciences
/course/psychfirstaid-2900,Psychological First Aid,/university/jhu,Four and a half out of five stars,49 reviews,"
            6-7 hours worth of material, 5 weeks long
          ",coursera,social-sciences
/course/welcomegametheory-2883,Welcome to Game Theory,/university/todai,Four and a half out of five stars,16 reviews,"
            21 hours worth of material, 4 weeks long
          ",coursera,social-sciences
/course/networksonline-744,Social and Economic Networks:  Models and Analysis,/university/stanford,Four and a half out of five stars,11 reviews,"
            30 hours worth of material, 8 weeks long
          ",coursera,social-sciences
