Link,Title,Provider,Rating,Num_Reviewer,Workload,platform,subject
/course/edx-cybersecurity-fundamentals-7844,Cybersecurity Fundamentals,/university/rit,Five out of five stars,25 reviews,"
            10-12 hours a week, 8 weeks long
          ",edx,cs
/course/edx-fundamentos-tic-para-profesionales-de-negocios-aplicaciones-empresariales-7475,Fundamentos TIC para profesionales de negocios: Aplicaciones empresariales,/university/upv,Five out of five stars,16 reviews,"
            3-6 hours a week, 4 weeks long
          ",edx,cs
/course/edx-cs188-1x-artificial-intelligence-445,CS188.1x: Artificial Intelligence,/university/berkeley,Five out of five stars,30 reviews,"
            12 weeks long
          ",edx,cs
/course/edx-cs50-s-computer-science-for-business-professionals-10143,CS50's Computer Science for Business Professionals,/university/harvard,Five out of five stars,11 reviews,"
            2-6 hours a week, 6 weeks long
          ",edx,cs
/course/edx-cs50-s-introduction-to-computer-science-442,CS50's Introduction to Computer Science,/university/harvard,Four and a half out of five stars,138 reviews,"
            6-18 hours a week, 12 weeks long
          ",edx,cs
/course/edx-computer-hardware-and-operating-systems-17998,Computer Hardware and Operating Systems,/university/nyu,Five out of five stars,9 reviews,"
            3-5 hours a week, 6 weeks long
          ",edx,cs
/course/edx-unix-tools-data-software-and-production-engineering-18180,"Unix Tools: Data, Software and Production Engineering",/university/delft,Five out of five stars,11 reviews,"
            4-6 hours a week, 6 weeks long
          ",edx,cs
/course/data-structures-algorithms-i-arraylists-linkedlis-23256,"Data Structures & Algorithms I: ArrayLists, LinkedLists, Stacks and Queues",/university/gatech,Five out of five stars,11 reviews,"
            9-10 hours a week, 5 weeks long
          ",edx,cs
/course/edx-human-computer-interaction-i-fundamentals-design-principles-14444,Human-Computer Interaction I: Fundamentals & Design Principles,/university/gatech,Five out of five stars,11 reviews,"
            5-6 hours a week, 6 weeks long
          ",edx,cs
/course/edx-introduccion-al-diseno-de-hardware-con-verilog-11782,Introducción al diseño de hardware con Verilog,/university/galileo,Four and a half out of five stars,38 reviews,"
            6-8 hours a week, 5 weeks long
          ",edx,cs
/course/cadena-de-bloques-e-internet-de-las-cosas-48101,Blockchain e internet de las cosas,/university/galileo,Five out of five stars,10 reviews,"
            4-5 hours a week, 4 weeks long
          ",edx,cs
/course/edx-introduccion-a-la-programacion-en-c-tipos-de-datos-y-estructuras-12156,Introducción a la programación en C: Tipos de datos y estructuras,/university/uam,Four and a half out of five stars,22 reviews,"
            3-5 hours a week, 5 weeks long
          ",edx,cs
/course/edx-fundamentos-tic-para-profesionales-de-negocios-hardware-8086,Fundamentos TIC para profesionales de negocios: Hardware,/university/upv,Four and a half out of five stars,34 reviews,"
            3-6 hours a week, 4 weeks long
          ",edx,cs
/course/edx-introduction-to-computer-science-and-programming-using-python-1341,Introduction to Computer Science and Programming Using Python,/university/mit,Four and a half out of five stars,128 reviews,"
            14-16 hours a week, 9 weeks long
          ",edx,cs
/course/edx-cs190-1x-scalable-machine-learning-2965,CS190.1x: Scalable Machine Learning,/university/berkeley,Four and a half out of five stars,31 reviews,"
            5 weeks long
          ",edx,cs
/course/edx-cs50-s-understanding-technology-10142,CS50's Understanding Technology,/university/harvard,Five out of five stars,9 reviews,"
            2-6 hours a week, 6 weeks long
          ",edx,cs
/course/gestion-de-proyectos-informaticos-27994,Introducción a la gestión de proyectos informáticos,/university/uam,Five out of five stars,7 reviews,"
            4-5 hours a week, 5 weeks long
          ",edx,cs
/course/edx-introduction-to-computing-using-python-7622,Introduction to Computing using Python,/university/gatech,Five out of five stars,5 reviews,"
            16 weeks long
          ",edx,cs
/course/edx-data-structures-an-active-learning-approach-10436,Data Structures: An Active Learning Approach,/university/ucsd,Five out of five stars,5 reviews,"
            6-7 hours a week, 10 weeks long
          ",edx,cs
/course/edx-paradigms-of-computer-programming-fundamentals-2298,Paradigms of Computer Programming – Fundamentals,/university/uclouvain,Five out of five stars,5 reviews,"
            4-6 hours a week, 6 weeks long
          ",edx,cs
/course/edx-cs50-s-computer-science-for-lawyers-16857,CS50's Computer Science for Lawyers,/university/harvard,Five out of five stars,5 reviews,"
            3-6 hours a week, 10 weeks long
          ",edx,cs
/course/edx-sparse-representations-in-image-processing-from-theory-to-practice-9135,Sparse Representations in Image Processing: From Theory to Practice,/university/technion,Five out of five stars,5 reviews,"
            5-6 hours a week, 5 weeks long
          ",edx,cs
/course/data-structures-algorithms-ii-binary-trees-heaps--23255,"Data Structures & Algorithms II: Binary Trees, Heaps, SkipLists and HashMaps",/university/gatech,Five out of five stars,5 reviews,"
            9-10 hours a week, 5 weeks long
          ",edx,cs
/course/edx-aprendizaje-automatico-machine-learning-y-ciencia-de-datos-12250,Aprendizaje automático (machine learning) y ciencia de datos,/university/upv,Four and a half out of five stars,27 reviews,"
            4-5 hours a week, 5 weeks long
          ",edx,cs
/course/edx-codificacion-de-audio-mas-alla-del-mp3-8727,Codificación de audio: Más allá del MP3,/university/upv,Five out of five stars,8 reviews,"
            4-5 hours a week, 5 weeks long
          ",edx,cs
/course/edx-network-security-7858,Network Security,/university/rit,Five out of five stars,8 reviews,"
            10-12 hours a week, 8 weeks long
          ",edx,cs
/course/edx-learning-from-data-introductory-machine-learning-1240,Learning From Data (Introductory Machine Learning),/university/caltech,Four and a half out of five stars,21 reviews,"
            10-20 hours a week, 10 weeks long
          ",edx,cs
/course/edx-cs50-s-introduction-to-artificial-intelligence-with-python-18122,CS50's Introduction to Artificial Intelligence with Python,/university/harvard,Four and a half out of five stars,11 reviews,"
            10-30 hours a week, 7 weeks long
          ",edx,cs
/course/edx-6-00x-introduction-to-computer-science-and-programming-446,6.00x: Introduction to Computer Science and Programming,/university/mit,Four and a half out of five stars,11 reviews,"
            8 weeks long
          ",edx,cs
/course/edx-cs-for-all-introduction-to-computer-science-and-python-programming-3483,CS For All: Introduction to Computer Science and Python Programming,/university/hmc,Five out of five stars,4 reviews,"
            5-7 hours a week, 14 weeks long
          ",edx,cs
/course/edx-introduccion-a-la-inteligencia-artificial-principales-algoritmos-17247,Introducción a la Inteligencia Artificial: Principales Algoritmos,/university/galileo,Four and a half out of five stars,21 reviews,"
            4-5 hours a week, 4 weeks long
          ",edx,cs
/course/edx-introduccion-a-la-programacion-en-c-instrucciones-de-control-y-ficheros-de-texto-12157,Introducción a la programación en C: Instrucciones de control y ficheros de texto,/university/uam,Four and a half out of five stars,7 reviews,"
            3-5 hours a week, 5 weeks long
          ",edx,cs
/course/introduccion-a-linux-58665,Introducción a Linux,/university/upv,Four and a half out of five stars,7 reviews,"
            5-7 hours a week, 14 weeks long
          ",edx,cs
/course/edx-modelos-predictivos-con-machine-learning-17110,Modelos predictivos con Machine Learning,/university/anahuac,Four and a half out of five stars,13 reviews,"
            6-8 hours a week, 4 weeks long
          ",edx,cs
/course/edx-aplicaciones-de-la-teoria-de-grafos-a-la-vida-real-i-3639,Aplicaciones de la Teoría de Grafos a la Vida Real (I),/university/upv,Four and a half out of five stars,16 reviews,"
            3-4 hours a week, 4 weeks long
          ",edx,cs
/course/edx-software-construction-in-java-6469,Software Construction in Java,/university/mit,Five out of five stars,5 reviews,"
            12 weeks long
          ",edx,cs
/course/introduccion-al-internet-de-las-cosas-23289,Introducción al Internet de las Cosas,/university/galileo,Five out of five stars,5 reviews,"
            4-5 hours a week, 5 weeks long
          ",edx,cs
/course/edx-advanced-machine-learning-19187,Advanced Machine Learning,/university/itmo,Four and a half out of five stars,6 reviews,"
            2-4 hours a week, 5 weeks long
          ",edx,cs
/course/edx-fundamentos-tic-para-profesionales-de-negocios-desarrollo-de-software-8495,Fundamentos TIC para profesionales de negocios: Desarrollo de Software,/university/upv,Four and a half out of five stars,26 reviews,"
            3-6 hours a week, 3 weeks long
          ",edx,cs
/course/edx-human-computer-interaction-ii-cognition-context-culture-14445,"Human-Computer Interaction II: Cognition, Context & Culture",/university/gatech,Five out of five stars,3 reviews,"
            5-6 hours a week, 6 weeks long
          ",edx,cs
/course/edx-arduino-programming-from-novice-to-ninja-11409,"Arduino Programming, from novice to ninja",/university/fr-mines-telecom,Five out of five stars,4 reviews,"
            2-3 hours a week, 4 weeks long
          ",edx,cs
/course/edx-deep-learning-21172,Deep Learning,/university/anahuac,Four and a half out of five stars,12 reviews,"
            6-8 hours a week, 4 weeks long
          ",edx,cs
/course/edx-introduction-to-networking-17999,Introduction to Networking,/university/nyu,Four and a half out of five stars,16 reviews,"
            3-5 hours a week, 7 weeks long
          ",edx,cs
/course/edx-how-to-code-complex-data-3464,How to Code: Complex Data,/university/ubc,Five out of five stars,2 reviews,"
            2-3 hours a week, 6 weeks long
          ",edx,cs
/course/edx-c-programming-pointers-and-memory-management-11533,C Programming: Pointers and Memory Management,/university/dartmouth,Five out of five stars,2 reviews,"
            2-4 hours a week, 5 weeks long
          ",edx,cs
/course/edx-c-programming-language-foundations-11535,C Programming: Language Foundations,/university/dartmouth,Five out of five stars,2 reviews,"
            2-4 hours a week, 5 weeks long
          ",edx,cs
/course/edx-linux-basics-the-command-line-interface-11537,Linux Basics: The Command Line Interface,/university/dartmouth,Five out of five stars,2 reviews,"
            3-5 hours a week, 5 weeks long
          ",edx,cs
/course/edx-c-programming-using-linux-tools-and-libraries-11538,C Programming: Using Linux Tools and Libraries,/university/dartmouth,Five out of five stars,2 reviews,"
            4-5 hours a week, 5 weeks long
          ",edx,cs
/course/edx-language-proof-and-logic-2340,"Language, Proof and Logic",/university/stanford,Five out of five stars,2 reviews,"
            5-10 hours a week, 15 weeks long
          ",edx,cs
/course/edx-introduzione-all-informatica-11403,Introduzione all'informatica,/university/university-of-naples,Five out of five stars,2 reviews,"
            4-6 hours a week, 6 weeks long
          ",edx,cs
/course/edx-algorithms-5752,Algorithms,/university/iitb,Five out of five stars,2 reviews,"
            6-8 hours a week, 6 weeks long
          ",edx,cs
/course/fundamentos-del-internet-de-las-cosas-iot-segurid-34372,Fundamentos del Internet de las cosas (IoT): Seguridad I,/university/galileo,Five out of five stars,2 reviews,"
            3-4 hours a week, 5 weeks long
          ",edx,cs
/course/harvardx-computer-science-for-game-development-18456,Computer Science for Game Development,/university/harvard,Five out of five stars,2 reviews,"
            6-13 hours a week, 24 weeks long
          ",edx,cs
/course/edx-human-computer-interaction-iv-evaluation-agile-methods-beyond-14447,"Human-Computer Interaction IV: Evaluation, Agile Methods & Beyond",/university/gatech,Five out of five stars,2 reviews,"
            5-6 hours a week, 6 weeks long
          ",edx,cs
/course/edx-so-you-want-to-become-a-biomedical-engineer-6500,So You Want to Become a Biomedical Engineer,/institution/ieee,Five out of five stars,2 reviews,"
            4 weeks long
          ",edx,cs
/course/edx-logic-and-computational-thinking-8725,Logic and Computational Thinking,/institution/microsoft,Five out of five stars,2 reviews,"
            2-3 hours a week, 4 weeks long
          ",edx,cs
/course/data-structures-algorithms-iii-avl-and-2-4-trees--23283,"Data Structures & Algorithms III: AVL and 2-4 Trees, Divide and Conquer Algorithms",/university/gatech,Four and a half out of five stars,3 reviews,"
            9-10 hours a week, 5 weeks long
          ",edx,cs
/course/edx-paradigms-of-computer-programming-abstraction-and-concurrency-2630,Paradigms of Computer Programming – Abstraction and Concurrency,/university/uclouvain,Four and a half out of five stars,5 reviews,"
            4-6 hours a week, 6 weeks long
          ",edx,cs
/course/edx-innovation-and-it-management-3594,Innovation and IT Management,/university/iimb,Four and a half out of five stars,5 reviews,"
            2-4 hours a week, 4 weeks long
          ",edx,cs
/course/edx-windows-server-2016-securing-identities-and-information-9841,Windows Server 2016: Securing Identities and Information,/institution/microsoft,Five out of five stars,1 review,"
            2-4 hours a week, 6 weeks long
          ",edx,cs
/course/edx-quantum-machine-learning-12860,Quantum Machine Learning,/university/utoronto,Five out of five stars,1 review,"
            6-8 hours a week, 9 weeks long
          ",edx,cs
/course/edx-health-informatics-a-current-and-historical-perspective-13541,Health Informatics: A Current and Historical Perspective,/university/gatech,Five out of five stars,1 review,"
            10-11 hours a week, 5 weeks long
          ",edx,cs
/course/edx-cs50-s-ap-computer-science-principles-7017,CS50's AP® Computer Science Principles,/university/harvard,Five out of five stars,1 review,"
            5-6 hours a week, 36 weeks long
          ",edx,cs
/course/edx-it-support-troubleshooting-windows-9615,IT Support: Troubleshooting Windows,/institution/microsoft,Five out of five stars,1 review,"
            2-3 hours a week, 4 weeks long
          ",edx,cs
/course/edx-algorithms-and-data-structures-in-c-9483,Algorithms and Data Structures in C#,/institution/microsoft,Five out of five stars,1 review,"
            3-5 hours a week, 3 weeks long
          ",edx,cs
/course/edx-windows-support-essentials-maintenance-9834,Windows Support Essentials: Maintenance,/institution/microsoft,Five out of five stars,1 review,"
            2-4 hours a week, 4 weeks long
          ",edx,cs
/course/edx-introduction-to-cloud-foundry-and-cloud-native-software-architecture-8387,Introduction to Cloud Foundry and Cloud Native Software Architecture,/institution/linuxfoundation,Five out of five stars,1 review,"
            3-4 hours a week, 14 weeks long
          ",edx,cs
/course/edx-introduction-to-machine-learning-19081,Introduction to Machine Learning,/university/itmo,Five out of five stars,1 review,"
            2-4 hours a week, 5 weeks long
          ",edx,cs
/course/edx-compilers-2716,Compilers,/university/stanford,Five out of five stars,1 review,"
            5-10 hours a week, 10 weeks long
          ",edx,cs
/course/edx-machine-learning-with-python-a-practical-introduction-12122,Machine Learning with Python: A Practical Introduction,/institution/ibm,Five out of five stars,1 review,"
            4-6 hours a week, 5 weeks long
          ",edx,cs
/course/edx-sparse-representations-in-signal-and-image-processing-fundamentals-9133,Sparse Representations in Signal and Image Processing: Fundamentals,/university/technion,Five out of five stars,1 review,"
            5-6 hours a week, 5 weeks long
          ",edx,cs
