Link,Title,Provider,Rating,Num_Reviewer,Workload,platform,subject
/course/edx-educacion-de-calidad-para-todos-equidad-inclusion-y-atencion-a-la-diversidad-3920,"Educación de calidad para todos: equidad, inclusión y atención a la diversidad",/university/uam,Five out of five stars,83 reviews,"
            3-5 hours a week, 6 weeks long
          ",edx,education
/course/edx-modelli-di-insegnamento-nella-ricerca-educativa-11405,Modelli di insegnamento nella ricerca educativa,/university/university-of-naples,Five out of five stars,20 reviews,"
            4-6 hours a week, 6 weeks long
          ",edx,education
/course/edx-la-proteccion-del-menor-8280,La protección del menor,/university/uam,Five out of five stars,22 reviews,"
            3-5 hours a week, 5 weeks long
          ",edx,education
/course/edx-soy-docente-que-miedo-gestiona-eficazmente-tus-emociones-13639,"Soy docente, ¡qué miedo! Gestiona eficazmente tus emociones",/university/uam,Five out of five stars,30 reviews,"
            3-4 hours a week, 4 weeks long
          ",edx,education
/course/integridad-academica-en-la-educacion-digital-70671,Integridad académica en la educación digital,/university/galileo,Five out of five stars,22 reviews,"
            3-4 hours a week, 4 weeks long
          ",edx,education
/course/edx-it-fundamentals-for-business-professionals-programming-3785,IT Fundamentals for Business Professionals: Programming,/university/upv,Five out of five stars,18 reviews,"
            3-6 hours a week, 4 weeks long
          ",edx,education
/course/edx-como-educar-teniendo-en-cuenta-la-muerte-18143,Cómo educar teniendo en cuenta la muerte,/university/uam,Five out of five stars,25 reviews,"
            2-5 hours a week, 3 weeks long
          ",edx,education
/course/edx-it-fundamentals-for-business-professionals-software-development-3788,IT Fundamentals for Business Professionals: Software development,/university/upv,Five out of five stars,20 reviews,"
            3-6 hours a week, 3 weeks long
          ",edx,education
/course/edx-introduccion-a-las-tecnologias-para-la-educacion-2956,Introducción a las tecnologías para la Educación,/university/upv,Four and a half out of five stars,61 reviews,"
            3-4 hours a week, 5 weeks long
          ",edx,education
/course/edx-ensenar-stem-mucho-que-formulas-8742,Enseñar STEM: mucho + que fórmulas,/university/javeriana,Five out of five stars,6 reviews,"
            3-4 hours a week, 4 weeks long
          ",edx,education
