Link,Title,Provider,Rating,Num_Reviewer,Workload,platform,subject
/course/edx-introduccion-a-los-encofrados-y-las-cimbras-en-obra-civil-y-edificacion-11880,Introducción a los encofrados y las cimbras en obra civil y edificación,/university/upv,Five out of five stars,62 reviews,"
            2-3 hours a week, 4 weeks long
          ",edx,engineering
/course/edx-the-art-of-structural-engineering-vaults-12040,The Art of Structural Engineering: Vaults,/university/princeton,Five out of five stars,23 reviews,"
            2-3 hours a week, 6 weeks long
          ",edx,engineering
/course/edx-introduction-to-aerospace-engineering-astronautics-and-human-spaceflight-3042,Introduction to Aerospace Engineering: Astronautics and Human Spaceflight,/university/mit,Five out of five stars,12 reviews,"
            3-4 hours a week, 8 weeks long
          ",edx,engineering
/course/el-rol-de-la-digitalizacion-en-la-transicion-ener-48104,El rol de la digitalización en la transición energética,/university/galileo,Four and a half out of five stars,80 reviews,"
            4-5 hours a week, 4 weeks long
          ",edx,engineering
/course/edx-sonido-espacial-y-3d-8068,Sonido Espacial y 3D,/university/upv,Five out of five stars,9 reviews,"
            3-4 hours a week, 6 weeks long
          ",edx,engineering
/course/edx-hydraulique-fluviale-1-ecoulements-a-surface-libre-8524,Hydraulique fluviale 1 - Écoulements à surface libre,/university/uclouvain,Five out of five stars,9 reviews,"
            4-6 hours a week, 6 weeks long
          ",edx,engineering
/course/edx-introduccion-a-la-energia-solar-fotovoltaica-el-modulo-fotovoltaico-11841,Introducción a la energía solar fotovoltaica: El módulo fotovoltaico,/university/upv,Four and a half out of five stars,76 reviews,"
            3-4 hours a week, 4 weeks long
          ",edx,engineering
/course/edx-circuits-and-electronics-1-basic-circuit-analysis-444,Circuits and Electronics 1: Basic Circuit Analysis,/university/mit,Four and a half out of five stars,57 reviews,"
            5-7 hours a week, 5 weeks long
          ",edx,engineering
/course/edx-fundamentos-de-mecanica-para-ingenieria-3064,Fundamentos de Mecánica para Ingeniería,/university/upv,Four and a half out of five stars,16 reviews,"
            3-4 hours a week, 6 weeks long
          ",edx,engineering
/course/edx-circuits-and-electronics-3-applications-4558,Circuits and Electronics 3: Applications,/university/mit,Five out of five stars,6 reviews,"
            8-10 hours a week, 7 weeks long
          ",edx,engineering
/course/edx-8-02x-electricity-and-magnetism-634,8.02x: Electricity and Magnetism,/university/mit,Five out of five stars,6 reviews,"
            17 weeks long
          ",edx,engineering
