Link,Title,Provider,Rating,Num_Reviewer,Workload,platform,subject
/course/edx-viruses-how-to-beat-them-cells-immunity-vaccines-9364,"Viruses & How to Beat Them: Cells, Immunity, Vaccines",/university/telaviv,Five out of five stars,28 reviews,"
            2-3 hours a week, 7 weeks long
          ",edx,health
/course/edx-bioseguridad-y-equipo-de-proteccion-para-la-prevencion-de-covid-19-20375,Bioseguridad y equipo de protección para la prevención de COVID-19,/university/galileo,Five out of five stars,102 reviews,"
            4-5 hours a week, 4 weeks long
          ",edx,health
/course/edx-introduccion-a-la-regulacion-emocional-basada-en-mindfulness-13432,Introducción a la Regulación Emocional basada en Mindfulness,/university/uam,Five out of five stars,94 reviews,"
            3-5 hours a week, 5 weeks long
          ",edx,health
/course/edx-nutrition-exercise-and-sports-14381,"Nutrition, Exercise and Sports",/university/wageningenur,Four and a half out of five stars,1071 reviews,"
            4-8 hours a week, 6 weeks long
          ",edx,health
/course/edx-riesgo-biologico-y-bioseguridad-en-el-entorno-laboral-20325,Riesgo biológico y bioseguridad en el entorno laboral,/university/galileo,Five out of five stars,68 reviews,"
            4-5 hours a week, 4 weeks long
          ",edx,health
/course/edx-nutrition-heart-disease-and-diabetes-11592,"Nutrition, Heart Disease and Diabetes",/university/wageningenur,Four and a half out of five stars,387 reviews,"
            6-8 hours a week, 5 weeks long
          ",edx,health
/course/edx-nutrition-and-health-micronutrients-and-malnutrition-3643,Nutrition and Health: Micronutrients and Malnutrition,/university/wageningenur,Four and a half out of five stars,194 reviews,"
            6-8 hours a week, 7 weeks long
          ",edx,health
/course/edx-nutrition-and-health-macronutrients-and-overnutrition-2154,Nutrition and Health: Macronutrients and Overnutrition,/university/wageningenur,Four and a half out of five stars,312 reviews,"
            6-8 hours a week, 9 weeks long
          ",edx,health
/course/edx-mechanical-ventilation-for-covid-19-19347,Mechanical Ventilation for COVID-19,/university/harvard,Five out of five stars,25 reviews,"
            2-5 hours a week, 1 week long
          ",edx,health
/course/edx-crisis-resource-management-21613,Crisis Resource Management,/university/columbia,Five out of five stars,24 reviews,"
            3-6 hours a week, 12 weeks long
          ",edx,health
