Link,Title,Provider,Rating,Num_Reviewer,Workload,platform,subject
/course/edx-hope-human-odyssey-to-political-existentialism-11584,HOPE: Human Odyssey to Political Existentialism,/university/princeton,Five out of five stars,269 reviews,"
            3-5 hours a week, 10 weeks long
          ",edx,humanities
/course/edx-arab-islamic-history-from-tribes-to-empires-9365,Arab-Islamic History: From Tribes to Empires,/university/telaviv,Five out of five stars,23 reviews,"
            3-4 hours a week, 8 weeks long
          ",edx,humanities
/course/edx-tsinghua-chinese-start-talking-with-1-3-billion-people-5426,Tsinghua Chinese: Start Talking with 1.3 Billion People,/university/tsinghua,Five out of five stars,92 reviews,"
            2-3 hours a week, 6 weeks long
          ",edx,humanities
/course/edx-basic-spanish-3-getting-there-17850,Basic Spanish 3: Getting there,/university/upv,Five out of five stars,114 reviews,"
            3-4 hours a week, 4 weeks long
          ",edx,humanities
/course/edx-success-practical-thinking-skills-8617,Success: Practical Thinking Skills,/university/hkpolyu,Five out of five stars,61 reviews,"
            4-6 hours a week, 4 weeks long
          ",edx,humanities
/course/edx-basic-spanish-2-one-step-further-8672,Basic Spanish 2: One Step Further,/university/upv,Five out of five stars,60 reviews,"
            4-5 hours a week, 4 weeks long
          ",edx,humanities
/course/edx-academic-writing-made-easy-13157,Academic Writing Made Easy,/university/tum,Five out of five stars,42 reviews,"
            2-3 hours a week, 8 weeks long
          ",edx,humanities
/course/edx-comprendere-la-filosofia-9240,Comprendere la filosofia,/university/university-of-naples,Five out of five stars,23 reviews,"
            6-8 hours a week, 10 weeks long
          ",edx,humanities
/course/edx-shakespeare-matters-8731,Shakespeare Matters,/university/adelaide,Five out of five stars,49 reviews,"
            3-5 hours a week, 5 weeks long
          ",edx,humanities
/course/edx-dante-tra-poesia-e-scienza-9242,Dante tra poesia e scienza,/university/university-of-naples,Five out of five stars,16 reviews,"
            8-10 hours a week, 9 weeks long
          ",edx,humanities
/course/edx-la-espana-del-quijote-2686,La España del Quijote,/university/uam,Five out of five stars,19 reviews,"
            3-5 hours a week, 10 weeks long
          ",edx,humanities
/course/edx-upper-intermediate-english-business-and-technology-11803,Upper-Intermediate English: Business and Technology,/university/upv,Four and a half out of five stars,38 reviews,"
            3-5 hours a week, 4 weeks long
          ",edx,humanities
/course/edx-perdon-y-reconciliacion-como-sanar-heridas-11475,Perdón y reconciliación: cómo sanar heridas,/university/javeriana,Five out of five stars,23 reviews,"
            5-6 hours a week, 7 weeks long
          ",edx,humanities
/course/edx-l-italiano-nel-mondo-9241,L'Italiano nel mondo,/university/university-of-naples,Five out of five stars,23 reviews,"
            6-8 hours a week, 10 weeks long
          ",edx,humanities
/course/edx-theo-humanism-god-s-ways-in-today-s-world-21063,Theo-Humanism: God's Ways in Today's World,/university/georgetown,Five out of five stars,10 reviews,"
            3-5 hours a week, 12 weeks long
          ",edx,humanities
/course/edx-introduction-to-philosophy-god-knowledge-and-consciousness-926,"Introduction to Philosophy: God, Knowledge and Consciousness",/university/mit,Five out of five stars,10 reviews,"
            5-6 hours a week, 12 weeks long
          ",edx,humanities
/course/edx-la-costruzione-dell-italia-9245,La costruzione dell'Italia,/university/university-of-naples,Five out of five stars,17 reviews,"
            6-8 hours a week, 8 weeks long
          ",edx,humanities
/course/edx-science-cooking-from-haute-cuisine-to-soft-matter-science-chemistry-811,Science & Cooking: From Haute Cuisine to Soft Matter Science (chemistry),/university/harvard,Five out of five stars,14 reviews,"
            2-3 hours a week, 16 weeks long
          ",edx,humanities
