Link,Title,Provider,Rating,Num_Reviewer,Workload,platform,subject
/course/edx-bases-matematicas-numeros-y-terminologia-2955,Bases Matemáticas: Números y terminología,/university/upv,Five out of five stars,95 reviews,"
            3-4 hours a week, 4 weeks long
          ",edx,maths
/course/edx-bases-matematicas-derivadas-2969,Bases Matemáticas: Derivadas,/university/upv,Five out of five stars,33 reviews,"
            3-4 hours a week, 5 weeks long
          ",edx,maths
/course/edx-probability-the-science-of-uncertainty-and-data-1496,Probability - The Science of Uncertainty and Data,/university/mit,Five out of five stars,34 reviews,"
            10-14 hours a week, 16 weeks long
          ",edx,maths
/course/edx-introduccion-a-las-ecuaciones-diferenciales-11997,Introducción a las ecuaciones diferenciales,/university/galileo,Five out of five stars,13 reviews,"
            4-6 hours a week, 7 weeks long
          ",edx,maths
/course/mathematical-and-computational-methods-27989,Mathematical and Computational Methods,/university/georgetown,Five out of five stars,26 reviews,"
            7-10 hours a week, 18 weeks long
          ",edx,maths
/course/edx-introduction-to-algebra-2526,Introduction to Algebra,/institution/schoolyourself,Five out of five stars,19 reviews,"
            4-6 hours a week, 4 weeks long
          ",edx,maths
/course/edx-introduction-to-differential-equations-2636,Introduction to Differential Equations,/university/bu,Five out of five stars,13 reviews,"
            8-10 hours a week, 9 weeks long
          ",edx,maths
/course/edx-bases-matematicas-algebra-2968,Bases Matemáticas: Álgebra,/university/upv,Four and a half out of five stars,49 reviews,"
            3-4 hours a week, 4 weeks long
          ",edx,maths
/course/edx-calculo-diferencial-4938,Cálculo Diferencial,/university/galileo,Four and a half out of five stars,15 reviews,"
            5-6 hours a week, 8 weeks long
          ",edx,maths
/course/edx-queuing-theory-from-markov-chains-to-multi-server-systems-10079,Queuing Theory: from Markov Chains to Multi-Server Systems,/university/fr-mines-telecom,Five out of five stars,13 reviews,"
            3-4 hours a week, 5 weeks long
          ",edx,maths
/course/edx-introduction-to-differential-equations-8005,Introduction to Differential Equations,/university/mit,Five out of five stars,7 reviews,"
            3-6 hours a week, 14 weeks long
          ",edx,maths
/course/edx-calculus-1a-differentiation-2647,Calculus 1A: Differentiation,/university/mit,Five out of five stars,7 reviews,"
            6-10 hours a week, 13 weeks long
          ",edx,maths
/course/edx-introduction-to-statistics-descriptive-statistics-614,Introduction to Statistics: Descriptive Statistics,/university/berkeley,Five out of five stars,10 reviews,"
            4 weeks long
          ",edx,maths
/course/edx-convex-optimization-1577,Convex Optimization,/university/stanford,Five out of five stars,8 reviews,"
            10-15 hours a week, 8 weeks long
          ",edx,maths
/course/edx-introduction-to-probability-part-1-the-fundamentals-8968,Introduction to Probability: Part 1 - The Fundamentals,/university/mit,Five out of five stars,5 reviews,"
            16 weeks long
          ",edx,maths
/course/edx-metodos-numericos-para-matematicas-con-octave-13855,Métodos numéricos para matemáticas con Octave,/university/upv,Five out of five stars,5 reviews,"
            4-5 hours a week, 5 weeks long
          ",edx,maths
/course/edx-differential-equations-2x2-systems-9098,Differential Equations: 2x2 Systems,/university/mit,Five out of five stars,5 reviews,"
            2-5 hours a week, 10 weeks long
          ",edx,maths
/course/edx-introduction-to-geometry-2527,Introduction to Geometry,/institution/schoolyourself,Five out of five stars,8 reviews,"
            4-6 hours a week, 14 weeks long
          ",edx,maths
/course/edx-estadistica-aplicada-a-los-negocios-10270,Estadística Aplicada a los Negocios,/university/galileo,Four and a half out of five stars,133 reviews,"
            5-6 hours a week, 5 weeks long
          ",edx,maths
/course/edx-effective-thinking-through-mathematics-1335,Effective Thinking Through Mathematics,/university/utexas,Four and a half out of five stars,14 reviews,"
            2-5 hours a week, 4 weeks long
          ",edx,maths
/course/edx-complex-analysis-21574,Complex Analysis,/university/misis,Five out of five stars,4 reviews,"
            6-12 hours a week, 7 weeks long
          ",edx,maths
/course/edx-statistics-for-business-i-3640,Statistics for Business – I,/university/iimb,Five out of five stars,5 reviews,"
            2-4 hours a week, 5 weeks long
          ",edx,maths
