Link,Title,Provider,Rating,Num_Reviewer,Workload,platform,subject
/course/edx-computing-in-python-iv-objects-algorithms-11472,Computing in Python IV: Objects & Algorithms,/university/gatech,Five out of five stars,93 reviews,"
            9-10 hours a week, 5 weeks long
          ",edx,programming-and-software-development
/course/edx-computing-in-python-ii-control-structures-11470,Computing in Python II: Control Structures,/university/gatech,Five out of five stars,53 reviews,"
            9-10 hours a week, 5 weeks long
          ",edx,programming-and-software-development
/course/edx-computing-in-python-i-fundamentals-and-procedural-programming-11469,Computing in Python I: Fundamentals and Procedural Programming,/university/gatech,Five out of five stars,227 reviews,"
            9-10 hours a week, 5 weeks long
          ",edx,programming-and-software-development
/course/edx-introduccion-al-desarrollo-de-videojuegos-con-unity-5345,Introducción al desarrollo de videojuegos con Unity,/university/upv,Five out of five stars,39 reviews,"
            3-4 hours a week, 6 weeks long
          ",edx,programming-and-software-development
/course/edx-computing-in-python-iii-data-structures-11471,Computing in Python III: Data Structures,/university/gatech,Five out of five stars,44 reviews,"
            9-10 hours a week, 5 weeks long
          ",edx,programming-and-software-development
/course/edx-introduction-to-video-game-development-with-unity-18138,Introduction to video game development with Unity,/university/upv,Four and a half out of five stars,46 reviews,"
            3-4 hours a week, 6 weeks long
          ",edx,programming-and-software-development
/course/edx-data-science-and-agile-systems-for-product-management-19101,Data Science and Agile Systems for Product Management,/university/usmd,Four and a half out of five stars,60 reviews,"
            2-3 hours a week, 4 weeks long
          ",edx,programming-and-software-development
/course/edx-introduccion-a-la-ingenieria-del-software-13805,Introducción a la Ingeniería del Software,/university/uam,Four and a half out of five stars,33 reviews,"
            4-5 hours a week, 5 weeks long
          ",edx,programming-and-software-development
/course/matlab-Essentials-58700,MATLAB Essentials,/institution/mathworks,Five out of five stars,8 reviews,"
            4-7 hours a week, 4 weeks long
          ",edx,programming-and-software-development
/course/edx-cs50-s-web-programming-with-python-and-javascript-11506,CS50's Web Programming with Python and JavaScript,/university/harvard,Four and a half out of five stars,21 reviews,"
            6-9 hours a week, 12 weeks long
          ",edx,programming-and-software-development
/course/gtx-introduction-to-object-oriented-programming-w-23754,Introduction to Object-Oriented Programming with Java,/university/gatech,Five out of five stars,6 reviews,"
            5-6 hours a week, 18 weeks long
          ",edx,programming-and-software-development
/course/edx-the-computing-technology-inside-your-smartphone-2809,The Computing Technology Inside Your Smartphone,/university/cornell,Five out of five stars,5 reviews,"
            10 weeks long
          ",edx,programming-and-software-development
/course/edx-databases-introduction-to-relational-databases-1006,Databases: Introduction to Relational Databases,/university/stanford,Four and a half out of five stars,15 reviews,"
            5-10 hours a week, 1 week long
          ",edx,programming-and-software-development
/course/edx-diagramas-uml-estructurales-para-la-ingenieria-del-software-14426,Diagramas UML estructurales para la Ingeniería del Software,/university/upv,Four and a half out of five stars,17 reviews,"
            3-4 hours a week, 5 weeks long
          ",edx,programming-and-software-development
/course/edx-python-data-structures-13097,Python Data Structures,/university/umich,Four and a half out of five stars,7 reviews,"
            2-4 hours a week, 7 weeks long
          ",edx,programming-and-software-development
/course/edx-machine-dynamics-with-matlab-12435,Machine Dynamics with MATLAB,/university/aachen,Four and a half out of five stars,6 reviews,"
            8-10 hours a week, 7 weeks long
          ",edx,programming-and-software-development
/course/umd-usmx-agile-project-management-18390,Agile Project Management,/university/usmd,Four and a half out of five stars,6 reviews,"
            2-3 hours a week, 20 weeks long
          ",edx,programming-and-software-development
/course/edx-introduccion-a-r-20036,Introducción a R,/university/anahuac,Five out of five stars,3 reviews,"
            5-8 hours a week, 4 weeks long
          ",edx,programming-and-software-development
/course/programacion-concurrente-46422,Programación Concurrente,/university/galileo,Five out of five stars,4 reviews,"
            5-6 hours a week, 4 weeks long
          ",edx,programming-and-software-development
/course/edx-programming-in-scratch-2954,Programming in Scratch,/university/hmc,Four and a half out of five stars,5 reviews,"
            6 weeks long
          ",edx,programming-and-software-development
/course/edx-learn-to-program-in-java-8718,Learn to Program in Java,/institution/microsoft,Four and a half out of five stars,5 reviews,"
            6-10 hours a week, 4 weeks long
          ",edx,programming-and-software-development
/course/edx-programming-for-the-web-with-javascript-8518,Programming for the Web with JavaScript,/university/penn,Four and a half out of five stars,5 reviews,"
            6-8 hours a week, 4 weeks long
          ",edx,programming-and-software-development
/course/introduccion-a-sql-y-bases-de-datos-relacionales-60135,Introducción a SQL y bases de datos relacionales,/university/upv,Four and a half out of five stars,5 reviews,"
            4-5 hours a week, 5 weeks long
          ",edx,programming-and-software-development
/course/edx-introduction-to-database-queries-20797,Introduction to Database Queries,/university/nyu,Five out of five stars,2 reviews,"
            6-8 hours a week, 5 weeks long
          ",edx,programming-and-software-development
/course/edx-android-introduccion-a-la-programacion-2964,Android: Introducción a la Programación,/university/upv,Four out of five stars,33 reviews,"
            4-5 hours a week, 10 weeks long
          ",edx,programming-and-software-development
/course/edx-introduction-to-mongodb-using-the-mean-stack-4949,Introduction to MongoDB using the MEAN Stack,/institution/mongodb,Four and a half out of five stars,3 reviews,"
            4 weeks long
          ",edx,programming-and-software-development
/course/edx-html5-coding-essentials-and-best-practices-3444,HTML5 Coding Essentials and Best Practices,/institution/w3c,Four and a half out of five stars,11 reviews,"
            6-8 hours a week, 6 weeks long
          ",edx,programming-and-software-development
/course/edx-introduction-to-jquery-4062,Introduction to jQuery,/institution/microsoft,Four and a half out of five stars,6 reviews,"
            3-4 hours a week, 3 weeks long
          ",edx,programming-and-software-development
/course/edx-introduction-to-java-programming-starting-to-code-in-java-2813,Introduction to Java Programming: Starting to code in Java,/university/uc3m,Four and a half out of five stars,7 reviews,"
            7-10 hours a week, 5 weeks long
          ",edx,programming-and-software-development
/course/edx-desarrollo-de-aplicaciones-profesionales-para-android-4939,Desarrollo de aplicaciones profesionales para Android,/university/galileo,Five out of five stars,1 review,"
            5-6 hours a week, 6 weeks long
          ",edx,programming-and-software-development
/course/edx-introduction-to-programming-using-python-10134,Introduction to Programming Using Python,/university/uta,Five out of five stars,1 review,"
            6-15 hours a week, 16 weeks long
          ",edx,programming-and-software-development
/course/edx-asynchronous-programming-with-javascript-8002,Asynchronous Programming with Javascript,/institution/microsoft,Five out of five stars,1 review,"
            3-4 hours a week, 4 weeks long
          ",edx,programming-and-software-development
/course/edx-advanced-database-queries-20798,Advanced Database Queries,/university/nyu,Five out of five stars,1 review,"
            6-8 hours a week, 5 weeks long
          ",edx,programming-and-software-development
/course/edx-advanced-database-administration-20799,Advanced Database Administration,/university/nyu,Five out of five stars,1 review,"
            6-8 hours a week, 5 weeks long
          ",edx,programming-and-software-development
/course/edx-data-storage-and-processing-19068,Data Storage and Processing,/university/itmo,Five out of five stars,1 review,"
            2-4 hours a week, 5 weeks long
          ",edx,programming-and-software-development
/course/edx-diseno-de-sistemas-de-informacion-gerencial-para-internet-con-mysql-php-y-joomla-11425,Diseño de Sistemas de información gerencial para Internet con MySQL / PHP y Joomla,/university/rosario,Five out of five stars,1 review,"
            6-10 hours a week, 4 weeks long
          ",edx,programming-and-software-development
