Link,Title,Provider,Rating,Num_Reviewer,Workload,platform,subject
/course/edx-medical-parasitology-19192,Medical Parasitology | 医学寄生虫学,/university/tsinghua,Five out of five stars,188 reviews,"
            1-2 hours a week, 12 weeks long
          ",edx,science
/course/edx-quantum-mechanics-for-everyone-8284,Quantum Mechanics for Everyone,/university/georgetown,Five out of five stars,112 reviews,"
            7-10 hours a week, 6 weeks long
          ",edx,science
/course/edx-introduction-to-biology-the-secret-of-life-637,Introduction to Biology - The Secret of Life,/university/mit,Five out of five stars,128 reviews,"
            5-10 hours a week, 16 weeks long
          ",edx,science
/course/edx-sheep-in-the-land-of-fire-and-ice-13245,Sheep in the Land of Fire and Ice,/university/iceland,Five out of five stars,55 reviews,"
            1-2 hours a week, 3 weeks long
          ",edx,science
/course/edx-molecular-biology-part-1-dna-replication-and-repair-2907,Molecular Biology - Part 1: DNA Replication and Repair,/university/mit,Five out of five stars,97 reviews,"
            4-6 hours a week, 9 weeks long
          ",edx,science
/course/edx-ingenieria-de-aeropuertos-diseno-del-lado-aire-segun-oaci-icao-17181,Ingeniería de aeropuertos: diseño del lado aire según OACI (ICAO),/university/upv,Five out of five stars,39 reviews,"
            4-5 hours a week, 7 weeks long
          ",edx,science
/course/edx-zoologia-11407,Zoologia,/university/university-of-naples,Five out of five stars,18 reviews,"
            4-6 hours a week, 5 weeks long
          ",edx,science
/course/edx-introduction-to-animal-behaviour-6033,Introduction to Animal Behaviour,/university/wageningenur,Four and a half out of five stars,89 reviews,"
            4-6 hours a week, 6 weeks long
          ",edx,science
/course/the-industry-and-profession-in-construction-manag-46426,The Industry and Profession in Construction Management,/university/usmd,Five out of five stars,27 reviews,"
            2-3 hours a week, 4 weeks long
          ",edx,science
/course/edx-monitoring-volcanoes-and-magma-movements-13227,Monitoring Volcanoes and Magma Movements,/university/iceland,Five out of five stars,20 reviews,"
            3-5 hours a week, 8 weeks long
          ",edx,science
/course/edx-the-science-of-everyday-thinking-1332,The Science of Everyday Thinking,/university/uq,Four and a half out of five stars,47 reviews,"
            2-3 hours a week, 12 weeks long
          ",edx,science
/course/edx-quantum-mechanics-1d-scattering-and-central-potentials-8769,Quantum Mechanics: 1D Scattering and Central Potentials,/university/mit,Five out of five stars,11 reviews,"
            12-14 hours a week, 7 weeks long
          ",edx,science
/course/edx-molecular-biology-part-2-transcription-and-transposition-4072,Molecular Biology - Part 2: Transcription and Transposition,/university/mit,Four and a half out of five stars,34 reviews,"
            4-8 hours a week, 7 weeks long
          ",edx,science
/course/edx-introduccion-a-la-genetica-y-la-evolucion-8591,Introducción a la genética y la evolución,/university/uam,Four and a half out of five stars,46 reviews,"
            2-3 hours a week, 3 weeks long
          ",edx,science
