Link,Title,Provider,Rating,Num_Reviewer,Workload,platform,subject
/course/edx-hope-human-odyssey-to-political-existentialism-11584,HOPE: Human Odyssey to Political Existentialism,/university/princeton,Five out of five stars,269 reviews,"
            3-5 hours a week, 10 weeks long
          ",edx,social-sciences
/course/edx-justice-610,Justice,/university/harvard,Five out of five stars,52 reviews,"
            3-6 hours a week, 12 weeks long
          ",edx,social-sciences
/course/edx-constitutional-interpretation-13427,Constitutional Interpretation,/university/princeton,Five out of five stars,25 reviews,"
            2-5 hours a week, 7 weeks long
          ",edx,social-sciences
/course/edx-introduccion-a-la-teoria-politica-conceptos-y-grandes-pensadores-11433,Introducción a la teoría política: conceptos y grandes pensadores,/university/university-of-naples,Five out of five stars,16 reviews,"
            4-6 hours a week, 7 weeks long
          ",edx,social-sciences
/course/communicating-science-a-springboard-for-action-22650,Strategic Communication for Sustainability Leaders,/university/usmd,Four and a half out of five stars,46 reviews,"
            5-8 hours a week, 5 weeks long
          ",edx,social-sciences
/course/edx-gender-and-sexuality-applications-in-society-12333,Gender and Sexuality: Applications in Society,/university/ubc,Four and a half out of five stars,87 reviews,"
            2-4 hours a week, 6 weeks long
          ",edx,social-sciences
/course/edx-doing-gender-and-why-it-matters-13325,Doing Gender and Why it Matters,/university/hku,Five out of five stars,11 reviews,"
            1-2 hours a week, 6 weeks long
          ",edx,social-sciences
/course/edx-ap-microeconomics-8630,AP® Microeconomics,/university/mit,Four and a half out of five stars,36 reviews,"
            3-4 hours a week, 12 weeks long
          ",edx,social-sciences
/course/edx-the-psychology-of-criminal-justice-2021,The Psychology of Criminal Justice,/university/uq,Five out of five stars,16 reviews,"
            1-2 hours a week, 8 weeks long
          ",edx,social-sciences
/course/edx-psicologia-dell-apprendimento-9247,Psicologia dell'apprendimento,/university/university-of-naples,Five out of five stars,9 reviews,"
            6-8 hours a week, 8 weeks long
          ",edx,social-sciences
/course/edx-introduction-to-human-evolution-927,Introduction to Human Evolution,/university/wellesley,Five out of five stars,8 reviews,"
            4-6 hours a week, 4 weeks long
          ",edx,social-sciences
