Link,Title,Provider,Rating,Num_Reviewer,Workload,platform,subject
/course/songwriting-3369,How to Write Your First Song,/university/shef,Five out of five stars,165 reviews,"
            3 hours a week, 6 weeks long
          ",futurelearn,art-and-design
/course/fashion-innovation-5004,Innovation: the Fashion Industry,/university/leeds,Four and a half out of five stars,41 reviews,"
            2 hours a week, 2 weeks long
          ",futurelearn,art-and-design
/course/screenwriting-4550,An Introduction to Screenwriting,/university/uea,Five out of five stars,5 reviews,"
            3 hours a week, 2 weeks long
          ",futurelearn,art-and-design
/course/physical-theatre-exploring-the-slap-6096,Physical Theatre: Exploring the Slap,/university/leeds,Four and a half out of five stars,26 reviews,"
            2 hours a week, 2 weeks long
          ",futurelearn,art-and-design
/course/musical-scores-3616,From Notation to Performance: Understanding Musical Scores,/university/tou,Four and a half out of five stars,64 ratings at FutureLearn,"
            3 hours a week, 4 weeks long
          ",futurelearn,art-and-design
/course/futurelearn-how-to-build-a-sustainable-fashion-business-4551,How to Build a Sustainable Fashion Business,/university/birmingham,Five out of five stars,3 reviews,"
            3 hours a week, 5 weeks long
          ",futurelearn,art-and-design
/course/much-ado-about-nothing-3005,Much Ado about Nothing: in Performance,/university/goldsmiths-london,Five out of five stars,4 reviews,"
            3 hours a week, 4 weeks long
          ",futurelearn,art-and-design
/course/jazz-piano-improvisation-10552,Learn Jazz Piano: Improvising on Jazz Standards,/university/london-college-fashion,Four and a half out of five stars,9 ratings at FutureLearn,"
            3 hours a week, 6 weeks long
          ",futurelearn,art-and-design
/course/fashion-and-sustainability-10598,Fashion and Sustainability: Understanding Luxury Fashion in a Changing World,/university/norwich-university-of-the-arts,Five out of five stars,324 ratings at FutureLearn,"
            3 hours a week, 6 weeks long
          ",futurelearn,art-and-design
/course/futurelearn-visual-effects-for-guerrilla-filmmakers-4967,Visual Effects for Guerrilla Filmmakers,/university/edinburgh,Five out of five stars,2 reviews,"
            3 hours a week, 4 weeks long
          ",futurelearn,art-and-design
/course/futurelearn-stereoscopy-an-introduction-to-victorian-stereo-photography-6502,Stereoscopy: An Introduction to Victorian Stereo Photography,/university/glasgow,Five out of five stars,2 reviews,"
            3 hours a week, 2 weeks long
          ",futurelearn,art-and-design
/course/royal-fashion-10567,A History of Royal Fashion,/university/nfts,Five out of five stars,697 ratings at FutureLearn,"
            4 hours a week, 5 weeks long
          ",futurelearn,art-and-design
/course/explore-filmmaking-3001,Explore Filmmaking: from Script to Screen,/university/leicester,Four out of five stars,12 reviews,"
            3 hours a week, 6 weeks long
          ",futurelearn,art-and-design
/course/museum-3371,Behind the Scenes at the 21st Century Museum,/university/goldsmiths-london,Four and a half out of five stars,6 reviews,"
            2 hours a week, 6 weeks long
          ",futurelearn,art-and-design
/course/jazz-piano-8923,Learn Jazz Piano: Begin with the Blues,/university/sgul,Five out of five stars,32 ratings at FutureLearn,"
            4 hours a week, 2 weeks long
          ",futurelearn,art-and-design
/course/design-thinking-in-health-and-social-care-13769,Creative Problem Solving: Design Thinking in Health and Social Care,/institution/dandad,Four out of five stars,1 rating at FutureLearn,"
            3 hours a week, 3 weeks long
          ",futurelearn,art-and-design
/course/creative-empathy-41003,How to Enhance Your Creative Empathy,/institution/aftrs,Five out of five stars,175 ratings at FutureLearn,"
            2 hours a week, 3 weeks long
          ",futurelearn,art-and-design
/course/production-design-19782,Introduction to Production Design for Film and Screen,/institution/film-distributors,Four and a half out of five stars,88 ratings at FutureLearn,"
            3 hours a week, 4 weeks long
          ",futurelearn,art-and-design
/course/film-distribution-10566,Film Distribution: Connecting Films with Audiences,/university/kcl,Five out of five stars,1 review,"
            2 hours a week, 4 weeks long
          ",futurelearn,art-and-design
/course/inside-opera-8797,Inside Opera: Why Does It Matter?,/university/wollongong,Five out of five stars,1 review,"
            2 hours a week, 4 weeks long
          ",futurelearn,art-and-design
/course/bioprinting-4089,Bioprinting: 3D Printing Body Parts,/university/wollongong,Five out of five stars,1 review,"
            3 hours a week, 2 weeks long
          ",futurelearn,art-and-design
/course/podcasting-11805,The Power of Podcasting for Storytelling,/university/malaya,Four and a half out of five stars,40 ratings at FutureLearn,"
            2 hours a week, 3 weeks long
          ",futurelearn,art-and-design
/course/islamic-calligraphy-8714,Islamic Calligraphy: An Introduction to the Art of Handwriting,/university/klc-school-of-design,Four and a half out of five stars,3 reviews,"
            3 hours a week, 4 weeks long
          ",futurelearn,art-and-design
