Link,Title,Provider,Rating,Num_Reviewer,Workload,platform,subject
/course/media-data-4925,Making Sense of Data in the Media,/university/shef,Four and a half out of five stars,35 reviews,"
            3 hours a week, 3 weeks long
          ",futurelearn,data-science
/course/applied-data-analysis-for-modern-organizations-80440,Successful Data Analysis for Modern Industries,/institution/cloudswyft,Five out of five stars,1 review,"
            5 hours a week, 2 weeks long
          ",futurelearn,data-science
/course/data-science-8118,Introduction to R for Data Science,/university/purdue,Five out of five stars,1 review,"
            4 hours a week, 4 weeks long
          ",futurelearn,data-science
/course/data-analytics-using-excel-19734,Data Analytics for Decision Making: An Introduction to Using Excel,/university/bond,Five out of five stars,667 ratings at FutureLearn,"
            3 hours a week, 2 weeks long
          ",futurelearn,data-science
/course/linux-for-bioinformatics-31721,"Bioinformatics for Biologists: An Introduction to Linux, Bash Scripting, and R",/institution/wellcome-genome,Five out of five stars,198 ratings at FutureLearn,"
            5 hours a week, 3 weeks long
          ",futurelearn,data-science
/course/data-mining-with-weka-7805,Data Mining with Weka,/university/waikato,Five out of five stars,73 ratings at FutureLearn,"
            3 hours a week, 5 weeks long
          ",futurelearn,data-science
/course/big-data-3295,Big Data: Measuring And Predicting Human Behaviour,/university/warwick,Four out of five stars,6 reviews,"
            4 hours a week, 9 weeks long
          ",futurelearn,data-science
/course/process-mining-5419,Introduction to Process Mining with ProM,/university/tue,Four and a half out of five stars,6 ratings at FutureLearn,"
            3 hours a week, 4 weeks long
          ",futurelearn,data-science
/course/big-data-machine-learning-5421,Big Data: Statistical Inference and Machine Learning,/university/qut,Four out of five stars,3 reviews,"
            2 hours a week, 2 weeks long
          ",futurelearn,data-science
/course/big-data-mathematical-modelling-5422,Big Data: Mathematical Modelling,/university/qut,Four out of five stars,1 review,"
            2 hours a week, 2 weeks long
          ",futurelearn,data-science
/course/big-data-visualisation-5423,Big Data: Data Visualisation,/university/qut,Four out of five stars,1 review,"
            2 hours a week, 2 weeks long
          ",futurelearn,data-science
/course/social-media-analytics-6135,Social Media Analytics: Using Data to Understand Public Conversations,/university/qut,Five out of five stars,1 rating at FutureLearn,"
            3 hours a week, 3 weeks long
          ",futurelearn,data-science
/course/data-to-insight-2129,Data to Insight: An Introduction to Data Analysis and Visualisation,/university/auckland,Four out of five stars,3 reviews,"
            8 weeks long
          ",futurelearn,data-science
/course/futurelearn-learn-to-code-for-data-analysis-3997,Learn to Code for Data Analysis,/university/tou,Three and a half out of five stars,4 reviews,"
            3 hours a week, 4 weeks long
          ",futurelearn,data-science
/course/data-science-artificial-intelligence-21121,Get ready for a Masters in Data Science and AI,/university/coventry,Four and a half out of five stars,38 ratings at FutureLearn,"
            6 hours a week, 2 weeks long
          ",futurelearn,data-science
/course/gaming-big-data-11192,Data Science in the Games Industry,/university/dundee,Four and a half out of five stars,7 ratings at FutureLearn,"
            3 hours a week, 3 weeks long
          ",futurelearn,data-science
/course/business-data-analytics-tableau-20618,Data Analytics for Business with Tableau,/university/coventry,Zero out of five stars,1 rating at FutureLearn,"
            12 hours a week, 12 weeks long
          ",futurelearn,data-science
/course/data-driven-decision-making-20632,Data Science: Data-Driven Decision Making,/university/monash,Zero out of five stars,1 rating at FutureLearn,"
            12 weeks long
          ",futurelearn,data-science
/course/cloudswyft-msft-azure-cloud-fundamentals-data-sci-25424,Azure Cloud Fundamentals for Data Science with Python,/institution/cloudswyft,Four out of five stars,1 rating at FutureLearn,"
            6 hours a week, 2 weeks long
          ",futurelearn,data-science
/course/cloudswyft-introduction-to-data-science-et-25428,Introduction to Data Science with Microsoft Azure,/institution/cloudswyft,Zero out of five stars,1 rating at FutureLearn,"
            5 hours a week, 2 weeks long
          ",futurelearn,data-science
/course/ethics-and-law-in-data-and-analytics-et-25430,Microsoft Future Ready: Ethics and Laws in Data and Analytics,/institution/cloudswyft,Zero out of five stars,2 ratings at FutureLearn,"
            5 hours a week, 3 weeks long
          ",futurelearn,data-science
/course/essential-mathematics-for-mla-et-25431,Mathematics for Data Science: Essential Mathematics for Machine Learning and AI,/institution/cloudswyft,Three out of five stars,1 rating at FutureLearn,"
            5 hours a week, 3 weeks long
          ",futurelearn,data-science
/course/designing-and-implementing-data-science-solution--25432,Microsoft Future Ready: Designing and Implementing a Data Science Solution on Azure,/institution/cloudswyft,Four out of five stars,2 ratings at FutureLearn,"
            6 hours a week, 4 weeks long
          ",futurelearn,data-science
/course/cloudswyft-msft-azure-cloud-fundamentals-et2-25438,Microsoft Future Ready: Azure Cloud Fundamentals,/institution/cloudswyft,Zero out of five stars,1 rating at FutureLearn,"
            6 hours a week, 2 weeks long
          ",futurelearn,data-science
/course/designing-and-implementing-data-science-solution--25441,Microsoft Future Ready: Designing and Implementing a Data Science Solution on Azure,/institution/cloudswyft,Five out of five stars,1 rating at FutureLearn,"
            5 hours a week, 2 weeks long
          ",futurelearn,data-science
/course/data-science-ethics-21419,Data Science Ethics,/university/umich,Zero out of five stars,1 rating at FutureLearn,"
            6 hours a week, 3 weeks long
          ",futurelearn,data-science
/course/cloudswyft-msft-dsrm-pythonedition-25384,Microsoft Future Ready: Data Science Research Methods on Python Programming,/institution/cloudswyft,Zero out of five stars,14 ratings at FutureLearn,"
            4 hours a week, 4 weeks long
          ",futurelearn,data-science
/course/cloudswyft-msft-dv-a-practical-approach-for-absol-25386,Data Visualisation Fundamentals for Absolute Beginners,/institution/cloudswyft,Four and a half out of five stars,446 ratings at FutureLearn,"
            4 hours a week, 4 weeks long
          ",futurelearn,data-science
/course/datasciemethodsonpl-ethics-32150,Microsoft Future Ready: Data Science Research Methods Using Python Programming,/institution/cloudswyft,Zero out of five stars,12 ratings at FutureLearn,"
            4 hours a week, 3 weeks long
          ",futurelearn,data-science
/course/ethicsandlawindataandanalytics-32136,Microsoft Future Ready: Ethics and Law in Data and Analytics,/institution/cloudswyft,Zero out of five stars,6 ratings at FutureLearn,"
            4 hours a week, 4 weeks long
          ",futurelearn,data-science
/course/introductiontorfordatascience-r-32611,Microsoft Future Ready: Fundamentals to R for Data Science,/institution/cloudswyft,Three out of five stars,3 ratings at FutureLearn,"
            4 hours a week, 4 weeks long
          ",futurelearn,data-science
/course/essentialmath-for-machine-learning-r-32612,Essential Mathematics for Data Science and Machine Learning: Using R,/institution/cloudswyft,Zero out of five stars,24 ratings at FutureLearn,"
            4 hours a week, 4 weeks long
          ",futurelearn,data-science
/course/cloudswyft-msft-azure-cloud-fundamentals-r-32607,Microsoft Future Ready: Introduction to Azure Cloud for Data Scientists,/institution/cloudswyft,Four out of five stars,2 ratings at FutureLearn,"
            3 hours a week, 4 weeks long
          ",futurelearn,data-science
/course/cloudswyft-introduction-to-data-science-r-32608,Microsoft Future Ready: Introduction to Data Science,/institution/cloudswyft,Five out of five stars,13 ratings at FutureLearn,"
            3 hours a week, 4 weeks long
          ",futurelearn,data-science
/course/designing-and-implementing-data-science-solution--32609,Microsoft Future Ready: Designing and Implementing a Data Science Solution on Azure,/institution/cloudswyft,Two out of five stars,4 ratings at FutureLearn,"
            2 hours a week, 12 weeks long
          ",futurelearn,data-science
/course/data-visualisation-with-python-matplotlib-and-vis-32221,Data Visualisation with Python: Matplotlib and Visual Analysis,/university/strathclyde,Zero out of five stars,1 rating at FutureLearn,"
            12 hours a week, 12 weeks long
          ",futurelearn,data-science
/course/data-visualisation-with-python-seaborn-and-scatte-32222,Data Visualisation with Python: Seaborn and Scatter Plots,/university/griffith,Three out of five stars,1 rating at FutureLearn,"
            4 hours a week, 4 weeks long
          ",futurelearn,data-science
/course/data-for-health-and-care-10624,The Power of Data in Health and Social Care,/university/tou,Four out of five stars,1 rating at FutureLearn,"
            5 hours a week, 3 weeks long
          ",futurelearn,data-science
/course/applied-big-data-analytics-12551,"Big Data Analytics: Opportunities, Challenges, and the Future",/university/qut,Three out of five stars,11 ratings at FutureLearn,"
            5 hours a week, 3 weeks long
          ",futurelearn,data-science
/course/putting-phenomenology-into-use-introduction-to-ph-46006,Introduction to Phenomenology and its Application in Qualitative Research,/university/monash,Four and a half out of five stars,1 rating at FutureLearn,"
            4 hours a week, 4 weeks long
          ",futurelearn,data-science
/course/data-visualisation-communicate-key-metrics-throug-25403,Data Visualisation: Creating charts and complex visualisations in Tableau,/university/purdue,Zero out of five stars,11 ratings at FutureLearn,"
            4 hours a week, 2 weeks long
          ",futurelearn,data-science
