Link,Title,Provider,Rating,Num_Reviewer,Workload,platform,subject
/course/understanding-ielts-reading-17038,Understanding IELTS: Reading,/institution/british-council,Five out of five stars,752 reviews,"
            3 hours a week, 3 weeks long
          ",futurelearn,education
/course/understanding-ielts-listening-17168,Understanding IELTS: Listening,/institution/british-council,Five out of five stars,961 reviews,"
            3 hours a week, 3 weeks long
          ",futurelearn,education
/course/understanding-ielts-speaking-17037,Understanding IELTS: Speaking,/institution/british-council,Five out of five stars,589 reviews,"
            3 weeks long
          ",futurelearn,education
/course/understanding-ielts-writing-17169,Understanding IELTS: Writing,/institution/british-council,Five out of five stars,481 reviews,"
            3 hours a week, 3 weeks long
          ",futurelearn,education
/course/english-language-teaching-learning-6379,Learning and Learners,/institution/british-council,Five out of five stars,271 reviews,"
            2 hours a week, 4 weeks long
          ",futurelearn,education
/course/education-for-all-5664,"Education for All: Disability, Diversity and Inclusion ",/university/uct,Five out of five stars,100 reviews,"
            3 hours a week, 6 weeks long
          ",futurelearn,education
/course/english-language-teaching-classroom-6380,The Classroom and the World,/institution/british-council,Five out of five stars,284 reviews,"
            2 hours a week, 4 weeks long
          ",futurelearn,education
/course/teaching-young-learners-online-20139,Teaching Young Learners Online,/institution/british-council,Five out of five stars,412 reviews,"
            3 hours a week, 3 weeks long
          ",futurelearn,education
/course/english-language-teaching-3659,Lessons and Teaching,/institution/british-council,Five out of five stars,420 reviews,"
            2 hours a week, 6 weeks long
          ",futurelearn,education
/course/migrants-and-refugees-in-education-11825,Migrants and Refugees in Education: A toolkit for teachers,/institution/british-council,Five out of five stars,152 reviews,"
            3 hours a week, 4 weeks long
          ",futurelearn,education
/course/supporting-learning-primary-13229,Supporting Successful Learning in Primary School,/university/reading,Five out of five stars,75 reviews,"
            3 hours a week, 4 weeks long
          ",futurelearn,education
/course/becoming-a-better-teacher-8267,Becoming a Better Teacher: Exploring Professional Development,/institution/british-council,Four and a half out of five stars,160 reviews,"
            3 hours a week, 6 weeks long
          ",futurelearn,education
/course/ib-extended-essay-12702,The IB Extended Essay: Managing your Research Project,/university/leeds,Four and a half out of five stars,53 reviews,"
            2 hours a week, 2 weeks long
          ",futurelearn,education
/course/digital-learning-12213,Transforming Digital Learning: Learning Design Meets Service Design,/university/deakin,Four and a half out of five stars,37 reviews,"
            3 hours a week, 2 weeks long
          ",futurelearn,education
/course/global-education-for-teachers-21323,Global Education for Teachers,/university/ucl,Five out of five stars,10 reviews,"
            3 hours a week, 3 weeks long
          ",futurelearn,education
/course/preparing-to-learn-online-at-university-19179,Preparing to Learn Online at University,/university/leeds,Four and a half out of five stars,15 reviews,"
            2 hours a week, 3 weeks long
          ",futurelearn,education
