Link,Title,Provider,Rating,Num_Reviewer,Workload,platform,subject
/course/technical-report-writing-for-engineers-9087,Technical Report Writing for Engineers,/university/shef,Five out of five stars,166 reviews,"
            3 hours a week, 6 weeks long
          ",futurelearn,engineering
/course/robotic-future-6721,Building a Future with Robots,/university/shef,Four and a half out of five stars,66 reviews,"
            3 hours a week, 3 weeks long
          ",futurelearn,engineering
/course/renewable-energy-achieving-sustainability-through-56938,Renewable Energy: Achieving Sustainability through Bioenergy,/university/leeds,Four and a half out of five stars,16 ratings at FutureLearn,"
            4 hours a week, 2 weeks long
          ",futurelearn,engineering
/course/building-information-modelling-10604,An Introduction to Building Information Modelling,/university/coventry,Four and a half out of five stars,37 ratings at FutureLearn,"
            3 hours a week, 2 weeks long
          ",futurelearn,engineering
/course/futurelearn-electrify-an-introduction-to-electrical-and-electronic-engineering-2128,Electrify: An Introduction to Electrical and Electronic Engineering,/university/liv,Five out of five stars,2 reviews,"
            6 weeks long
          ",futurelearn,engineering
/course/futurelearn-solving-the-energy-puzzle-a-multidisciplinary-approach-to-energy-transition-3894,Solving the Energy Puzzle: A Multidisciplinary Approach to Energy Transition,/university/rug,Five out of five stars,2 reviews,"
            6 hours a week, 7 weeks long
          ",futurelearn,engineering
/course/begin-robotics-3410,Begin Robotics,/university/reading,Four out of five stars,8 reviews,"
            3 hours a week, 4 weeks long
          ",futurelearn,engineering
/course/creating-the-amazing-engineering-the-future-14415,Engineering the Future: Creating the Amazing,/university/york,Four and a half out of five stars,28 ratings at FutureLearn,"
            4 hours a week, 3 weeks long
          ",futurelearn,engineering
/course/futurelearn-through-engineers-eyes-engineering-mechanics-by-experiment-analysis-and-design-5418,"Through Engineers' Eyes: Engineering Mechanics by Experiment, Analysis and Design",/university/unsw,Five out of five stars,1 review,"
            4 hours a week, 7 weeks long
          ",futurelearn,engineering
/course/futurelearn-introduction-to-radio-network-optimization-8511,Introduction to Radio Network Optimization,/institution/amdocs,Five out of five stars,1 review,"
            2 hours a week, 4 weeks long
          ",futurelearn,engineering
/course/robotics-and-society-6866,Introduction to Robotics: Robotics and Society,/university/qut,Five out of five stars,1 review,"
            3 hours a week, 3 weeks long
          ",futurelearn,engineering
/course/build-a-robot-arm-6868,Introduction to Robotics: How to Build a Robot Arm,/university/qut,Five out of five stars,1 review,"
            3 hours a week, 3 weeks long
          ",futurelearn,engineering
/course/general-introduction-to-metal-additive-manufactur-22102,Introduction to Metal Additive Manufacturing (AM) Technology,/institution/eit,Four and a half out of five stars,19 ratings at FutureLearn,"
            1 hour a week, 3 weeks long
          ",futurelearn,engineering
/course/making-robots-move-6867,Introduction to Robotics: Learning Kinematics to Make Robots Move,/university/qut,Three out of five stars,1 review,"
            3 hours a week, 3 weeks long
          ",futurelearn,engineering
/course/futurelearn-elements-of-renewable-energy-2833,Elements of Renewable Energy,/university/tou,Three and a half out of five stars,3 reviews,"
            3 hours a week, 4 weeks long
          ",futurelearn,engineering
/course/blockchain-energy-sector-9526,Blockchain in the Energy Sector,/institution/innoenergy,Two out of five stars,1 review,"
            3 hours a week, 4 weeks long
          ",futurelearn,engineering
/course/understanding-applying-dynamics-12830,Understanding and Applying Structural Dynamics: Dynamics & Aerospace Structures,/university/isae-supaero,Zero out of five stars,62 ratings at FutureLearn,"
            4 hours a week, 4 weeks long
          ",futurelearn,engineering
/course/electrical-engineering-9066,"Electrical Engineering: Sensing, Powering and Controlling",/university/birmingham,Four and a half out of five stars,32 ratings at FutureLearn,"
            3 hours a week, 3 weeks long
          ",futurelearn,engineering
/course/systems-thinking-for-sustainability-21917,An Introduction to Systems Thinking for Sustainability: SiD Theory I,/institution/except,Five out of five stars,36 ratings at FutureLearn,"
            4 hours a week, 4 weeks long
          ",futurelearn,engineering
/course/energy-storage-11486,Battery Storage: Understanding the Battery Revolution,/institution/innoenergy,Four and a half out of five stars,30 ratings at FutureLearn,"
            3 hours a week, 3 weeks long
          ",futurelearn,engineering
/course/nanotechnology-health-7627,Nanotechnology for Health: Innovative Designs for Medical Diagnosis,/university/twente,Four and a half out of five stars,5 ratings at FutureLearn,"
            3 hours a week, 4 weeks long
          ",futurelearn,engineering
/course/drone-safety-27207,Drone Safety for Managers (Australia),/institution/drone-institute,Four and a half out of five stars,14 ratings at FutureLearn,"
            2 hours a week, 2 weeks long
          ",futurelearn,engineering
/course/drone-safety-for-managers-uk-27209,Drone Safety for Managers (UK),/institution/drone-institute,Four out of five stars,2 ratings at FutureLearn,"
            2 hours a week, 2 weeks long
          ",futurelearn,engineering
/course/drone-safety-for-managers-india-27210,Drone Safety for Managers (India),/institution/drone-institute,Five out of five stars,4 ratings at FutureLearn,"
            2 hours a week, 2 weeks long
          ",futurelearn,engineering
/course/drone-safety-for-managers-latam-27211,Drone Safety for Managers (Latin America),/institution/drone-institute,Five out of five stars,15 ratings at FutureLearn,"
            2 hours a week, 2 weeks long
          ",futurelearn,engineering
/course/electrical-industry-production-and-economics-33513,Electrical Industry: Production and Economics,/university/padova,Four and a half out of five stars,5 ratings at FutureLearn,"
            3 hours a week, 4 weeks long
          ",futurelearn,engineering
/course/business-opportunities-in-additive-manufacturing-22049,Additive Manufacturing for Business: Practices and Ecosystem,/university/aalto,Five out of five stars,12 ratings at FutureLearn,"
            2 hours a week, 3 weeks long
          ",futurelearn,engineering
/course/costs-and-benefits-in-additive-manufacturing-econ-22481,Additive Manufacturing and 3D Printing: Costs Structures and Benefits,/institution/eit,Four and a half out of five stars,1 rating at FutureLearn,"
            1 hour a week, 4 weeks long
          ",futurelearn,engineering
/course/ideation-in-engineering-design-59411,Ideation: The First Step in Engineering Design,/university/malaya,Two out of five stars,5 ratings at FutureLearn,"
            4 hours a week, 5 weeks long
          ",futurelearn,engineering
