Link,Title,Provider,Rating,Num_Reviewer,Workload,platform,subject
/course/mindfulness-life-9078,Maintaining a Mindful Life,/university/monash,Five out of five stars,212 reviews,"
            3 hours a week, 4 weeks long
          ",futurelearn,health
/course/mindfulness-wellbeing-performance-3714,Mindfulness for Wellbeing and Peak Performance,/university/monash,Five out of five stars,211 reviews,"
            3 hours a week, 6 weeks long
          ",futurelearn,health
/course/discover-dentistry-1249,Discover Dentistry,/university/shef,Five out of five stars,163 reviews,"
            3 hours a week, 6 weeks long
          ",futurelearn,health
/course/medicine-and-the-arts-3015,Medicine and the Arts: Humanising Healthcare,/university/uct,Five out of five stars,102 reviews,"
            3 hours a week, 6 weeks long
          ",futurelearn,health
/course/clinical-research-4046,Improving Healthcare Through Clinical Research,/university/leeds,Five out of five stars,69 reviews,"
            4 hours a week, 4 weeks long
          ",futurelearn,health
/course/musculoskeletal-6738,The Musculoskeletal System: The Science of Staying Active into Old Age,/university/newcastle,Five out of five stars,324 reviews,"
            3 hours a week, 3 weeks long
          ",futurelearn,health
/course/end-of-life-care-16932,End of Life Care: Challenges and Innovation,/university/glasgow,Five out of five stars,143 reviews,"
            4 hours a week, 3 weeks long
          ",futurelearn,health
/course/human-disease-exploring-cancer-genetic-disease-9024,Causes of Human Disease: Exploring Cancer and Genetic Disease,/university/leeds,Five out of five stars,19 reviews,"
            4 hours a week, 2 weeks long
          ",futurelearn,health
/course/covid19-novel-coronavirus-18996,COVID-19: Tackling the Novel Coronavirus,/university/london-school-hygiene-tropical-medicine,Four and a half out of five stars,60 reviews,"
            4 hours a week, 3 weeks long
          ",futurelearn,health
/course/what-is-health-research-16961,What is Health Research?,/institution/nihr,Five out of five stars,14 reviews,"
            3 hours a week, 3 weeks long
          ",futurelearn,health
/course/human-disease-transmitting-and-fighting-infection-9023,Causes of Human Disease: Transmitting and Fighting Infection,/university/leeds,Five out of five stars,21 reviews,"
            4 hours a week, 2 weeks long
          ",futurelearn,health
/course/anatomy-1446,Exploring Anatomy: the Human Abdomen,/university/leeds,Five out of five stars,14 reviews,"
            3 weeks long
          ",futurelearn,health
/course/human-disease-understanding-causes-of-disease-9022,Causes of Human Disease: Understanding Causes of Disease,/university/leeds,Five out of five stars,14 reviews,"
            4 hours a week, 2 weeks long
          ",futurelearn,health
