Link,Title,Provider,Rating,Num_Reviewer,Workload,platform,subject
/course/programming-for-everybody-python-16934,Programming for Everybody (Getting Started with Python),/university/umich,Five out of five stars,9 reviews,"
            4 hours a week, 6 weeks long
          ",futurelearn,programming-and-software-development
/course/learn-to-code-for-the-web-17489,Learn to Code for the Web,/university/leeds,Five out of five stars,6 reviews,"
            2 hours a week, 2 weeks long
          ",futurelearn,programming-and-software-development
/course/programming-for-everybody-python-data-structures-20092,Programming for Everybody: Python Data Structures,/university/umich,Five out of five stars,5 reviews,"
            4 hours a week, 6 weeks long
          ",futurelearn,programming-and-software-development
/course/azure-cloud-fundamentals-21802,Microsoft Future Ready: Azure Cloud Fundamentals,/institution/microsoft,Four out of five stars,8 ratings at FutureLearn,"
            4 hours a week, 3 weeks long
          ",futurelearn,programming-and-software-development
/course/introduction-to-coding-and-design-18281,An Introduction to Coding and Design,/university/leeds,Five out of five stars,1 review,"
            2 hours a week, 6 weeks long
          ",futurelearn,programming-and-software-development
/course/linked-data-5744,Introduction to Linked Data and the Semantic Web,/university/southampton,Five out of five stars,1 review,"
            3 hours a week, 3 weeks long
          ",futurelearn,programming-and-software-development
/course/video-game-character-design-9063,Video Game Design and Development: Video Game Character Design,/university/abertay,Four and a half out of five stars,46 ratings at FutureLearn,"
            2 hours a week, 2 weeks long
          ",futurelearn,programming-and-software-development
/course/functional-programming-haskell-6636,Functional Programming in Haskell: Supercharge Your Coding,/university/glasgow,Four and a half out of five stars,41 ratings at FutureLearn,"
            4 hours a week, 6 weeks long
          ",futurelearn,programming-and-software-development
/course/object-oriented-principles-8884,Object-oriented Programming in Python: Create Your Own Adventure Game,/institution/raspberrypi,Five out of five stars,141 ratings at FutureLearn,"
            2 hours a week, 4 weeks long
          ",futurelearn,programming-and-software-development
/course/begin-programming-1243,Begin Programming: Build Your First Mobile Game,/university/reading,Four out of five stars,8 reviews,"
            3 hours a week, 7 weeks long
          ",futurelearn,programming-and-software-development
/course/futurelearn-creative-coding-1850,Creative Coding,/university/monash,Four out of five stars,6 reviews,"
            6 weeks long
          ",futurelearn,programming-and-software-development
/course/3d-graphics-web-programmers-5016,3D Graphics for Web Developers,/university/pompeu-fabra,One out of five stars,1 review,"
            6 hours a week, 5 weeks long
          ",futurelearn,programming-and-software-development
/course/computer-programming-for-everyone-17488,Computer Programming for Everyone,/university/leeds,Three out of five stars,6 reviews,"
            2 hours a week, 2 weeks long
          ",futurelearn,programming-and-software-development
/course/how-to-start-your-career-in-games-development-13552,How To Start Your Career In Games Development,/institution/bgi,Zero out of five stars,147 ratings at FutureLearn,"
            2 hours a week, 4 weeks long
          ",futurelearn,programming-and-software-development
/course/introduction-to-virtual-reality-20088,"Introduction to Virtual, Augmented and Mixed Reality",/university/lancaster,Five out of five stars,16 ratings at FutureLearn,"
            2 hours a week, 4 weeks long
          ",futurelearn,programming-and-software-development
/course/create-expressive-video-games-20090,Create Expressive Videogames,/university/ual,Four and a half out of five stars,15 ratings at FutureLearn,"
            2 hours a week, 4 weeks long
          ",futurelearn,programming-and-software-development
/course/create-accessible-interfaces-19562,Create Accessible Interfaces,/institution/institute-coding,Four and a half out of five stars,7 ratings at FutureLearn,"
            2 hours a week, 5 weeks long
          ",futurelearn,programming-and-software-development
/course/web-application-technologies-and-django-22360,Web Application Technologies and Django,/university/umich,Zero out of five stars,2 ratings at FutureLearn,"
            3 hours a week, 3 weeks long
          ",futurelearn,programming-and-software-development
