Link,Title,Provider,Rating,Num_Reviewer,Workload,platform,subject
/course/extinctions-past-present-8004,Extinctions: Past and Present,/university/uct,Five out of five stars,234 reviews,"
            3 hours a week, 5 weeks long
          ",futurelearn,science
/course/forensic-facial-reconstruction-7641,Forensic Facial Reconstruction: Finding Mr. X,/university/shef,Five out of five stars,421 reviews,"
            2 hours a week, 2 weeks long
          ",futurelearn,science
/course/extreme-geological-events-13558,Extreme Geological Events,/university/cardiff,Five out of five stars,47 reviews,"
            4 hours a week, 3 weeks long
          ",futurelearn,science
/course/bacterial-genomes-access-and-analysis-11907,Bacterial Genomes II: Accessing and Analysing Microbial Genome Data Using Artemis,/institution/wellcome-genome,Five out of five stars,21 reviews,"
            5 hours a week, 3 weeks long
          ",futurelearn,science
/course/climate-change-and-resilience-in-food-systems-33497,Climate Change and Resilience in Food Systems,/university/leeds,Five out of five stars,14 reviews,"
            3 hours a week, 2 weeks long
          ",futurelearn,science
/course/atmospheric-chemistry-planets-and-life-beyond-ear-12703,Atmospheric Chemistry: Planets and Life Beyond Earth,/university/leeds,Four and a half out of five stars,52 reviews,"
            2 hours a week, 2 weeks long
          ",futurelearn,science
/course/everyday-chemistry-7435,Exploring Everyday Chemistry,/university/york,Five out of five stars,10 reviews,"
            4 hours a week, 4 weeks long
          ",futurelearn,science
/course/discovering-science-medicinal-chemistry-7739,Discovering Science: Medicinal Chemistry,/university/leeds,Five out of five stars,12 reviews,"
            5 hours a week, 2 weeks long
          ",futurelearn,science
/course/circular-business-models-for-sustainable-urban-fo-21293,Circular Business Models for Sustainable Urban Food Systems,/institution/eit-food,Five out of five stars,13 reviews,"
            4 hours a week, 4 weeks long
          ",futurelearn,science
/course/awake-brain-surgery-9633,Language Testing During Awake Brain Surgery,/university/rug,Five out of five stars,8 reviews,"
            3 hours a week, 6 weeks long
          ",futurelearn,science
/course/nutrition-sensitive-agriculture-48252,A Nutritional Approach to Agriculture and Food Security,/university/leeds,Five out of five stars,10 reviews,"
            4 hours a week, 2 weeks long
          ",futurelearn,science
/course/environmental-ethics-human-impact-6376,Environmental Challenges: Human Impact in the Natural Environment,/university/leeds,Five out of five stars,10 reviews,"
            2 weeks long
          ",futurelearn,science
/course/ecology-and-wildlife-conservation-13667,Ecology and Wildlife Conservation,/university/leeds,Four and a half out of five stars,125 reviews,"
            2 hours a week, 2 weeks long
          ",futurelearn,science
/course/global-water-security-12542,The Challenge of Global Water Security,/university/cardiff,Four and a half out of five stars,15 reviews,"
            3 hours a week, 4 weeks long
          ",futurelearn,science
/course/consumers-and-environmental-safety-food-packaging-20769,Consumer and Environmental Safety: Food Packaging and Kitchenware,/institution/eit-food,Five out of five stars,9 reviews,"
            5 hours a week, 5 weeks long
          ",futurelearn,science
/course/futurelearn-gravity-the-big-bang-black-holes-and-gravitational-waves-3946,"Gravity! The Big Bang, Black Holes and Gravitational Waves",/university/paris-diderot,Four and a half out of five stars,10 reviews,"
            2 hours a week, 6 weeks long
          ",futurelearn,science
/course/introduction-to-forensic-science-1256,Introduction to Forensic Science,/university/strathclyde,Five out of five stars,8 reviews,"
            6 weeks long
          ",futurelearn,science
/course/environmental-challenges-justice-6373,Environmental Challenges: Justice in Natural Resource Management,/university/leeds,Five out of five stars,6 reviews,"
            2 weeks long
          ",futurelearn,science
/course/medtech-exploring-the-human-genome-14406,MedTech: Exploring the Human Genome,/university/leeds,Five out of five stars,6 reviews,"
            5 hours a week, 2 weeks long
          ",futurelearn,science
/course/planet-earth-66470,Planet Earth: Understanding and Protecting our Environment,/university/leeds,Five out of five stars,6 reviews,"
            3 hours a week, 2 weeks long
          ",futurelearn,science
/course/moons-1754,Moons,/university/tou,Five out of five stars,6 reviews,"
            3 hours a week, 8 weeks long
          ",futurelearn,science
/course/food-production-agricultural-technology-plant-bio-14399,Improving Food Production with Agricultural Technology and Plant Biotechnology,/institution/eit-food,Five out of five stars,82 ratings at FutureLearn,"
            3 hours a week, 3 weeks long
          ",futurelearn,science
/course/environmental-challenges-property-rights-6375,Environmental Challenges: Hierarchy in Property Rights,/university/leeds,Four and a half out of five stars,11 ratings at FutureLearn,"
            2 weeks long
          ",futurelearn,science
/course/biochemistry-6074,Biochemistry: the Molecules of Life,/university/uea,Four and a half out of five stars,93 ratings at FutureLearn,"
            3 weeks long
          ",futurelearn,science
/course/climate-smart-agriculture-7658,The Future of Farming:  Exploring Climate Smart Agriculture ,/institution/climate-kic,Five out of five stars,3 reviews,"
            3 hours a week, 3 weeks long
          ",futurelearn,science
/course/discovering-science-atmospheric-chemistry-7742,Discovering Science: Atmospheric Chemistry,/university/leeds,Four and a half out of five stars,6 reviews,"
            5 hours a week, 2 weeks long
          ",futurelearn,science
/course/tipping-points-climate-change-and-society-10580,Tipping Points: Climate Change and Society,/university/exeter,Four and a half out of five stars,131 ratings at FutureLearn,"
            3 hours a week, 2 weeks long
          ",futurelearn,science
/course/what-is-genetic-counselling-13700,What is Genetic Counselling?,/institution/wellcome-genome,Five out of five stars,2 reviews,"
            2 hours a week, 6 weeks long
          ",futurelearn,science
/course/futurelearn-shale-gas-and-fracking-the-politics-and-science-2991,Shale Gas and Fracking: the Politics and Science,/university/nottingham,Five out of five stars,2 reviews,"
            3 hours a week, 4 weeks long
          ",futurelearn,science
/course/futurelearn-introduction-to-ecosystems-1255,Introduction to Ecosystems,/university/tou,Five out of five stars,2 reviews,"
            8 weeks long
          ",futurelearn,science
/course/what-is-the-body-10591,What Is the Body?,/university/aberdeen,Four and a half out of five stars,52 ratings at FutureLearn,"
            4 hours a week, 3 weeks long
          ",futurelearn,science
/course/causes-of-climate-change-3713,Causes of Climate Change,/university/bergen,Four and a half out of five stars,57 ratings at FutureLearn,"
            4 hours a week, 3 weeks long
          ",futurelearn,science
/course/soils-3417,Soil Science: Exploring the World Beneath our Feet,/university/lancaster,Four and a half out of five stars,236 ratings at FutureLearn,"
            3 hours a week, 4 weeks long
          ",futurelearn,science
/course/higgs-1259,The Discovery of the Higgs Boson,/university/edinburgh,Four and a half out of five stars,7 reviews,"
            7 weeks long
          ",futurelearn,science
/course/scientific-revolution-8964,The Scientific Revolution: Understanding the Roots of Modern Science,/university/rug,Four out of five stars,9 reviews,"
            3 hours a week, 3 weeks long
          ",futurelearn,science
