Link,Title,Provider,Rating,Num_Reviewer,Workload,platform,subject
/course/what-is-a-mind-3314,What is a Mind?,/university/uct,Five out of five stars,288 reviews,"
            3 hours a week, 6 weeks long
          ",futurelearn,social-sciences
/course/play-2134,Exploring Play: The Importance of Play in Everyday Life,/university/shef,Five out of five stars,136 reviews,"
            7 weeks long
          ",futurelearn,social-sciences
/course/domestic-violence-15221,Supporting Victims of Domestic Violence,/university/shef,Five out of five stars,222 reviews,"
            3 hours a week, 3 weeks long
          ",futurelearn,social-sciences
/course/education-for-all-5664,"Education for All: Disability, Diversity and Inclusion ",/university/uct,Five out of five stars,100 reviews,"
            3 hours a week, 6 weeks long
          ",futurelearn,social-sciences
/course/incarceration-prisons-suitable-punishment-17036,Incarceration: Are Prisons a Suitable Punishment?,/university/leeds,Four and a half out of five stars,116 reviews,"
            4 hours a week, 2 weeks long
          ",futurelearn,social-sciences
/course/futurelearn-law-for-non-lawyers-introduction-to-law-6639,Law for Non-Lawyers: Introduction to Law,/university/monash,Five out of five stars,14 reviews,"
            3 hours a week, 4 weeks long
          ",futurelearn,social-sciences
/course/psychology-of-learning-11039,Introduction to Psychology: The Psychology of Learning,/university/monash,Four and a half out of five stars,107 reviews,"
            6 hours a week, 2 weeks long
          ",futurelearn,social-sciences
/course/developmental-psychology-11040,Introduction to Psychology: Developmental Psychology,/university/monash,Four and a half out of five stars,69 reviews,"
            6 hours a week, 2 weeks long
          ",futurelearn,social-sciences
/course/protecting-health-data-10612,Protecting Health Data in the Modern Age: Getting to Grips with the GDPR,/university/rug,Five out of five stars,14 reviews,"
            3 hours a week, 2 weeks long
          ",futurelearn,social-sciences
/course/general-data-protection-regulation-9403,Understanding the GDPR,/university/rug,Four and a half out of five stars,41 reviews,"
            3 hours a week, 4 weeks long
          ",futurelearn,social-sciences
/course/forensic-psychology-1935,Forensic Psychology: Witness Investigation,/university/tou,Four and a half out of five stars,18 reviews,"
            8 weeks long
          ",futurelearn,social-sciences
/course/intercultural-studies-language-culture-10562,Introduction to Intercultural Studies: Language and Culture,/university/leeds,Four and a half out of five stars,44 reviews,"
            5 hours a week, 2 weeks long
          ",futurelearn,social-sciences
/course/crime-justice-society-3950,"Crime, Justice and Society",/university/shef,Five out of five stars,7 reviews,"
            3 hours a week, 7 weeks long
          ",futurelearn,social-sciences
/course/european-culture-6577,European Culture and Politics,/university/rug,Five out of five stars,5 reviews,"
            5 hours a week, 6 weeks long
          ",futurelearn,social-sciences
/course/intercultural-studies-concept-culture-10560,Introduction to Intercultural Studies: Defining the Concept of Culture,/university/leeds,Four and a half out of five stars,14 reviews,"
            5 hours a week, 2 weeks long
          ",futurelearn,social-sciences
/course/exploring-copyright-8012,"Exploring Copyright: History, Culture, Industry",/university/leeds,Five out of five stars,4 reviews,"
            3 hours a week, 4 weeks long
          ",futurelearn,social-sciences
/course/business-ethics-18181,Business Ethics: Exploring Big Data and Tax Avoidance,/university/tou,Four and a half out of five stars,8 reviews,"
            4 hours a week, 2 weeks long
          ",futurelearn,social-sciences
/course/make-change-happen-11886,Make Change Happen,/university/hanken,Five out of five stars,5 reviews,"
            3 hours a week, 8 weeks long
          ",futurelearn,social-sciences
/course/humanitarian-logistics-17366,Introduction to Humanitarian Logistics,/university/uio,Four and a half out of five stars,57 ratings at FutureLearn,"
            3 hours a week, 2 weeks long
          ",futurelearn,social-sciences
/course/music-moves-4890,Music Moves: Why Does Music Make You Move?,/university/monash,Four and a half out of five stars,31 ratings at FutureLearn,"
            3 hours a week, 6 weeks long
          ",futurelearn,social-sciences
/course/biological-psychology-11038,Introduction to Psychology: Biological Psychology,/university/leeds,Four and a half out of five stars,271 ratings at FutureLearn,"
            6 hours a week, 2 weeks long
          ",futurelearn,social-sciences
/course/intercultural-studies-contact-10561,Introduction to Intercultural Studies: Intercultural Contact,/university/southampton,Four and a half out of five stars,12 reviews,"
            5 hours a week, 2 weeks long
          ",futurelearn,social-sciences
/course/shipwrecks-2247,Shipwrecks and Submerged Worlds: Maritime Archaeology,/university/padova,Four and a half out of five stars,5 reviews,"
            4 hours a week, 4 weeks long
          ",futurelearn,social-sciences
