Link,Title,Provider,Rating,Num_Reviewer,platform,subject,Entity,Reviewer_Status
/course/historyofrock1-690,"History of Rock, Part One",university,5.0,18,coursera,art-and-design,rochester,reviews
/course/3d-printing-software-5993,3D Printing Software,university,5.0,13,coursera,art-and-design,illinois,reviews
/course/introclassicalmusic-2987,Introduction to Classical Music,university,4.5,25,coursera,art-and-design,yale,reviews
/course/songwriting-lyrics-523,Songwriting: Writing the Lyrics,university,4.5,25,coursera,art-and-design,berklee,reviews
/course/3d-printing-revolution-5991,The 3D Printing Revolution,university,4.5,18,coursera,art-and-design,illinois,reviews
/course/beatles-1135,The Music of the Beatles,university,4.5,18,coursera,art-and-design,rochester,reviews
/course/gamification-343,Gamification,university,4.5,58,coursera,art-and-design,penn,reviews
/course/historyofrock2-692,"History of Rock, Part Two",university,5.0,7,coursera,art-and-design,rochester,reviews
/course/improvisation-521,Jazz Improvisation,university,5.0,5,coursera,art-and-design,berklee,reviews
/course/modern-art-ideas-4163,Modern Art & Ideas,institution,5.0,5,coursera,art-and-design,moma,reviews
/course/guitar-522,Guitar for Beginners,university,4.5,21,coursera,art-and-design,berklee,reviews
/course/musicsbigbang-538,Music's Big Bang: The Genesis of Rock 'n' Roll,university,5.0,6,coursera,art-and-design,ufl,reviews
/course/art-675,Introduction to Art: Concepts & Techniques,university,5.0,6,coursera,art-and-design,psu,reviews
/course/musictech-605,Survey of Music Technology,university,5.0,4,coursera,art-and-design,gatech,reviews
/course/musicianship-1726,Developing Your Musicianship,university,4.5,16,coursera,art-and-design,berklee,reviews
/course/ui-design-6890,Introduction to UI Design,university,5.0,5,coursera,art-and-design,minnesota,reviews
/course/mafash-1374,Management of Fashion and Luxury Companies,university,5.0,5,coursera,art-and-design,bocconi,reviews
/course/beethovensonatas-730,Exploring Beethoven’s Piano Sonatas,university,4.5,15,coursera,art-and-design,curtis,reviews
/course/digitalsounddesign-506,Introduction to Digital Sound Design,university,4.5,6,coursera,art-and-design,emory,reviews
/course/rollingstones-2352,"The Music of the Rolling Stones, 1962-1974",university,5.0,160,coursera,art-and-design,rochester,ratings at Coursera
/course/making-architecture-7153,Making Architecture,university,5.0,1216,coursera,art-and-design,ie,ratings at Coursera
/course/intro-game-design-4220,Introduction to Game Design,university,4.5,13,coursera,art-and-design,calarts,reviews
/course/sexingthecanvas-4053,Sexing the Canvas: Art and Gender,university,4.5,421,coursera,art-and-design,unimelb,ratings at Coursera
/course/musicproduction-525,Introduction to Music Production,university,5.0,3,coursera,art-and-design,berklee,reviews
/course/typography-5444,Introduction to Typography,university,4.5,11,coursera,art-and-design,calarts,reviews
/course/make-comic-books-5712,How to Make a Comic Book (Project-Centered Course),institution,4.5,246,coursera,art-and-design,hightechhigh,ratings at Coursera
/course/digital-724,Fundamentals of Digital Image and Video Processing,university,4.5,5,coursera,art-and-design,northwestern,reviews
/course/design-371,Design: Creation of Artifacts in Society,university,4.5,18,coursera,art-and-design,penn,reviews
/course/painting-8349,In the Studio: Postwar Abstract Painting,institution,5.0,1353,coursera,art-and-design,moma,ratings at Coursera
/course/abletonlive-2988,Introduction to Ableton Live,university,5.0,1075,coursera,art-and-design,berklee,ratings at Coursera
/course/the-blues-6026,The Blues: Understanding and Performing an American Art Form,university,5.0,565,coursera,art-and-design,rochester,ratings at Coursera
/course/design-language-16927,The Language of Design: Form and Meaning,university,4.5,650,coursera,art-and-design,calarts,ratings at Coursera
/course/design-research-6924,User Research and Design,university,4.5,421,coursera,art-and-design,minnesota,ratings at Coursera
/course/photo-12090,Основы фотографии,university,5.0,2,coursera,art-and-design,nsu,reviews
/course/romanarchitecture-910,Roman Architecture,university,4.5,13,coursera,art-and-design,yale,reviews
/course/serious-gaming-6185,Serious Gaming,university,4.5,308,coursera,art-and-design,erasmus,ratings at Coursera
/course/presentation-design-6597,Graphic Design,university,5.0,2842,coursera,art-and-design,boulder,ratings at Coursera
/course/fashion-design-9416,Fashion as Design,institution,5.0,2716,coursera,art-and-design,moma,ratings at Coursera
/course/superheroes-3447,Superhero Entertainments,university,4.5,4,coursera,art-and-design,nus,reviews
/course/3d-printing-applications-5986,3D Printing Applications,university,4.5,5,coursera,art-and-design,illinois,reviews
/course/classicalcomp-735,Write Like Mozart: An Introduction to Classical Music Composition,university,4.5,5,coursera,art-and-design,nus,reviews
/course/photocourse1-5463,"Cameras, Exposure, and Photography",university,4.5,6,coursera,art-and-design,mst,reviews
/course/creative-3139,Ignite Your Everyday Creativity,university,4.5,6,coursera,art-and-design,suny,reviews
/course/marriageandmovies-1815,Marriage and the Movies: A History,university,4.5,7,coursera,art-and-design,wesleyan,reviews
/course/graphic-design-history-6497,Ideas from the History of Graphic Design,university,4.5,2307,coursera,art-and-design,calarts,ratings at Coursera
/course/tango-14410,So You Think You Know Tango?,university,4.5,103,coursera,art-and-design,emory,ratings at Coursera
/course/responsive-web-design-adobe-xd-35133,Responsive Web Design in Adobe XD,institution,5.0,1721,coursera,art-and-design,google,ratings at Coursera
/course/exploring-beethoven-piano-sonatas-2-7773,Exploring Beethoven’s Piano Sonatas Part 2,university,5.0,153,coursera,art-and-design,curtis,ratings at Coursera
/course/arranging-for-songwriters-17325,Arranging for Songwriters,university,4.5,67,coursera,art-and-design,berklee,ratings at Coursera
/course/getting-started-in-gimp-20401,Getting Started in GIMP,institution,5.0,1,coursera,art-and-design,project-network,reviews
/course/vocal-production-7797,The Art of Vocal Production,university,4.5,349,coursera,art-and-design,berklee,ratings at Coursera
/course/3d-printer-5990,3D Printing Hardware,university,4.0,89,coursera,art-and-design,illinois,ratings at Coursera
/course/music-life-6634,How Music Can Change Your Life,university,4.5,157,coursera,art-and-design,unimelb,ratings at Coursera
/course/protoolsbasics-5436,Pro Tools Basics,university,4.5,557,coursera,art-and-design,berklee,ratings at Coursera
/course/intro-produccion-audiovisual-9357,Introducción a la producción audiovisual,university,4.5,951,coursera,art-and-design,unam,ratings at Coursera
/course/contemporary-art-17106,What Is Contemporary Art?,institution,4.5,1709,coursera,art-and-design,moma,ratings at Coursera
/course/autodesk-civil-3d-infrastructure-design-17338,Autodesk Certified Professional: Civil 3D for Infrastructure Design Exam Prep,institution,4.5,326,coursera,art-and-design,autodesk,ratings at Coursera
